age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,259679,145542,1538337,16.9,9.5
20-29,788993,378251,1300361,60.7,29.1
30-39,812071,449303,1197026,67.8,37.5
40-49,829057,610791,1098556,75.5,55.6
50-59,691599,559751,849966,81.4,65.9
60-69,626201,560239,741639,84.4,75.5
70-79,460932,429260,490784,93.9,87.5
80-89,205611,190377,225538,91.2,84.4
90+,48271,43941,51496,93.7,85.3
