age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,564185,374812,1538337,36.7,24.4
20-29,1016214,931553,1300361,78.1,71.6
30-39,988703,923332,1197026,82.6,77.1
40-49,942724,886274,1098556,85.8,80.7
50-59,758647,715792,849966,89.3,84.2
60-69,671915,643341,741639,90.6,86.7
70-79,467627,454756,490784,95.3,92.7
80-89,211432,205373,225538,93.7,91.1
90+,47912,46117,51496,93,89.6
