actualSick,city,patientDiffPopulationForTenThousands,sickCount,status,testLast7Days,verifiedLast7Days
3288,ירושלים,35,17307,"נדרשים הסברה, בדיקות ואכיפת בידוד",17263,1391
953,בני ברק,47,9480,"נדרשים הסברה, בדיקות ואכיפת בידוד",4340,449
347,טירה,131,582,"נדרשים הסברה, בדיקות ואכיפת בידוד",1550,261
227,כפר קאסם,94,575,"נדרשים הסברה, בדיקות ואכיפת בידוד",682,149
163,עילוט,194,219,"נדרשים הסברה, בדיקות ואכיפת בידוד",270,39
163,ג'דיידה-מכר,78,200,"נדרשים הסברה, בדיקות ואכיפת בידוד",755,102
85,דאלית אל-כרמל,49,102,"נדרשים הסברה, בדיקות ואכיפת בידוד",635,74
71,כפר ברא,187,107,"נדרשים הסברה, בדיקות ואכיפת בידוד",138,47
41,כוכב יעקב,46,175,"נדרשים הסברה, בדיקות ואכיפת בידוד",121,28
40,עוזייר,122,40,"נדרשים הסברה, בדיקות ואכיפת בידוד",202,37
40,עספיא,33,66,"נדרשים הסברה, בדיקות ואכיפת בידוד",345,34
33,תפרח,152,67,"נדרשים הסברה, בדיקות ואכיפת בידוד",99,33
27,עמנואל,64,94,"נדרשים הסברה, בדיקות ואכיפת בידוד",58,21
15,גבעת ברנר,64,21,"נדרשים הסברה, בדיקות ואכיפת בידוד",28,6-10
 קטן מ-15 ,יקיר,51,19,"נדרשים הסברה, בדיקות ואכיפת בידוד",34,6-10
 קטן מ-15 ,נאעורה,46,17,"נדרשים הסברה, בדיקות ואכיפת בידוד",44,6-10
 קטן מ-15 ,יד בנימין,23,56,"נדרשים הסברה, בדיקות ואכיפת בידוד",49,6-10
877,תל אביב - יפו,19,4698,נדרשת הגדלה של מספר הבדיקות,6459,272
692,מודיעין עילית,90,3365,נדרשת הגדלה של מספר הבדיקות,5189,335
646,אשדוד,29,3521,נדרשת הגדלה של מספר הבדיקות,5003,355
456,נתניה,21,1843,נדרשת הגדלה של מספר הבדיקות,3655,198
347,רהט,52,914,נדרשת הגדלה של מספר הבדיקות,1658,183
246,אום אל-פחם,44,655,נדרשת הגדלה של מספר הבדיקות,1220,159
199,סח'נין,61,315,נדרשת הגדלה של מספר הבדיקות,1287,135
194,נתיבות,50,715,נדרשת הגדלה של מספר הבדיקות,759,117
94,עין מאהל,69,272,נדרשת הגדלה של מספר הבדיקות,142,30
91,בית ג'ן,76,135,נדרשת הגדלה של מספר הבדיקות,525,68
64,חריש,44,142,נדרשת הגדלה של מספר הבדיקות,282,40
64,עין נקובא,183,115,נדרשת הגדלה של מספר הבדיקות,295,27
64,ג'ת,52,220,נדרשת הגדלה של מספר הבדיקות,312,40
26,עומר,33,76,נדרשת הגדלה של מספר הבדיקות,114,11-14
25,קרני שומרון,30,71,נדרשת הגדלה של מספר הבדיקות,104,15
19,שייח' דנון,66,22,נדרשת הגדלה של מספר הבדיקות,83,11-14
15,מוקייבלה,36,24,נדרשת הגדלה של מספר הבדיקות,48,6-10
 קטן מ-15 ,כעביה-טבאש-חג'אג'רה,24,17,נדרשת הגדלה של מספר הבדיקות,88,6-10
 קטן מ-15 ,מסעדה,27,22,נדרשת הגדלה של מספר הבדיקות,27,6-10
432,פתח תקווה,18,2482,"נדרשת הידברות, הסברה ואכיפה",3834,176
389,באר שבע,20,1716,"נדרשת הידברות, הסברה ואכיפה",3273,153
342,חיפה,13,1576,"נדרשת הידברות, הסברה ואכיפה",3928,165
336,חולון,18,1793,"נדרשת הידברות, הסברה ואכיפה",2515,127
272,בית שמש,21,2704,"נדרשת הידברות, הסברה ואכיפה",1409,101
266,ראשון לציון,11,1660,"נדרשת הידברות, הסברה ואכיפה",3906,118
264,רמלה,35,1178,"נדרשת הידברות, הסברה ואכיפה",1356,142
264,אשקלון,19,1301,"נדרשת הידברות, הסברה ואכיפה",2012,55
261,נצרת,33,590,"נדרשת הידברות, הסברה ואכיפה",747,55
219,רחובות,16,1265,"נדרשת הידברות, הסברה ואכיפה",1622,100
217,בת ים,17,1356,"נדרשת הידברות, הסברה ואכיפה",1872,87
212,רמת גן,14,1210,"נדרשת הידברות, הסברה ואכיפה",2739,84
200,טייבה,45,866,"נדרשת הידברות, הסברה ואכיפה",1015,100
200,לוד,26,1310,"נדרשת הידברות, הסברה ואכיפה",1183,87
179,ירכא,115,401,"נדרשת הידברות, הסברה ואכיפה",967,49
179,אלעד,38,1757,"נדרשת הידברות, הסברה ואכיפה",777,84
178,טבריה,40,811,"נדרשת הידברות, הסברה ואכיפה",902,77
