date,cases,recovered,tests,positiveRate,positiveRatePCR,positiveRateAntigen,deaths,severeNew,mediumNew,easyNew,countEasyStatus,countMediumStatus,countHardStatus,countBreath,countCriticalStatus,countSeriousCriticalCum,newHospitalized,countBreathCum,countEcmo
2021-10-30,225,641,35644,0.63,0.63,,3,9,6,16,101,32,215,126,142,23219,18,4689,42
2021-10-31,527,1390,79236,0.67,0.67,,2,14,9,28,112,35,218,128,148,23228,29,4690,43
2021-11-01,691,816,90170,0.77,0.77,,4,13,7,27,108,29,210,124,140,23236,27,4692,43
2021-11-02,665,868,78225,0.85,0.85,,3,10,5,16,99,25,205,118,137,23244,16,4692,42
2021-11-03,616,973,81385,0.76,0.76,,5,6,6,11,94,24,190,115,131,23249,12,4692,42
2021-11-04,519,990,69289,0.75,0.75,,6,3,5,20,97,23,175,110,123,23250,19,4694,42
2021-11-05,558,659,73340,0.76,0.76,,1,7,0,12,89,17,172,107,119,23256,13,4695,42
2021-11-06,199,431,29152,0.68,0.68,,1,6,5,12,86,19,174,108,121,23262,15,4695,42
2021-11-07,501,881,79722,0.63,0.63,,4,2,6,8,86,23,169,105,120,23263,9,4696,40
2021-11-08,566,496,86953,0.65,0.65,,3,7,6,11,85,25,163,105,120,23267,11,4699,39
2021-11-09,473,521,79959,0.59,0.59,,6,7,0,21,99,18,154,103,117,23274,21,4701,37
2021-11-10,498,715,75573,0.66,0.66,,5,8,6,13,94,18,146,99,112,23279,17,4702,36
2021-11-11,393,700,68910,0.57,0.57,,3,8,2,15,94,17,145,99,112,23287,21,4704,38
2021-11-12,448,603,73462,0.61,0.61,,2,7,5,5,79,19,147,99,110,23294,10,4705,38
2021-11-13,225,356,30911,0.73,0.73,,2,5,1,10,83,17,149,99,111,23299,11,4707,38
2021-11-14,399,678,73737,0.54,0.54,,0,5,5,17,93,19,149,96,110,23304,17,4709,37
2021-11-15,536,456,86009,0.62,0.62,,5,6,5,7,86,19,138,92,104,23309,10,4711,34
2021-11-16,558,510,80436,0.69,0.69,,4,6,3,12,84,19,135,90,98,23313,13,4712,32
2021-11-17,483,537,71268,0.68,0.68,,1,7,6,9,80,19,136,90,103,23317,11,4712,32
2021-11-18,469,609,67217,0.7,0.7,,3,5,19,10,82,32,132,87,100,23322,21,4713,32
2021-11-19,508,378,77322,0.66,0.66,,3,3,5,11,86,21,124,79,90,23325,12,4713,32
2021-11-20,237,291,28842,0.82,0.82,,6,8,1,5,81,17,127,79,89,23333,9,4714,32
2021-11-21,454,665,74404,0.61,0.61,,1,7,6,14,84,22,129,79,87,23339,16,4716,31
2021-11-22,715,316,93817,0.76,0.76,,2,6,2,13,92,18,128,80,92,23345,16,4720,31
2021-11-23,603,334,83110,0.73,0.73,,0,6,3,14,94,18,125,79,90,23350,14,4724,30
2021-11-24,543,506,78606,0.69,0.69,,3,5,4,10,96,20,118,77,84,23354,14,4725,30
2021-11-25,539,555,78530,0.69,0.69,,3,8,4,14,92,16,117,73,80,23362,17,4725,30
2021-11-26,541,392,79686,0.68,0.68,,2,8,4,7,84,20,121,72,81,23369,10,4726,30
2021-11-27,169,308,33012,0.51,0.51,,1,9,4,8,82,19,123,70,80,23375,16,4726,28
2021-11-28,542,769,81175,0.67,0.67,,3,7,2,12,89,16,124,71,81,23380,13,4730,26
2021-11-29,699,451,105634,0.66,0.66,,3,3,3,13,94,17,117,70,79,23382,12,4732,26
2021-11-30,577,547,90734,0.64,0.64,,3,6,4,21,109,16,115,66,77,23385,26,4733,23
2021-12-01,563,630,92820,0.61,0.61,,1,2,2,8,105,14,112,66,74,23387,9,4734,24
2021-12-02,519,643,90860,0.57,0.57,,2,6,2,11,102,13,111,65,75,23392,13,4735,24
2021-12-03,486,520,90427,0.54,0.54,,1,4,2,12,105,13,108,64,75,23396,16,4737,24
2021-12-04,248,314,39697,0.62,0.62,,2,5,2,10,109,12,106,63,72,23401,11,4737,24
2021-12-05,539,720,88372,0.61,0.61,,1,6,3,17,118,15,107,63,73,23406,18,4737,23
2021-12-06,739,446,106784,0.69,0.69,,2,6,3,15,121,15,106,61,72,23408,15,4739,23
2021-12-07,813,504,107130,0.76,0.76,,3,5,2,17,124,13,102,56,68,23413,22,4739,21
2021-12-08,714,633,97657,0.73,0.73,,6,3,1,12,128,11,96,54,63,23416,14,4740,21
2021-12-09,647,673,93144,0.69,0.69,,1,5,3,17,137,12,89,55,62,23420,18,4742,19
2021-12-10,607,548,84811,0.72,0.72,,2,11,2,10,133,9,96,54,60,23427,16,4743,19
2021-12-11,236,542,35948,0.66,0.66,,1,4,2,19,144,10,96,51,57,23430,22,4743,18
2021-12-12,492,705,87190,0.56,0.56,,2,2,6,17,152,14,91,49,55,23432,13,4743,18
2021-12-13,771,424,101182,0.76,0.76,,4,7,2,12,146,11,91,48,57,23438,13,4744,17
2021-12-14,702,461,98546,0.71,0.71,,1,3,4,21,155,14,86,47,57,23440,22,4744,17
2021-12-15,789,663,96009,0.82,0.82,,1,1,5,11,158,17,80,45,55,23440,13,4745,15
2021-12-16,862,831,95897,0.9,0.9,,1,4,4,24,170,16,77,43,54,23444,23,4746,15
2021-12-17,877,697,91973,0.95,0.95,,2,6,3,18,174,16,79,42,53,23450,19,4747,14
2021-12-18,393,427,35637,1.1,1.1,,2,4,2,16,183,15,77,40,49,23452,17,4748,16
2021-12-19,1022,733,93987,1.09,1.09,,2,6,7,15,187,21,80,41,49,23457,18,4752,16
2021-12-20,1330,502,104453,1.27,1.27,,2,9,7,22,200,21,78,40,47,23464,26,4754,16
2021-12-21,1200,438,97023,1.24,1.24,,0,8,4,17,200,20,77,37,43,23469,16,4754,15
2021-12-22,1415,631,98890,1.43,1.43,,0,5,5,25,215,21,75,37,44,23472,24,4754,15
2021-12-23,1514,668,107155,1.41,1.41,,1,9,4,31,231,21,79,38,47,23478,38,4755,17
2021-12-24,1789,666,99064,1.81,1.81,,1,12,5,28,242,18,84,37,44,23489,36,4755,18
2021-12-25,806,456,37808,2.13,2.13,,0,12,7,18,246,20,88,36,43,23499,20,4755,18
2021-12-26,1805,901,94494,1.91,1.91,,2,13,5,35,274,21,92,37,46,23509,37,4757,18
2021-12-27,2973,769,126926,2.34,2.34,,3,6,5,42,297,22,81,36,44,23515,51,4758,18
2021-12-28,3241,1215,129591,2.5,2.5,,1,12,7,48,320,25,84,38,47,23523,51,4759,18
2021-12-29,4070,1216,136637,2.98,2.98,,2,12,7,47,346,23,87,38,45,23532,51,4760,18
2021-12-30,5079,1334,159363,3.19,3.19,,0,7,3,63,389,19,88,38,44,23538,66,4760,18
2021-12-31,5493,1156,139329,3.94,3.94,,1,10,7,51,414,25,95,37,43,23546,58,4760,17
2022-01-01,4230,1050,92512,4.57,4.57,,2,12,2,55,439,20,101,37,44,23556,60,4761,17
2022-01-02,6609,1883,136552,4.84,4.84,,5,20,10,73,491,21,109,34,46,23574,82,4761,16
2022-01-03,10954,1457,198232,5.53,5.53,,4,12,12,112,558,23,108,35,44,23584,114,4763,15
2022-01-04,12642,1851,190739,6.63,6.63,,1,19,16,131,638,28,114,39,48,23601,138,4768,15
2022-01-05,18586,2711,313399,5.93,7.78,2.21,4,30,14,132,701,33,128,38,51,23630,146,4769,15
2022-01-06,19125,3550,307490,6.22,7.89,2.64,2,25,13,149,767,34,132,40,52,23654,154,4771,15
2022-01-07,22013,3707,284183,7.75,8.78,4.97,3,36,17,160,808,38,147,44,55,23685,168,4777,15
2022-01-08,22893,3143,264745,8.65,10.42,5.99,5,33,20,175,901,47,161,47,60,23714,184,4781,15
2022-01-09,31162,6195,342879,9.09,11.62,6.61,7,49,45,266,1038,79,192,52,67,23765,292,4785,14
2022-01-10,41429,5028,379604,10.91,13.44,7.83,9,52,35,288,1140,83,214,59,74,,319,4795,13
2022-01-11,47461,6997,400813,11.84,15.08,8.51,7,70,49,249,1194,83,245,55,82,,260,4800,9
2022-01-12,48577,11781,409092,11.87,14.98,8.7,7,37,50,310,1331,103,238,64,84,,342,4808,12
2022-01-13,49245,57997,403826,12.19,15.07,9.36,11,87,44,339,1406,107,282,72,89,,370,4816,13
2022-01-14,45859,20075,322067,14.24,15.56,11.49,12,91,54,307,1432,129,317,78,95,,358,4826,12
2022-01-15,45085,15854,316582,14.24,17.17,11.45,17,96,54,339,1509,141,371,92,115,,347,4845,11
2022-01-16,64771,39562,426537,15.19,19.47,12.18,19,131,69,432,1679,152,432,93,121,,431,4853,11
2022-01-17,72058,44978,447590,16.1,19.71,12.6,23,119,70,453,1717,168,457,93,121,,479,4867,11
2022-01-18,73883,48374,443611,16.65,20.76,13.05,20,131,63,489,1824,164,515,93,121,,480,4883,11
2022-01-19,75095,94522,410190,18.31,20.85,15.3,24,128,102,401,1813,203,536,105,150,,425,4897,14
2022-01-20,75109,27958,374330,20.06,21.14,18.05,25,149,80,528,1931,199,584,112,168,,556,4913,14
2022-01-21,65631,88539,313075,20.96,21.18,19.49,38,173,65,472,1900,180,637,124,180,,491,4940,16
2022-01-22,67932,69541,327820,20.72,23.05,18.37,40,162,89,394,1869,214,712,146,208,,410,4964,16
2022-01-23,85247,77240,378158,22.54,25.95,19.8,41,178,114,530,2049,259,787,146,208,,586,4982,16
2022-01-24,83731,75492,391267,21.4,24.35,18.4,55,165,114,548,2085,271,807,165,228,,577,5010,18
2022-01-25,76359,61340,360518,21.18,23.6,18.73,44,194,124,577,2097,301,856,184,244,,621,,19
2022-01-26,67901,65605,284539,23.86,25.53,20.89,52,184,108,430,1994,318,906,198,259,,474,,20
2022-01-27,57741,65414,234925,24.58,24.38,23.68,37,190,105,490,1924,306,942,212,282,,500,,18
2022-01-28,53776,48831,202432,26.56,26.3,25.29,51,157,80,403,1893,279,933,227,298,,459,,18
2022-01-29,49440,97492,187933,26.31,28.51,24.32,56,169,55,388,1894,269,990,231,301,,407,,19
2022-01-30,74533,77377,262257,28.42,28.06,27.42,54,218,114,518,2071,315,1074,250,333,,565,,19
2022-01-31,67895,65950,264423,25.68,24.13,26.22,58,230,112,527,2068,306,1123,257,339,,566,,20
2022-02-01,60554,62767,237737,25.47,22.74,27.36,64,197,102,446,1949,313,1116,270,356,,467,,18
2022-02-02,60914,44199,213442,28.54,25.35,29.95,73,191,117,533,1952,318,1103,268,348,,564,,17
2022-02-03,46771,55943,187251,24.98,21.66,27.4,72,198,101,417,1879,336,1131,274,353,,458,,18
2022-02-04,38278,78451,150055,25.51,21.77,29.5,52,208,79,397,1790,294,1149,285,355,,462,,17
2022-02-05,33665,32926,116576,28.88,25.87,29.26,63,184,73,314,1726,298,1191,291,375,,335,,17
2022-02-06,52742,82564,187125,28.19,23.09,30.69,61,180,112,438,1859,352,1240,288,374,,476,,19
2022-02-07,44033,57978,182181,24.17,20.04,28.59,73,191,99,400,1769,329,1207,297,379,,432,,20
2022-02-08,38293,47167,157271,24.35,19.08,29.59,59,173,82,422,1782,296,1168,285,363,,422,,22
2022-02-09,37424,33158,148378,25.22,18.81,31.3,56,156,61,283,1598,272,1127,273,343,,303,,22
2022-02-10,27933,35143,128474,21.74,16.67,28.24,74,163,92,323,1509,275,1093,264,346,,335,,23
2022-02-11,22521,45707,98988,22.75,17.72,30.26,56,125,60,249,1370,255,1026,267,345,,278,,23
2022-02-12,18050,26470,69240,26.07,18.23,29.18,57,100,59,203,1341,269,1011,244,283,,240,,18
2022-02-13,31629,43331,126738,24.96,18.06,30.09,46,111,72,270,1408,300,1018,285,349,,286,,24
2022-02-14,23685,67419,123958,19.11,14.12,26.44,49,150,62,292,1351,257,1013,286,351,,300,,26
2022-02-15,20430,28171,108815,18.77,12.75,27.11,39,95,61,240,1262,253,943,279,306,,238,,28
2022-02-16,21309,25129,112939,18.87,12.26,27.88,37,101,52,249,1221,223,896,271,327,,246,,28
2022-02-17,15508,23877,95454,16.25,11.3,24.54,38,99,43,224,1232,206,851,258,317,,221,,28
2022-02-18,12589,32585,72850,17.28,12.36,27.63,25,85,49,134,1056,201,811,258,293,,162,,29
2022-02-19,10367,19237,50495,20.53,11.74,25.52,26,77,37,158,1029,191,804,259,313,,160,,28
2022-02-20,17704,27780,90350,19.59,13.07,26.85,31,87,58,154,1054,215,813,259,312,,182,,28
2022-02-21,13069,26427,96020,13.61,9.16,23.02,27,73,47,181,1021,194,777,248,303,,200,,27
2022-02-22,12160,17803,84514,14.39,9.19,24.74,33,56,36,137,939,177,718,222,269,,163,,22
2022-02-23,11954,14111,78883,15.15,9.5,25.21,32,55,32,165,900,163,669,244,281,,177,,27
2022-02-24,9149,15688,76821,11.91,7.88,20.19,22,73,34,120,842,147,662,246,247,,140,,27
2022-02-25,7778,22145,56185,13.84,10.01,25.31,24,56,43,114,793,152,633,240,277,,127,,27
2022-02-26,5996,13354,36386,16.48,7.9,23.3,21,49,25,91,762,148,625,193,219,,103,,19
2022-02-27,10901,14511,67558,16.14,10.41,24.79,25,60,35,117,799,155,634,232,268,,125,,26
2022-02-28,8525,13698,69365,12.29,8.17,21.79,24,40,33,127,785,145,578,203,222,,135,,23
2022-03-01,7755,11737,72264,10.73,6.06,24.61,24,64,33,88,692,150,562,219,254,,103,,27
2022-03-02,8313,8464,74046,11.23,6.44,25.71,12,44,21,105,673,135,550,209,242,,100,,27
2022-03-03,6812,11182,61582,11.06,6.91,24.19,21,30,24,92,650,132,501,190,218,,96,,25
2022-03-04,6055,12512,49169,12.31,8.27,28.62,12,28,29,81,608,131,463,205,232,,81,,29
2022-03-05,4674,9357,30914,15.12,6.65,25.04,16,36,24,70,604,132,454,164,189,,75,,22
2022-03-06,7757,9629,55921,13.87,7.55,25.62,13,41,21,79,616,129,463,172,185,,81,,25
2022-03-07,7399,9339,73319,10.09,6.25,24.89,12,32,31,68,564,125,428,183,209,,71,,28
2022-03-08,6615,10499,60498,10.93,6.3,27.07,14,34,21,105,560,116,409,158,163,,111,,23
2022-03-09,6952,6629,61260,11.35,6.76,26.02,13,31,18,87,578,105,399,174,197,,92,,28
2022-03-10,5721,6523,58544,9.77,5.99,23.98,3,25,23,81,562,100,391,168,198,,91,,27
2022-03-11,5340,9728,48172,11.09,7.76,28.01,7,13,16,61,542,97,366,173,201,,55,,27
2022-03-12,3972,7154,26080,15.23,8.31,24.76,9,33,20,54,492,94,366,171,193,,59,,28
2022-03-13,5993,9052,51279,11.69,6.61,25.72,11,25,15,59,512,95,366,158,158,,65,,23
2022-03-14,6563,7831,67952,9.66,6.5,24.65,9,17,14,69,503,96,354,151,172,,69,,23
2022-03-15,6337,7236,57931,10.94,6.61,28.54,5,19,13,55,480,92,339,152,132,,59,,21
2022-03-16,6785,4891,56827,11.94,7.9,26.46,7,23,18,73,489,97,335,142,151,,75,,20
2022-03-17,6979,5253,55198,12.64,8.28,28.55,7,20,19,53,469,94,321,149,171,,72,,23
2022-03-18,7332,7112,45116,16.25,10.73,33.53,10,21,11,53,450,90,317,135,137,,59,,16
2022-03-19,7808,5862,37155,21.01,11.37,33.56,8,25,19,84,494,89,327,133,165,,95,,15
2022-03-20,12930,7420,63171,20.47,12.37,34.71,6,30,12,100,554,85,329,146,165,,110,,21
2022-03-21,14769,6636,87829,16.82,10.49,35.49,7,33,18,91,551,80,333,139,157,,106,,21
2022-03-22,13454,6847,78096,17.23,10.23,34.31,8,20,18,121,598,75,320,135,154,,136,,21
2022-03-23,14100,6046,76670,18.39,12.63,31.98,1,29,15,101,597,72,316,135,155,,89,,21
2022-03-24,12033,10148,67692,17.78,10.86,35.35,7,26,17,75,578,75,307,130,149,,86,,21
2022-03-25,11812,13801,58596,20.16,14.24,36.91,7,20,3,55,536,62,299,130,149,,60,,21
2022-03-26,9860,12425,41683,23.65,12.83,35.79,11,22,18,103,591,65,294,116,129,,103,,20
2022-03-27,15864,14108,71469,22.2,13.89,35.17,8,28,18,102,639,74,296,116,133,,119,,19
2022-03-28,15337,12852,86180,17.8,12.18,32.65,5,34,24,115,640,79,293,111,135,,113,,20
2022-03-29,14239,12469,78897,18.05,12.06,32.41,8,23,16,104,655,78,277,106,128,,118,,19
2022-03-30,12161,9528,71219,17.08,11.09,31.07,8,28,18,95,656,77,267,102,125,,99,,19
2022-03-31,10703,11418,63435,16.87,10.77,32.68,12,38,18,108,657,71,266,96,115,,103,,18
2022-04-01,10504,16310,55196,19.03,13.65,36.53,4,30,17,64,596,63,271,85,92,,72,,11
2022-04-02,7360,13245,32626,22.56,13.26,33.54,12,31,10,83,585,62,275,101,122,,82,,17
2022-04-03,10793,13783,60250,17.91,10.48,31.83,10,24,23,87,628,75,266,99,121,,90,,17
2022-04-04,10919,12261,67607,16.15,11.55,29.29,7,17,23,122,654,76,248,97,115,,132,,17
2022-04-05,9340,10958,59872,15.6,10.65,28.16,2,44,35,74,589,91,264,103,117,,87,,17
2022-04-06,8066,8623,56486,14.28,10.24,24.59,7,35,22,65,550,82,276,102,114,,80,,16
2022-04-07,6765,9130,52787,12.82,8.58,25.76,5,26,25,90,555,86,259,101,114,,94,,16
2022-04-08,6716,12538,48956,13.72,9.96,29.66,9,33,13,77,532,70,252,85,87,,83,,7
2022-04-09,4666,9580,28153,16.57,9.68,26.33,11,32,18,63,513,83,259,91,105,,70,,11
2022-04-10,6750,9300,53658,12.58,7.58,25.8,8,31,18,71,527,84,273,102,117,,72,,11
2022-04-11,6631,7792,60467,10.97,8.02,22.38,6,24,22,87,490,74,250,99,113,,76,,9
2022-04-12,5408,6947,54654,9.89,7.37,19.09,7,21,17,69,473,68,243,84,92,,69,,6
2022-04-13,4786,5849,57683,8.3,5.96,17.49,7,23,13,50,422,58,228,90,104,,50,,9
2022-04-14,4719,6030,56200,8.4,6.01,18.46,4,23,7,55,392,48,231,77,86,,58,,6
2022-04-15,3843,7567,48276,7.96,5.78,18.39,4,16,13,45,345,51,215,74,76,,40,,5
2022-04-16,2279,3876,25687,8.87,4.74,16.65,0,14,7,64,378,47,212,81,99,,11,,8
2022-04-17,4097,7477,39820,10.29,7.01,19.79,3,23,14,56,392,56,220,81,99,,,,8
2022-04-18,4287,4900,48234,8.89,6.31,19.13,1,22,7,76,400,44,226,81,96,,,,7
2022-04-19,4608,4857,51619,8.93,6.35,21.27,0,29,18,55,381,51,229,78,92,,,,7
2022-04-20,4059,3676,52155,7.78,5.43,21.09,0,19,15,54,367,55,227,75,90,,,,7
2022-04-21,3745,3539,55930,6.7,4.92,20.91,0,15,18,46,356,64,217,76,91,,,,7
2022-04-22,2462,4749,46040,5.35,3.54,20.99,0,15,12,33,319,64,214,76,91,,,,7
2022-04-23,2476,4388,34447,7.19,4.23,16.45,0,15,8,50,350,61,217,78,93,,,,7
2022-04-24,359,3878,9869,3.64,3.75,1.13,0,9,3,9,293,64,223,77,93,,,,6
