instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,56.3,40,2022-04-24T00:00:00.000Z
הכרמל,61.3,70.8,2022-04-24T00:00:00.000Z
סורוקה,64.3,68.5,2022-04-24T00:00:00.000Z
רבין ק. השרון,69.3,60.2,2022-04-24T00:00:00.000Z
פוריה,73.1,71.8,2022-04-24T00:00:00.000Z
מאיר,82.5,86,2022-04-24T00:00:00.000Z
וולפסון,87.3,72.3,2022-04-24T00:00:00.000Z
שמיר,88,68.4,2022-04-24T00:00:00.000Z
הדסה הר הצופים,88.9,76,2022-04-24T00:00:00.000Z
זיו צפת,89.1,67.1,2022-04-24T00:00:00.000Z
המרכזי בעמק,89.7,66.9,2022-04-24T00:00:00.000Z
"רמב""ם",97.5,77.9,2022-04-24T00:00:00.000Z
ברזילי,100.5,81.1,2022-04-24T00:00:00.000Z
בני ציון,100.8,79,2022-04-24T00:00:00.000Z
רבין ק. בילינסון,103.5,83,2022-04-24T00:00:00.000Z
נהריה,110.5,89.7,2022-04-24T00:00:00.000Z
הלל יפה,115.1,80,2022-04-24T00:00:00.000Z
לניאדו,116.7,89.4,2022-04-24T00:00:00.000Z
הדסה עין כרם,122.3,83.6,2022-04-24T00:00:00.000Z
