name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
מגאר,4.7,ירוק,8.2,0.0295950155763,-0.5777777777777999,25,צהוב,2022-04-21T00:00:00.000Z,72.36,64.39,41.07,10.7
קדומים,5.3,כתום,19.7,0.1960784313725,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,73.84,68.46,50.12,
תפרח,2.7,צהוב,8.9,0.2,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,52.03,35.00,19.44,
ג'ת,2.9,ירוק,4.9,0.031746031746,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,64.95,57.41,36.52,
מעגן מיכאל,4.9,כתום,14.4,0.0348837209302,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,81.00,78.74,62.00,
בית יצחק-שער חפר,7.3,כתום,97.9,0.1129032258064,1.1, קטן מ-15 ,כתום,2022-04-21T00:00:00.000Z,88.34,84.84,70.57,
דאלית אל-כרמל,5.3,צהוב,12.3,0.0450819672131,0.10000000000000009,18,צהוב,2022-04-21T00:00:00.000Z,64.51,54.75,38.23,10.1
עוזייר,3.1,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,65.62,59.13,30.93,
ראש פינה,5.7,כתום,24.7,0.063492063492,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,73.34,70.49,55.30,
אריאל,6,אדום,36.6,0.1128818061088,-0.21052631578949998,91,כתום,2022-04-21T00:00:00.000Z,71.29,68.07,53.59,44.4
חשמונאים,5.8,כתום,18.7,0.0642201834862,-0.4736842105264, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,מעל 90%,מעל 90%,81.52,
שבלי - אום אל-גנם,2.9,ירוק,6.5,0.0253164556962,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,73.54,65.28,41.40,
יד בנימין,5.8,כתום,23.5,0.2325581395348,-0.375, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,59.24,53.21,36.15,
יקנעם עילית,6.9,אדום,50.3,0.1076923076923,-0.3314917127072,132,כתום,2022-04-21T00:00:00.000Z,80.92,77.56,61.80,54.9
דייר אל-אסד,3.2,צהוב,1.6,0.0076923076923,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,70.61,59.11,37.06,
רמת ישי,6,אדום,36.7,0.079283887468,-0.42000000000000004,44,צהוב,2022-04-21T00:00:00.000Z,84.31,81.78,66.69,55.7
מעלה אדומים,5.8,אדום,26.7,0.1071071071071,-0.3726708074535,108,צהוב,2022-04-21T00:00:00.000Z,77.56,71.96,55.30,28.6
עין קנייא,4.4,צהוב,23.3,0.1515151515151,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,83.90,72.80,50.72,
"בסמ""ה",3.8,צהוב,1.0,0.0034722222222,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,66.26,57.06,31.78,
כפר תבור,6.2,אדום,43.2,0.0858208955223,-0.5365853658537,28,כתום,2022-04-21T00:00:00.000Z,87.82,83.41,66.17,63.6
גבעת ברנר,5.4,אדום,45.0,0.0633484162895,-0.5862068965518, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,79.21,77.04,61.84,
צופים,5.4,כתום,12.3,0.063492063492,-0.16666666666670005, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,71.73,66.98,49.02,
גני מודיעין,4.3,כתום,7.4,0.15,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,38.15,32.98,20.63,
קדימה-צורן,6,אדום,43.2,0.0785302593659,-0.3422818791947,107,כתום,2022-04-21T00:00:00.000Z,78.97,75.75,59.77,47.1
שעב,4.9,צהוב,2.8,0.018018018018,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,71.59,62.23,36.84,
אשדוד,6.2,אדום,33.3,0.1070588235294,-0.3243727598567,795,כתום,2022-04-21T00:00:00.000Z,70.91,64.16,47.37,35.1
תל אביב - יפו,5.7,כתום,37.7,0.0552994184523,-0.38554216867470004,2599,צהוב,2022-04-21T00:00:00.000Z,76.83,73.33,59.19,51.9
כוכב יאיר,6.1,כתום,40.1,0.0535966149506,-0.406779661017,37,כתום,2022-04-21T00:00:00.000Z,מעל 90%,מעל 90%,81.90,42.3
גן נר,4.1,צהוב,18.5,0.0495867768595,-0.4117647058824, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,87.52,83.93,67.85,
עתלית,6.1,כתום,30.9,0.0727272727272,-0.5454545454546,34,כתום,2022-04-21T00:00:00.000Z,73.70,70.15,53.51,35.0
תקוע,3.9,צהוב,2.4,0.0102040816326,-0.2857142857143, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,62.51,56.40,36.96,
גני תקווה,6,כתום,37.7,0.0604619565217,-0.44137931034489997,106,צהוב,2022-04-21T00:00:00.000Z,84.42,80.32,64.12,49.3
אבו גוש,3.3,צהוב,14.0,0.0282352941176,-0.56,38,ירוק,2022-04-21T00:00:00.000Z,מעל 90%,מעל 90%,80.81,48.3
כאבול,3.1,ירוק,7.0,0.0246305418719,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,65.51,55.14,34.23,
נחף,4,צהוב,1.5,0.0291970802919,-0.2307692307693, 0 ,ירוק,2022-04-21T00:00:00.000Z,65.70,56.22,32.05,0.0
אעבלין,3.9,צהוב,6.7,0.0315457413249,-0.375, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,67.16,58.82,36.64,
תל מונד,5.9,אדום,46.8,0.0608166811468,-0.30000000000000004,72,צהוב,2022-04-21T00:00:00.000Z,מעל 90%,87.48,69.53,53.5
גבעת זאב,5,כתום,18.2,0.0978835978835,0,45,צהוב,2022-04-21T00:00:00.000Z,59.44,50.80,35.68,23.4
ביתר עילית,2,ירוק,0.8,0.0301204819277,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,34.31,24.00,11.87,
חספין,5.1,צהוב,29.3,0.1794871794871,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,51.58,46.56,32.57,
זמר,4.5,ירוק,8.3,0.027027027027,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,66.21,58.15,34.51,
מתן,5.8,כתום,41.3,0.061475409836,-0.42307692307699996,16,צהוב,2022-04-21T00:00:00.000Z,84.46,81.68,66.50,44.1
רכסים,6.7,צהוב,9.9,0.2083333333333,0.30000000000000004,21,כתום,2022-04-21T00:00:00.000Z,47.62,35.04,20.04,15.9
אטרש (שבט),2.5,אפור,2.8,0.0454545454545,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,10.03,8.23,2.64,
רומת הייב,4.5,ירוק,9.5,0.0204081632653,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,59.16,52.24,27.10,
מבשרת ציון,6.8,כתום,47.2,0.0915279878971,-0.41919191919200005,166,כתום,2022-04-21T00:00:00.000Z,83.92,79.32,64.28,68.2
חצור הגלילית,6.3,כתום,15.7,0.1119402985074,-0.5161290322581,26,כתום,2022-04-21T00:00:00.000Z,69.91,62.09,45.52,27.3
מזכרת בתיה,6.1,אדום,44.4,0.0819112627986,-0.25555555555559994,56,כתום,2022-04-21T00:00:00.000Z,מעל 90%,86.07,66.09,37.1
אלון שבות,5.6,צהוב,32.1,0.1351351351351,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,מעל 90%,84.41,65.93,
כפר אדומים,5.3,כתום,27.5,0.0804597701149,0.30000000000000004, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,74.94,70.40,50.45,
טירת כרמל,6.4,אדום,33.4,0.1016355140186,-0.4295774647888,100,כתום,2022-04-21T00:00:00.000Z,78.63,74.34,57.89,41.2
דייר חנא,3.5,כתום,8.6,0.0315457413249,-0.2307692307693, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,73.26,62.11,37.96,
כפר כנא,3.6,ירוק,2.6,0.0201149425287,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,69.29,60.01,34.91,
אליכין,6.1,כתום,46.2,0.1770833333333,0.45454545454539996,17,כתום,2022-04-21T00:00:00.000Z,72.45,68.98,52.08,49.0
עפרה,5.1,כתום,9.7,0.0535714285714,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,78.27,72.07,53.15,
פדואל,4.5,כתום,14.7,0.15,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,82.16,75.28,51.15,
סלמה,3.4,צהוב,11.8,0.0196078431372,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,68.78,58.93,36.04,
צור יצחק,6.7,כתום,38.0,0.0797546012269,-0.26470588235299997,24,כתום,2022-04-21T00:00:00.000Z,76.54,72.50,53.01,36.4
עלי זהב,5.1,כתום,18.3,0.1428571428571,-0.2857142857143, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,74.37,66.75,41.28,
רבבה,5.3,כתום,10.7,0.2142857142857,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,71.25,63.22,40.67,
שמשית,5.5,כתום,51.6,0.0654205607476,-0.5,24,צהוב,2022-04-21T00:00:00.000Z,מעל 90%,מעל 90%,77.32,95.3
בסמת טבעון,4.5,ירוק,11.2,0.0276073619631,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,58.64,53.21,29.83,
נוף הגליל,5.8,כתום,27.2,0.0683324834268,-0.2549019607844,140,צהוב,2022-04-21T00:00:00.000Z,75.44,70.60,54.62,33.4
כפר כמא,7.9,כתום,17.7,0.2222222222222,-0.5833333333334, קטן מ-15 ,אדום,2022-04-21T00:00:00.000Z,74.00,70.20,55.42,
סאג'ור,4.7,ירוק,16.1,0.0714285714285,0, קטן מ-15 ,צהוב,2022-04-21T00:00:00.000Z,78.17,67.89,48.30,
בוקעאתא,3,ירוק,6.0,0.0655737704918,0, קטן מ-15 ,ירוק,2022-04-21T00:00:00.000Z,82.45,68.88,45.86,
רהט,3.8,ירוק,2.9,0.0201850294365,-0.34375,33,ירוק,2022-04-21T00:00:00.000Z,45.01,36.78,16.56,4.5
