period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,7768,768,9.89
3_Month,0-9,39135,10764,27.5
6_Month,0-9,221057,54978,24.87
1_Year,0-9,1278787,545743,42.68
All,0-9,1712695,766380,44.75
1_Month,10-19,11560,1425,12.33
3_Month,10-19,44235,9817,22.19
6_Month,10-19,233503,53698,23
1_Year,10-19,1199294,580705,48.42
All,10-19,1629944,807782,49.56
1_Month,20-29,16064,1892,11.78
3_Month,20-29,63048,15193,24.1
6_Month,20-29,310651,65708,21.15
1_Year,20-29,1074242,425909,39.65
All,20-29,1472670,603281,40.97
1_Month,30-39,15850,2420,15.27
3_Month,30-39,66061,18731,28.35
6_Month,30-39,309000,82867,26.82
1_Year,30-39,1039600,469789,45.19
All,30-39,1372022,611709,44.58
1_Month,40-49,16766,2682,16
3_Month,40-49,64632,18996,29.39
6_Month,40-49,296656,84146,28.36
1_Year,40-49,945313,439347,46.48
All,40-49,1218896,555566,45.58
1_Month,50-59,17108,3043,17.79
3_Month,50-59,62450,19057,30.52
6_Month,50-59,268959,79693,29.63
1_Year,50-59,744235,316018,42.46
All,50-59,954356,395901,41.48
1_Month,60-69,19424,4032,20.76
3_Month,60-69,69926,22572,32.28
6_Month,60-69,259713,87283,33.61
1_Year,60-69,624498,248717,39.83
All,60-69,787856,301115,38.22
1_Month,70-79,20965,4781,22.8
3_Month,70-79,68472,22589,32.99
6_Month,70-79,202710,78815,38.88
1_Year,70-79,411235,165765,40.31
All,70-79,512772,193895,37.81
1_Month,80-89,15949,2149,13.47
3_Month,80-89,41521,10881,26.21
6_Month,80-89,88084,33780,38.35
1_Year,80-89,159941,66724,41.72
All,80-89,218617,81318,37.2
1_Month,90+,5468,508,9.29
3_Month,90+,13033,2878,22.08
6_Month,90+,23011,8274,35.96
1_Year,90+,38051,16530,43.44
All,90+,57004,21090,37
