section,male,female,period,order_period
0-9,"{'amount': 3, 'percentage': 0.2}","{'amount': 0, 'percentage': 0}",6 חודשים,3
0-9,"{'amount': 2, 'percentage': 0.7}","{'amount': 0, 'percentage': 0}",3 חודשים,4
0-9,"{'amount': 2, 'percentage': 4.3}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 5, 'percentage': 0.1}","{'amount': 3, 'percentage': 0}",מתחילת קורונה,1
0-9,"{'amount': 4, 'percentage': 0.1}","{'amount': 3, 'percentage': 0.1}",שנה,2
10-19,"{'amount': 3, 'percentage': 0}","{'amount': 4, 'percentage': 0}",מתחילת קורונה,1
10-19,"{'amount': 3, 'percentage': 0.1}","{'amount': 1, 'percentage': 0}",שנה,2
10-19,"{'amount': 1, 'percentage': 0.1}","{'amount': 1, 'percentage': 0.1}",6 חודשים,3
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",3 חודשים,4
20-29,"{'amount': 4, 'percentage': 0.2}","{'amount': 3, 'percentage': 0.2}",6 חודשים,3
20-29,"{'amount': 18, 'percentage': 0.4}","{'amount': 8, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 23, 'percentage': 0.3}","{'amount': 16, 'percentage': 0.2}",מתחילת קורונה,1
20-29,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
20-29,"{'amount': 2, 'percentage': 0.7}","{'amount': 1, 'percentage': 0.3}",3 חודשים,4
30-39,"{'amount': 4, 'percentage': 1.3}","{'amount': 1, 'percentage': 0.3}",3 חודשים,4
30-39,"{'amount': 1, 'percentage': 2.2}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
30-39,"{'amount': 44, 'percentage': 0.5}","{'amount': 31, 'percentage': 0.4}",מתחילת קורונה,1
30-39,"{'amount': 31, 'percentage': 0.7}","{'amount': 24, 'percentage': 0.5}",שנה,2
30-39,"{'amount': 14, 'percentage': 0.8}","{'amount': 9, 'percentage': 0.5}",6 חודשים,3
40-49,"{'amount': 34, 'percentage': 1.9}","{'amount': 10, 'percentage': 0.5}",6 חודשים,3
40-49,"{'amount': 104, 'percentage': 1.3}","{'amount': 65, 'percentage': 0.8}",מתחילת קורונה,1
40-49,"{'amount': 2, 'percentage': 4.3}","{'amount': 1, 'percentage': 2.2}",חודש אחרון,5
40-49,"{'amount': 12, 'percentage': 4}","{'amount': 4, 'percentage': 1.3}",3 חודשים,4
40-49,"{'amount': 77, 'percentage': 1.7}","{'amount': 41, 'percentage': 0.9}",שנה,2
50-59,"{'amount': 22, 'percentage': 7.3}","{'amount': 10, 'percentage': 3.3}",3 חודשים,4
50-59,"{'amount': 2, 'percentage': 4.3}","{'amount': 4, 'percentage': 8.7}",חודש אחרון,5
50-59,"{'amount': 321, 'percentage': 3.9}","{'amount': 163, 'percentage': 2}",מתחילת קורונה,1
50-59,"{'amount': 192, 'percentage': 4.2}","{'amount': 98, 'percentage': 2.1}",שנה,2
50-59,"{'amount': 70, 'percentage': 3.8}","{'amount': 39, 'percentage': 2.1}",6 חודשים,3
60-69,"{'amount': 43, 'percentage': 14.2}","{'amount': 34, 'percentage': 11.3}",3 חודשים,4
60-69,"{'amount': 6, 'percentage': 13}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
60-69,"{'amount': 825, 'percentage': 10}","{'amount': 451, 'percentage': 5.5}",מתחילת קורונה,1
60-69,"{'amount': 471, 'percentage': 10.3}","{'amount': 302, 'percentage': 6.6}",שנה,2
60-69,"{'amount': 183, 'percentage': 10}","{'amount': 147, 'percentage': 8}",6 חודשים,3
70-79,"{'amount': 680, 'percentage': 14.8}","{'amount': 492, 'percentage': 10.7}",שנה,2
70-79,"{'amount': 1296, 'percentage': 15.7}","{'amount': 797, 'percentage': 9.6}",מתחילת קורונה,1
70-79,"{'amount': 3, 'percentage': 6.5}","{'amount': 8, 'percentage': 17.4}",חודש אחרון,5
70-79,"{'amount': 35, 'percentage': 11.6}","{'amount': 45, 'percentage': 14.9}",3 חודשים,4
70-79,"{'amount': 267, 'percentage': 14.6}","{'amount': 196, 'percentage': 10.7}",6 חודשים,3
80-89,"{'amount': 732, 'percentage': 16}","{'amount': 700, 'percentage': 15.3}",שנה,2
80-89,"{'amount': 24, 'percentage': 7.9}","{'amount': 32, 'percentage': 10.6}",3 חודשים,4
80-89,"{'amount': 3, 'percentage': 6.5}","{'amount': 10, 'percentage': 21.7}",חודש אחרון,5
80-89,"{'amount': 1409, 'percentage': 17}","{'amount': 1276, 'percentage': 15.4}",מתחילת קורונה,1
80-89,"{'amount': 291, 'percentage': 15.9}","{'amount': 279, 'percentage': 15.3}",6 חודשים,3
90+,"{'amount': 295, 'percentage': 6.4}","{'amount': 417, 'percentage': 9.1}",שנה,2
90+,"{'amount': 592, 'percentage': 7.2}","{'amount': 839, 'percentage': 10.1}",מתחילת קורונה,1
90+,"{'amount': 0, 'percentage': 0}","{'amount': 4, 'percentage': 8.7}",חודש אחרון,5
90+,"{'amount': 7, 'percentage': 2.3}","{'amount': 24, 'percentage': 7.9}",3 חודשים,4
90+,"{'amount': 103, 'percentage': 5.6}","{'amount': 173, 'percentage': 9.5}",6 חודשים,3
