section,male,female,period,order_period
0-9,"{'amount': 7, 'percentage': 0.6}","{'amount': 0, 'percentage': 0}",6 חודשים,3
0-9,"{'amount': 3, 'percentage': 0.9}","{'amount': 0, 'percentage': 0}",3 חודשים,4
0-9,"{'amount': 1, 'percentage': 1.1}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 14, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.2}",מתחילת קורונה,1
0-9,"{'amount': 9, 'percentage': 0.3}","{'amount': 6, 'percentage': 0.2}",שנה,2
10-19,"{'amount': 16, 'percentage': 0.3}","{'amount': 14, 'percentage': 0.3}",מתחילת קורונה,1
10-19,"{'amount': 8, 'percentage': 0.3}","{'amount': 9, 'percentage': 0.3}",שנה,2
10-19,"{'amount': 7, 'percentage': 0.6}","{'amount': 5, 'percentage': 0.5}",6 חודשים,3
10-19,"{'amount': 0, 'percentage': 0}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
10-19,"{'amount': 1, 'percentage': 0.3}","{'amount': 1, 'percentage': 0.3}",3 חודשים,4
20-29,"{'amount': 14, 'percentage': 1.3}","{'amount': 10, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 37, 'percentage': 1.4}","{'amount': 28, 'percentage': 1}",שנה,2
20-29,"{'amount': 44, 'percentage': 0.9}","{'amount': 48, 'percentage': 1}",מתחילת קורונה,1
20-29,"{'amount': 1, 'percentage': 1.1}","{'amount': 3, 'percentage': 3.2}",חודש אחרון,5
20-29,"{'amount': 8, 'percentage': 2.3}","{'amount': 4, 'percentage': 1.1}",3 חודשים,4
30-39,"{'amount': 13, 'percentage': 3.7}","{'amount': 11, 'percentage': 3.1}",3 חודשים,4
30-39,"{'amount': 7, 'percentage': 7.4}","{'amount': 4, 'percentage': 4.3}",חודש אחרון,5
30-39,"{'amount': 79, 'percentage': 1.6}","{'amount': 84, 'percentage': 1.8}",מתחילת קורונה,1
30-39,"{'amount': 51, 'percentage': 1.9}","{'amount': 66, 'percentage': 2.4}",שנה,2
30-39,"{'amount': 25, 'percentage': 2.3}","{'amount': 24, 'percentage': 2.2}",6 חודשים,3
40-49,"{'amount': 61, 'percentage': 5.6}","{'amount': 33, 'percentage': 3}",6 חודשים,3
40-49,"{'amount': 215, 'percentage': 4.5}","{'amount': 122, 'percentage': 2.5}",מתחילת קורונה,1
40-49,"{'amount': 11, 'percentage': 11.7}","{'amount': 5, 'percentage': 5.3}",חודש אחרון,5
40-49,"{'amount': 32, 'percentage': 9.1}","{'amount': 13, 'percentage': 3.7}",3 חודשים,4
40-49,"{'amount': 143, 'percentage': 5.3}","{'amount': 85, 'percentage': 3.1}",שנה,2
50-59,"{'amount': 48, 'percentage': 13.7}","{'amount': 24, 'percentage': 6.9}",3 חודשים,4
50-59,"{'amount': 13, 'percentage': 13.8}","{'amount': 10, 'percentage': 10.6}",חודש אחרון,5
50-59,"{'amount': 448, 'percentage': 9.3}","{'amount': 210, 'percentage': 4.4}",מתחילת קורונה,1
50-59,"{'amount': 272, 'percentage': 10}","{'amount': 137, 'percentage': 5.1}",שנה,2
50-59,"{'amount': 100, 'percentage': 9.2}","{'amount': 58, 'percentage': 5.3}",6 חודשים,3
60-69,"{'amount': 50, 'percentage': 14.3}","{'amount': 43, 'percentage': 12.3}",3 חודשים,4
60-69,"{'amount': 14, 'percentage': 14.9}","{'amount': 7, 'percentage': 7.4}",חודש אחרון,5
60-69,"{'amount': 781, 'percentage': 16.3}","{'amount': 404, 'percentage': 8.4}",מתחילת קורונה,1
60-69,"{'amount': 405, 'percentage': 14.9}","{'amount': 264, 'percentage': 9.7}",שנה,2
60-69,"{'amount': 150, 'percentage': 13.8}","{'amount': 121, 'percentage': 11.2}",6 חודשים,3
70-79,"{'amount': 400, 'percentage': 14.8}","{'amount': 266, 'percentage': 9.8}",שנה,2
70-79,"{'amount': 826, 'percentage': 17.2}","{'amount': 456, 'percentage': 9.5}",מתחילת קורונה,1
70-79,"{'amount': 5, 'percentage': 5.3}","{'amount': 5, 'percentage': 5.3}",חודש אחרון,5
70-79,"{'amount': 26, 'percentage': 7.4}","{'amount': 35, 'percentage': 10}",3 חודשים,4
70-79,"{'amount': 149, 'percentage': 13.7}","{'amount': 108, 'percentage': 10}",6 חודשים,3
80-89,"{'amount': 237, 'percentage': 8.7}","{'amount': 196, 'percentage': 7.2}",שנה,2
80-89,"{'amount': 16, 'percentage': 4.6}","{'amount': 15, 'percentage': 4.3}",3 חודשים,4
80-89,"{'amount': 3, 'percentage': 3.2}","{'amount': 3, 'percentage': 3.2}",חודש אחרון,5
80-89,"{'amount': 487, 'percentage': 10.2}","{'amount': 350, 'percentage': 7.3}",מתחילת קורונה,1
80-89,"{'amount': 93, 'percentage': 8.6}","{'amount': 83, 'percentage': 7.6}",6 חודשים,3
90+,"{'amount': 45, 'percentage': 1.7}","{'amount': 46, 'percentage': 1.7}",שנה,2
90+,"{'amount': 98, 'percentage': 2}","{'amount': 94, 'percentage': 2}",מתחילת קורונה,1
90+,"{'amount': 1, 'percentage': 1.1}","{'amount': 1, 'percentage': 1.1}",חודש אחרון,5
90+,"{'amount': 3, 'percentage': 0.9}","{'amount': 4, 'percentage': 1.1}",3 חודשים,4
90+,"{'amount': 18, 'percentage': 1.7}","{'amount': 19, 'percentage': 1.8}",6 חודשים,3
