gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage,count_hospitalized,hospitalized_percentage
זכר,0-9,3 חודשים,1307,1.3,0,0,1,0.4,4,0.4,125,2.4
זכר,0-9,6 חודשים,13118,3.6,0,0,4,0.6,11,0.3,482,3.4
זכר,0-9,מתחילת קורונה,443018,9.4,8,0.1,35,0.5,128,0.4,3406,3.7
זכר,0-9,חודש אחרון,506,1.3,0,0,1,0.6,4,0.7,76,2.8
זכר,0-9,שנה,298378,8.9,5,0.1,21,1,69,0.6,2006,4.9
נקבה,0-9,מתחילת קורונה,365079,7.7,4,0,18,0.3,80,0.2,2736,2.9
נקבה,0-9,שנה,236839,7.1,2,0.1,11,0.5,43,0.4,1600,3.9
נקבה,0-9,חודש אחרון,463,1.2,0,0,1,0.6,2,0.3,46,1.7
נקבה,0-9,3 חודשים,1370,1.4,0,0,1,0.4,2,0.2,77,1.5
נקבה,0-9,6 חודשים,11734,3.2,0,0,2,0.3,6,0.2,351,2.5
זכר,10-19,3 חודשים,2926,3,0,0,0,0,2,0.2,24,0.5
זכר,10-19,6 חודשים,11364,3.1,0,0,1,0.2,5,0.2,117,0.8
זכר,10-19,מתחילת קורונה,442409,9.4,6,0,25,0.4,83,0.3,1103,1.2
זכר,10-19,חודש אחרון,1259,3.1,0,0,0,0,2,0.3,14,0.5
זכר,10-19,שנה,288495,8.6,3,0.1,11,0.5,29,0.3,468,1.1
נקבה,10-19,3 חודשים,4150,4.2,0,0,1,0.4,3,0.3,28,0.5
נקבה,10-19,6 חודשים,13546,3.7,0,0,1,0.2,6,0.2,96,0.7
נקבה,10-19,חודש אחרון,1656,4.1,0,0,1,0.6,1,0.2,14,0.5
נקבה,10-19,מתחילת קורונה,434782,9.2,7,0.1,24,0.4,83,0.3,1247,1.3
נקבה,10-19,שנה,289117,8.7,2,0.1,10,0.5,21,0.2,506,1.2
זכר,20-29,מתחילת קורונה,273272,5.8,26,0.2,61,0.9,254,0.8,1711,1.8
זכר,20-29,שנה,170998,5.1,4,0.1,17,0.8,51,0.5,538,1.3
זכר,20-29,3 חודשים,4066,4.1,1,0.3,4,1.4,4,0.4,37,0.7
זכר,20-29,חודש אחרון,1901,4.8,0,0,1,0.6,3,0.5,21,0.8
זכר,20-29,6 חודשים,15642,4.3,2,0.2,6,0.9,10,0.3,137,1
נקבה,20-29,מתחילת קורונה,388360,8.2,22,0.2,64,0.9,286,0.9,5519,5.9
נקבה,20-29,שנה,262777,7.9,5,0.1,17,0.8,37,0.3,2258,5.5
נקבה,20-29,חודש אחרון,2689,6.7,0,0,2,1.3,2,0.3,58,2.1
נקבה,20-29,3 חודשים,6478,6.5,0,0,2,0.7,2,0.2,108,2.1
נקבה,20-29,6 חודשים,22540,6.2,0,0,7,1.1,11,0.3,465,3.3
זכר,30-39,מתחילת קורונה,274378,5.8,53,0.4,109,1.6,649,2,2416,2.6
זכר,30-39,שנה,190698,5.7,11,0.3,34,1.7,81,0.8,691,1.7
זכר,30-39,חודש אחרון,2076,5.2,0,0,2,1.3,7,1.2,33,1.2
זכר,30-39,3 חודשים,4726,4.8,0,0,3,1.1,7,0.7,55,1.1
זכר,30-39,6 חודשים,19275,5.3,0,0,5,0.8,19,0.6,190,1.3
נקבה,30-39,3 חודשים,6794,6.9,0,0,2,0.7,9,0.8,122,2.4
נקבה,30-39,6 חודשים,26680,7.4,1,0.1,9,1.4,15,0.5,486,3.4
נקבה,30-39,מתחילת קורונה,395972,8.4,40,0.3,116,1.7,610,1.9,5599,6
נקבה,30-39,חודש אחרון,2823,7.1,0,0,0,0,3,0.5,61,2.2
נקבה,30-39,שנה,288923,8.7,8,0.2,25,1.2,80,0.7,2283,5.5
זכר,40-49,מתחילת קורונה,249017,5.3,126,1,272,4,1445,4.4,3804,4.1
זכר,40-49,שנה,179443,5.4,22,0.6,53,2.6,174,1.6,883,2.1
זכר,40-49,3 חודשים,4770,4.8,1,0.3,2,0.7,12,1.1,77,1.5
זכר,40-49,חודש אחרון,2061,5.2,1,0.6,1,0.6,8,1.4,35,1.3
זכר,40-49,6 חודשים,18717,5.2,4,0.4,8,1.3,36,1.1,251,1.8
נקבה,40-49,6 חודשים,28255,7.8,4,0.4,7,1.1,21,0.6,241,1.7
נקבה,40-49,שנה,271291,8.1,17,0.4,26,1.3,106,1,1012,2.5
נקבה,40-49,מתחילת קורונה,358523,7.6,82,0.7,146,2.2,987,3,3767,4
נקבה,40-49,3 חודשים,8142,8.2,2,0.6,4,1.4,3,0.3,69,1.3
נקבה,40-49,חודש אחרון,3254,8.1,0,0,2,1.3,1,0.2,29,1.1
זכר,50-59,שנה,129582,3.9,81,2.1,132,6.5,397,3.7,1556,3.8
זכר,50-59,חודש אחרון,2037,5.1,3,1.8,10,6.3,14,2.4,105,3.8
זכר,50-59,מתחילת קורונה,176686,3.7,404,3.4,579,8.6,2330,7.1,5342,5.7
זכר,50-59,3 חודשים,4887,4.9,4,1.2,16,5.8,30,2.8,182,3.5
זכר,50-59,6 חודשים,17700,4.9,12,1.2,35,5.5,96,2.9,476,3.3
נקבה,50-59,3 חודשים,8607,8.7,4,1.2,9,3.3,18,1.7,131,2.5
נקבה,50-59,מתחילת קורונה,255192,5.4,209,1.7,277,4.1,1641,5,4238,4.6
נקבה,50-59,חודש אחרון,3407,8.5,0,0,3,1.9,7,1.2,67,2.4
נקבה,50-59,6 חודשים,28857,8,10,1,20,3.1,62,1.9,370,2.6
נקבה,50-59,שנה,198207,5.9,48,1.3,74,3.6,271,2.5,1220,3
זכר,60-69,מתחילת קורונה,139820,3,1054,8.7,1018,15.1,3574,10.9,7601,8.2
זכר,60-69,שנה,108179,3.2,229,6,245,12,893,8.4,2894,7
זכר,60-69,3 חודשים,6266,6.3,9,2.7,29,10.5,76,7.1,379,7.3
זכר,60-69,חודש אחרון,2472,6.2,2,1.2,14,8.8,41,7.2,198,7.2
זכר,60-69,6 חודשים,21701,6,42,4.3,78,12.2,251,7.6,995,7
נקבה,60-69,שנה,153967,4.6,133,3.5,136,6.7,599,5.6,2176,5.3
נקבה,60-69,חודש אחרון,3371,8.4,2,1.2,15,9.4,22,3.8,143,5.2
נקבה,60-69,מתחילת קורונה,188941,4,584,4.8,548,8.1,2396,7.3,5637,6.1
נקבה,60-69,3 חודשים,8970,9,10,3,22,8,41,3.8,277,5.4
נקבה,60-69,6 חודשים,31075,8.6,24,2.4,44,6.9,149,4.5,763,5.3
זכר,70-79,3 חודשים,6832,6.9,45,13.4,57,20.7,175,16.3,741,14.3
זכר,70-79,6 חודשים,22200,6.1,129,13.1,121,19,483,14.7,1871,13.1
זכר,70-79,חודש אחרון,2586,6.5,23,14.1,32,20.1,92,16.1,380,13.8
זכר,70-79,מתחילת קורונה,96275,2,1803,15,1159,17.2,4250,12.9,9024,9.7
זכר,70-79,שנה,80090,2.4,506,13.4,359,17.6,1529,14.3,4536,11
נקבה,70-79,3 חודשים,8471,8.5,35,10.4,27,9.8,137,12.7,605,11.7
נקבה,70-79,6 חודשים,28283,7.8,94,9.6,70,11,399,12.1,1528,10.7
נקבה,70-79,מתחילת קורונה,117180,2.5,1149,9.5,657,9.7,3238,9.9,7329,7.9
נקבה,70-79,חודש אחרון,3123,7.8,17,10.4,19,11.9,71,12.4,318,11.6
נקבה,70-79,שנה,99279,3,354,9.3,212,10.4,1161,10.9,3666,8.9
זכר,80-89,מתחילת קורונה,38677,0.8,2142,17.8,738,10.9,3732,11.4,7789,8.4
זכר,80-89,שנה,31434,0.9,732,19.3,273,13.4,1696,15.9,4489,10.9
זכר,80-89,חודש אחרון,1381,3.5,42,25.8,18,11.3,96,16.8,416,15.1
זכר,80-89,3 חודשים,3353,3.4,74,22,35,12.7,186,17.3,756,14.6
זכר,80-89,6 חודשים,10283,2.8,195,19.9,89,13.9,561,17,1898,13.3
נקבה,80-89,3 חודשים,4725,4.8,54,16,33,12,180,16.7,728,14.1
נקבה,80-89,6 חודשים,14560,4,171,17.4,77,12.1,561,17,1954,13.7
נקבה,80-89,חודש אחרון,1882,4.7,22,13.5,21,13.2,96,16.8,393,14.3
נקבה,80-89,מתחילת קורונה,53054,1.1,1954,16.2,558,8.3,3824,11.6,8288,8.9
