name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
סביון,8.1,כתום,182.9,0.1102040816326,0.3214285714284999,55,אדום,2022-02-28T00:00:00.000Z,מעל 90%,מעל 90%,82.42,136.0
עומר,8.5,אדום,154.6,0.1469613259668,-0.2865853658537,117,אדום,2022-02-28T00:00:00.000Z,מעל 90%,מעל 90%,80.02,154.6
בת ים,7.3,אדום,62.3,0.1368669717997,-0.4108068097706,939,כתום,2022-02-28T00:00:00.000Z,75.59,71.26,55.20,73.5
גבעתיים,8.2,אדום,106.8,0.1727207120519,-0.3387589013225,577,אדום,2022-02-28T00:00:00.000Z,79.68,77.26,64.32,94.8
הרצליה,8.4,אדום,122.5,0.1547683923705,-0.2401500938087,1095,אדום,2022-02-28T00:00:00.000Z,87.06,83.71,68.60,110.4
חדרה,7.6,אדום,75.6,0.1585635359116,-0.4664764621969,896,אדום,2022-02-28T00:00:00.000Z,72.60,68.49,52.27,90.6
חולון,7.8,אדום,73.4,0.1893171061528,-0.3862186303701,1504,אדום,2022-02-28T00:00:00.000Z,74.78,70.76,55.80,76.5
טבריה,6.8,כתום,49.0,0.1420089064819,-0.4371859296483001,431,כתום,2022-02-28T00:00:00.000Z,63.71,58.44,42.91,94.3
קרית אתא,8.4,אדום,100.7,0.1860209135938,-0.2807228915663,515,אדום,2022-02-28T00:00:00.000Z,76.42,71.83,56.15,86.9
כפר סבא,8.2,אדום,117.7,0.1625827003185,-0.3076923076924,1299,אדום,2022-02-28T00:00:00.000Z,83.85,80.82,65.85,127.8
לוד,6.3,כתום,46.8,0.1068989875206,-0.4290030211481,476,כתום,2022-02-28T00:00:00.000Z,64.84,57.99,39.66,58.9
אשקלון,8.4,אדום,81.9,0.197192168985,-0.4638069705094,1666,אדום,2022-02-28T00:00:00.000Z,72.31,67.41,50.45,113.8
נס ציונה,8.5,אדום,107.3,0.1928918590522,-0.3316892725031,468,אדום,2022-02-28T00:00:00.000Z,77.91,74.47,58.28,92.6
נצרת,6.1,אדום,37.7,0.1233416995338,-0.5506134969326,503,כתום,2022-02-28T00:00:00.000Z,68.28,59.01,35.87,64.7
נתניה,7,אדום,64.8,0.1236515740808,-0.4460596786535001,1732,כתום,2022-02-28T00:00:00.000Z,71.53,67.01,50.46,77.5
סח'נין,5,כתום,22.3,0.1058673469387,-0.5688622754492,204,צהוב,2022-02-28T00:00:00.000Z,73.49,62.09,37.85,63.3
עכו,7,אדום,60.2,0.1286449399656,-0.5106732348112,435,כתום,2022-02-28T00:00:00.000Z,76.77,70.56,51.11,87.8
עפולה,8.4,אדום,90.2,0.2155963302752,-0.3907363420427999,597,אדום,2022-02-28T00:00:00.000Z,71.03,66.44,50.40,105.0
פרדס חנה-כרכור,8.7,אדום,106.1,0.2121961269056,-0.4714611872147,520,אדום,2022-02-28T00:00:00.000Z,72.46,68.59,51.71,119.1
פתח תקווה,8.6,אדום,106.1,0.190206570433,-0.2749590834698,2607,אדום,2022-02-28T00:00:00.000Z,78.90,73.64,56.68,104.1
צפת,7.6,אדום,49.4,0.1931097008159,-0.3548387096775,241,אדום,2022-02-28T00:00:00.000Z,45.18,39.90,26.76,66.2
קרית מוצקין,8.6,אדום,116.4,0.1994801819363,-0.3354271356784,464,אדום,2022-02-28T00:00:00.000Z,83.33,79.87,64.94,102.1
ראשון לציון,7.5,אדום,79.1,0.1508780925522,-0.3735685546271,1928,אדום,2022-02-28T00:00:00.000Z,78.14,74.70,59.82,75.3
רחובות,8.2,אדום,86.3,0.1910333946884,-0.3900434992751,1136,אדום,2022-02-28T00:00:00.000Z,74.01,69.57,53.42,77.7
רמלה,6.8,אדום,42.8,0.1281471917366,-0.5125925925926,486,כתום,2022-02-28T00:00:00.000Z,68.33,61.03,41.55,63.2
רמת גן,7.4,אדום,92.2,0.1245491194568,-0.3179600886918,1561,כתום,2022-02-28T00:00:00.000Z,76.31,73.17,60.47,93.6
רעננה,7.8,אדום,114.2,0.1357922364967,-0.3435399551905,898,אדום,2022-02-28T00:00:00.000Z,89.73,86.27,70.57,116.7
שפרעם,5.3,כתום,23.3,0.1135084427767,-0.4896907216495,218,צהוב,2022-02-28T00:00:00.000Z,68.68,60.74,38.49,51.4
טמרה,3.3,ירוק,11.2,0.0301659125188,-0.61,131,ירוק,2022-02-28T00:00:00.000Z,69.53,57.56,34.37,37.6
באר שבע,8.1,אדום,102.2,0.1801643192488,-0.3647093537917,2576,אדום,2022-02-28T00:00:00.000Z,77.16,72.20,55.47,122.3
נהריה,8.1,אדום,93.9,0.1887581699346,-0.4847080630214,533,אדום,2022-02-28T00:00:00.000Z,83.34,79.59,62.94,90.1
בית שאן,7.9,אדום,78.5,0.1986301369863,-0.4659498207886,276,אדום,2022-02-28T00:00:00.000Z,74.24,68.06,48.40,145.4
זכרון יעקב,8.3,אדום,103.4,0.1771545827633,-0.4255319148937,241,אדום,2022-02-28T00:00:00.000Z,80.75,76.91,62.10,102.5
