instituteDesc,occupancy,gOccupancy,occupancyDate
יוספטל,50,56.9,2022-03-02T00:00:00.000Z
רבין ק. השרון,56.1,63.5,2022-03-02T00:00:00.000Z
סורוקה,67.4,81,2022-03-02T00:00:00.000Z
הכרמל,71.7,84.5,2022-03-02T00:00:00.000Z
הדסה הר הצופים,75,91.7,2022-03-02T00:00:00.000Z
וולפסון,75.4,80.4,2022-03-02T00:00:00.000Z
פוריה,76.9,78.6,2022-03-02T00:00:00.000Z
איכילוב,77,110.9,2022-03-02T00:00:00.000Z
שמיר,87.6,76.3,2022-03-02T00:00:00.000Z
לניאדו,87.2,83.3,2022-03-02T00:00:00.000Z
"רמב""ם",92.4,90.8,2022-03-02T00:00:00.000Z
נהריה,92.6,88.2,2022-03-02T00:00:00.000Z
בני ציון,92.6,91.9,2022-03-02T00:00:00.000Z
המרכזי בעמק,93.5,74.6,2022-03-02T00:00:00.000Z
ברזילי,93.2,82.8,2022-03-02T00:00:00.000Z
קפלן,94.7,91,2022-03-02T00:00:00.000Z
מאיר,100,96,2022-03-02T00:00:00.000Z
שיבא,100.4,109.1,2022-03-02T00:00:00.000Z
אסותא אשדוד,111.9,105.1,2022-03-02T00:00:00.000Z
רבין ק. בילינסון,117.2,98.8,2022-03-02T00:00:00.000Z
זיו צפת,117.2,82.4,2022-03-02T00:00:00.000Z
הדסה עין כרם,125.2,101.2,2022-03-02T00:00:00.000Z
