date,new_hospitalized,Counthospitalized,Counthospitalized_without_release,CountHardStatus,CountMediumStatus,CountEasyStatus,CountBreath,CountDeath,total_beds,StandardOccupancy,num_visits,patients_home,patients_hotel,CountBreathCum,CountDeathCum,CountCriticalStatus,CountSeriousCriticalCum
2020-03-02T00:00:00.000Z,3,10,10,0,0,10,0,0,1979,0.005053057099545225,5429,-228,0,0,0,0,0
2020-03-03T00:00:00.000Z,0,10,10,0,0,10,0,0,1979,0.005053057099545225,7589,-225,0,0,0,0,0
2020-03-04T00:00:00.000Z,3,12,11,0,0,12,0,0,1979,0.00606366851945427,6755,-226,0,0,0,0,0
2020-03-05T00:00:00.000Z,2,13,13,1,0,12,0,0,1979,0.006568974229408792,6836,-226,0,0,0,0,1
2020-03-06T00:00:00.000Z,3,16,16,2,0,14,1,0,1979,0.00808489135927236,4978,-225,0,1,0,0,2
2020-03-07T00:00:00.000Z,3,21,21,3,0,18,2,0,1979,0.01061141990904497,4682,-226,0,2,0,0,3
2020-03-08T00:00:00.000Z,8,27,27,5,0,22,4,0,1979,0.01364325416877211,7075,-223,0,4,0,0,5
2020-03-09T00:00:00.000Z,16,41,41,5,0,36,4,0,1979,0.02071753410813542,6009,-233,0,4,0,0,5
2020-03-10T00:00:00.000Z,19,61,61,6,0,55,5,0,1979,0.03082364830722587,5803,-220,0,5,0,0,6
2020-03-11T00:00:00.000Z,25,84,83,7,1,76,6,0,1979,0.04244567963617989,5719,-223,0,6,0,0,7
2020-03-12T00:00:00.000Z,23,107,105,7,1,99,6,0,1979,0.05406771096513391,5769,-223,0,6,0,0,7
2020-03-13T00:00:00.000Z,23,127,126,7,5,115,6,0,1979,0.06417382516422436,3985,-210,0,6,0,0,7
2020-03-14T00:00:00.000Z,41,167,165,6,5,156,4,0,1979,0.08438605356240525,3550,-220,0,6,0,0,8
2020-03-15T00:00:00.000Z,41,206,204,9,7,190,6,0,1979,0.1040929762506316,5336,-220,0,8,0,0,11
2020-03-16T00:00:00.000Z,25,226,220,11,6,209,7,0,1979,0.1141990904497221,4620,-163,0,9,0,0,13
2020-03-17T00:00:00.000Z,46,261,261,12,7,242,7,0,1979,0.1318847902981304,4223,-112,0,9,0,0,14
2020-03-18T00:00:00.000Z,54,313,275,16,12,285,7,0,1979,0.1581606872157655,3764,-10,0,9,0,0,18
2020-03-19T00:00:00.000Z,31,302,270,21,12,269,12,0,1979,0.1526023244062658,3927,127,0,14,0,0,23
2020-03-20T00:00:00.000Z,30,294,256,23,15,256,12,1,1979,0.1485598787266296,3096,307,0,14,1,0,26
2020-03-21T00:00:00.000Z,34,285,282,27,22,236,15,0,1979,0.1440121273370389,2791,490,0,17,1,0,30
2020-03-22T00:00:00.000Z,54,334,315,38,33,263,22,0,1979,0.1687721071248105,4359,707,0,24,1,0,41
2020-03-23T00:00:00.000Z,58,364,331,44,37,283,24,0,1979,0.1839312784234462,3905,1037,0,28,1,0,48
2020-03-24T00:00:00.000Z,81,408,354,48,49,311,26,3,1979,0.2061647296614452,3835,1429,0,30,4,0,55
2020-03-25T00:00:00.000Z,81,428,411,52,54,322,28,1,1979,0.2162708438605356,3533,1790,0,33,5,0,60
2020-03-26T00:00:00.000Z,81,484,430,55,67,362,30,5,1979,0.2445679636179889,3789,2275,0,38,10,0,68
2020-03-27T00:00:00.000Z,109,532,482,67,71,394,37,2,1979,0.2688226376958059,3129,2636,0,46,12,0,82
2020-03-28T00:00:00.000Z,52,527,496,70,83,374,41,1,1979,0.2662961091460334,2721,3092,0,51,13,0,87
2020-03-29T00:00:00.000Z,69,556,529,80,89,387,50,3,1979,0.2809499747347145,4118,3573,0,62,16,0,101
2020-03-30T00:00:00.000Z,122,633,584,89,104,440,54,1,1979,0.3198585144012127,3750,4029,0,69,17,0,113
2020-03-31T00:00:00.000Z,110,683,640,98,116,469,64,4,1979,0.3451237998989389,3849,4657,0,81,21,0,128
2020-04-01T00:00:00.000Z,147,772,730,111,143,518,72,8,1979,0.3900960080848914,3912,4531,689,95,29,0,148
2020-04-02T00:00:00.000Z,115,815,730,113,145,557,79,9,1979,0.4118241536129358,4149,5113,720,106,38,0,160
2020-04-03T00:00:00.000Z,97,813,724,131,159,523,93,5,1979,0.4108135421930268,3373,5656,717,126,43,0,182
2020-04-04T00:00:00.000Z,73,788,750,140,170,478,107,6,1979,0.3981808994441637,3031,5994,718,143,49,0,197
2020-04-05T00:00:00.000Z,99,824,738,135,193,496,107,7,1979,0.4163719050025265,4356,6500,693,150,56,0,203
2020-04-06T00:00:00.000Z,93,807,693,147,208,452,110,8,1979,0.4077817079332997,3937,6758,796,164,64,0,223
2020-04-07T00:00:00.000Z,73,748,653,160,204,384,106,8,1979,0.3779686710459828,4155,7018,819,171,72,1,241
2020-04-08T00:00:00.000Z,57,692,614,166,196,330,115,8,1979,0.3496715512885296,3369,7222,859,178,80,0,259
