name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
Ari'el,6.1,אדום,8.8,12,-45,19,כתום,2022-12-05T00:00:00.000Z,71.40,68.26,53.94,9.3
Gan Yavne,9.5,אדום,15.5,31,0,33,אדום,2022-12-05T00:00:00.000Z,78.96,74.57,57.42,13.8
Mazra'a,2,ירוק,0.0,0,0, 0 ,ירוק,2022-12-05T00:00:00.000Z,67.47,61.63,38.22,0.0
Isifya,4.5,צהוב,3.2,2,0,קטן מ-15,צהוב,2022-12-05T00:00:00.000Z,67.65,59.62,39.84,
Bareqet,2.3,ירוק,0.0,0,0, 0 ,ירוק,2022-12-05T00:00:00.000Z,45.89,39.10,24.61,0.0
Tel Sheva,2.9,ירוק,2.3,6,0,קטן מ-15,ירוק,2022-12-05T00:00:00.000Z,32.43,27.73,12.38,
Betar Illit,1.4,ירוק,0.3,4,0,קטן מ-15,ירוק,2022-12-05T00:00:00.000Z,34.38,24.15,11.92,
Bet Yizhaq-Sh. Hefer,4.5,ירוק,9.3,29,0,קטן מ-15,ירוק,2022-12-05T00:00:00.000Z,88.53,85.07,70.85,
Daliyat Al-Karmel,3.5,צהוב,1.7,6,0,קטן מ-15,ירוק,2022-12-05T00:00:00.000Z,64.54,54.90,38.28,
Hurfeish,2.4,ירוק,1.5,7,0,קטן מ-15,ירוק,2022-12-05T00:00:00.000Z,80.91,68.92,48.21,
Uzeir,3.5,ירוק,3.0,5,0, 0 ,ירוק,2022-12-05T00:00:00.000Z,65.65,59.16,31.14,0.0
Kisra-Sumei,4.3,ירוק,5.6,33,0,קטן מ-15,ירוק,2022-12-05T00:00:00.000Z,71.63,61.15,35.73,
Ahuzzat Baraq,4.7,ירוק,25.0,24,0,קטן מ-15,צהוב,2022-12-05T00:00:00.000Z,מעל 90%,88.12,69.10,
Tirat Karmel,8.4,אדום,14.4,25,-31,50,אדום,2022-12-05T00:00:00.000Z,78.74,74.49,58.11,20.6
Nof Ayyalon,4.5,ירוק,14.3,25,0,קטן מ-15,ירוק,2022-12-05T00:00:00.000Z,מעל 90%,מעל 90%,74.52,
Azor,6.1,צהוב,7.6,16,-9,קטן מ-15,כתום,2022-12-05T00:00:00.000Z,70.09,65.85,50.65,
Kafar Bara,3.9,ירוק,0.0,0,0, 0 ,ירוק,2022-12-05T00:00:00.000Z,70.27,58.02,33.40,0.0
Shilo,2,ירוק,0.0,0,0, 0 ,ירוק,2022-12-05T00:00:00.000Z,55.29,48.82,29.57,0.0
Mevo Horon,2.6,ירוק,3.7,50,0,קטן מ-15,ירוק,2022-12-05T00:00:00.000Z,59.12,51.36,32.67,
