name,value
פראמדיקים,0
חובשי רפואת חירום,0
פסיכולוגיה,1
ריפוי בעיסוק,1
פיזיותרפיה,1
שירות סוציאלי,1
קלינאות תקשורת,1
מערך לוגיסטי,4
מעבדה,4
רוקחות,5
כוח עזר,5
סקטורים אחרים,23
מינהל ומשק,42
