period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,8757,1666,19.02
3_Month,0-9,55710,20547,36.88
6_Month,0-9,245292,61974,25.27
1_Year,0-9,1299883,551506,42.43
All,0-9,1712152,766216,44.75
1_Month,10-19,12465,2403,19.28
3_Month,10-19,56586,16461,29.09
6_Month,10-19,262698,58234,22.17
1_Year,10-19,1215637,584417,48.07
All,10-19,1629341,807549,49.56
1_Month,20-29,17174,2142,12.47
3_Month,20-29,80532,25590,31.78
6_Month,20-29,346079,71381,20.63
1_Year,20-29,1091541,427277,39.14
All,20-29,1471822,602823,40.96
1_Month,30-39,17803,2977,16.72
3_Month,30-39,88301,31654,35.85
6_Month,30-39,347124,91658,26.4
1_Year,30-39,1052527,471176,44.77
All,30-39,1371451,611143,44.56
1_Month,40-49,18825,3351,17.8
3_Month,40-49,85642,31469,36.74
6_Month,40-49,334289,92248,27.6
1_Year,40-49,955245,440084,46.07
All,40-49,1218369,554947,45.55
1_Month,50-59,18655,3542,18.99
3_Month,50-59,80773,30683,37.99
6_Month,50-59,299952,86199,28.74
1_Year,50-59,751423,315864,42.04
All,50-59,953712,395084,41.43
1_Month,60-69,20984,4332,20.64
3_Month,60-69,89225,35124,39.37
6_Month,60-69,284761,93263,32.75
1_Year,60-69,630225,247924,39.34
All,60-69,787176,299920,38.1
1_Month,70-79,22212,5071,22.83
3_Month,70-79,84528,33241,39.33
6_Month,70-79,217548,82633,37.98
1_Year,70-79,414293,164555,39.72
All,70-79,511950,192496,37.6
1_Month,80-89,15659,2190,13.99
3_Month,80-89,48972,15879,32.42
6_Month,80-89,92691,35205,37.98
1_Year,80-89,161060,66172,41.09
All,80-89,218072,80660,36.99
1_Month,90+,5206,528,10.14
3_Month,90+,14839,4172,28.12
6_Month,90+,23817,8702,36.54
1_Year,90+,38274,16411,42.88
All,90+,56816,20950,36.87
