age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,229,1914,0,72.2,742.1,0,0,2,0,0,0.8
16-19,44,750,936,27.6,276,722.7,0,0,2,0,0,1.5
20-29,139,1986,1737,30.1,350.1,748.7,1,2,11,0.2,0.4,4.7
30-39,260,1861,1716,50.4,389.5,1031.5,0,1,24,0,0.2,14.4
40-49,269,1260,1183,44.9,360.2,924.7,1,3,57,0.2,0.9,44.6
50-59,166,629,696,30.6,283.1,790.4,4,14,76,0.7,6.3,86.3
60-69,181,353,429,33.1,278.8,691.2,10,17,74,1.8,13.4,119.2
70-79,152,190,262,36.9,286.8,611.4,10,17,57,2.4,25.7,133
80-89,103,110,156,57.6,313.3,751.2,4,11,22,2.2,31.3,105.9
90+,39,25,40,106.8,203.7,497.5,0,1,15,0,8.1,186.6
