Day_Date,vaccinated,vaccinated_cum,vaccinated_population_perc,vaccinated_seconde_dose,vaccinated_seconde_dose_cum,vaccinated_seconde_dose_population_perc
2020-12-19T00:00:00.000Z,43,60,0,0,0,0
2020-12-20T00:00:00.000Z,7361,7421,0.08,0,0,0
2020-12-21T00:00:00.000Z,24884,32305,0.35,0,0,0
2020-12-22T00:00:00.000Z,44612,76917,0.83,0,0,0
2020-12-23T00:00:00.000Z,62833,139750,1.5,0,0,0
2020-12-24T00:00:00.000Z,73327,213077,2.29,0,0,0
2020-12-25T00:00:00.000Z,38449,251526,2.7,0,0,0
2020-12-26T00:00:00.000Z,32574,284100,3.06,0,0,0
2020-12-27T00:00:00.000Z,104365,388465,4.18,0,0,0
2020-12-28T00:00:00.000Z,134799,523264,5.63,0,0,0
2020-12-29T00:00:00.000Z,155942,679206,7.3,0,0,0
2020-12-30T00:00:00.000Z,152719,831925,8.95,0,0,0
2020-12-31T00:00:00.000Z,158178,990103,10.65,0,0,0
2021-01-01T00:00:00.000Z,71232,1061335,11.41,0,0,0
2021-01-02T00:00:00.000Z,71625,1132960,12.18,0,0,0
2021-01-03T00:00:00.000Z,149397,1282357,13.79,0,0,0
2021-01-04T00:00:00.000Z,151837,1434194,15.42,1,1,0
2021-01-05T00:00:00.000Z,124846,1559040,16.77,0,1,0
2021-01-06T00:00:00.000Z,103072,1662112,17.87,0,1,0
2021-01-07T00:00:00.000Z,115818,1777930,19.12,3,4,0
2021-01-08T00:00:00.000Z,66293,1844223,19.83,3,7,0
2021-01-09T00:00:00.000Z,44454,1888677,20.31,22,29,0
2021-01-10T00:00:00.000Z,37545,1926222,20.71,5976,6005,0.06
2021-01-11T00:00:00.000Z,21015,1947237,20.94,19235,25240,0.27
2021-01-12T00:00:00.000Z,23906,1971143,21.2,35635,60875,0.65
2021-01-13T00:00:00.000Z,51912,2023055,21.75,56814,117689,1.27
2021-01-14T00:00:00.000Z,56304,2079359,22.36,68752,186441,2
2021-01-15T00:00:00.000Z,30615,2109974,22.69,35881,222322,2.39
2021-01-16T00:00:00.000Z,29368,2139342,23.01,25978,248300,2.67
2021-01-17T00:00:00.000Z,68249,2207591,23.74,84453,332753,3.58
2021-01-18T00:00:00.000Z,69525,2277116,24.49,120205,452958,4.87
2021-01-19T00:00:00.000Z,72575,2349691,25.27,137517,590475,6.35
2021-01-20T00:00:00.000Z,76528,2426219,26.09,143391,733866,7.89
2021-01-21T00:00:00.000Z,69578,2495797,26.84,163944,897810,9.65
2021-01-22T00:00:00.000Z,37714,2533511,27.24,70921,968731,10.42
2021-01-23T00:00:00.000Z,39847,2573358,27.67,53474,1022205,10.99
2021-01-24T00:00:00.000Z,68933,2642291,28.41,140332,1162537,12.5
2021-01-25T00:00:00.000Z,80732,2723023,29.28,139161,1301698,14
2021-01-26T00:00:00.000Z,78481,2801504,30.13,126059,1427757,15.35
2021-01-27T00:00:00.000Z,77685,2879189,30.96,124720,1552477,16.69
2021-01-28T00:00:00.000Z,79412,2958601,31.82,130286,1682763,18.1
2021-01-29T00:00:00.000Z,36523,2995124,32.21,64606,1747369,18.79
2021-01-30T00:00:00.000Z,34286,3029410,32.58,42663,1790032,19.25
2021-01-31T00:00:00.000Z,73175,3102585,33.36,59338,1849370,19.89
2021-02-01T00:00:00.000Z,82276,3184861,34.25,35205,1884575,20.27
2021-02-02T00:00:00.000Z,69863,3254724,35,30944,1915519,20.6
2021-02-03T00:00:00.000Z,60069,3314793,35.65,51261,1966780,21.15
2021-02-04T00:00:00.000Z,72389,3387182,36.42,57918,2024698,21.77
2021-02-05T00:00:00.000Z,33774,3420956,36.79,28656,2053354,22.08
2021-02-06T00:00:00.000Z,21533,3442489,37.02,22137,2075491,22.32
2021-02-07T00:00:00.000Z,53946,3496435,37.6,68534,2144025,23.06
2021-02-08T00:00:00.000Z,58478,3554913,38.23,65201,2209226,23.76
2021-02-09T00:00:00.000Z,66120,3621033,38.94,67268,2276494,24.48
2021-02-10T00:00:00.000Z,70331,3691364,39.7,71938,2348432,25.25
2021-02-11T00:00:00.000Z,80889,3772253,40.56,71519,2419951,26.02
2021-02-12T00:00:00.000Z,38937,3811190,40.98,37409,2457360,26.43
2021-02-13T00:00:00.000Z,27389,3838579,41.28,30343,2487703,26.75
2021-02-14T00:00:00.000Z,74732,3913311,42.08,68861,2556564,27.49
2021-02-15T00:00:00.000Z,81320,3994631,42.96,75482,2632046,28.3
2021-02-16T00:00:00.000Z,83315,4077946,43.85,78033,2710079,29.14
2021-02-17T00:00:00.000Z,61802,4139748,44.52,75324,2785403,29.95
2021-02-18T00:00:00.000Z,68977,4208725,45.26,79489,2864892,30.81
2021-02-19T00:00:00.000Z,39559,4248284,45.68,37990,2902882,31.22
2021-02-20T00:00:00.000Z,31583,4279867,46.02,28643,2931525,31.52
2021-02-21T00:00:00.000Z,79313,4359180,46.88,78337,3009862,32.37
2021-02-22T00:00:00.000Z,84874,4444054,47.79,80352,3090214,33.23
2021-02-23T00:00:00.000Z,77195,4521249,48.62,70224,3160438,33.99
2021-02-24T00:00:00.000Z,60874,4582123,49.27,62860,3223298,34.66
2021-02-25T00:00:00.000Z,51506,4633629,49.83,64540,3287838,35.36
2021-02-26T00:00:00.000Z,25753,4659382,50.1,31883,3319721,35.7
2021-02-27T00:00:00.000Z,18257,4677639,50.3,21121,3340842,35.93
2021-02-28T00:00:00.000Z,40167,4717806,50.73,55703,3396545,36.52
2021-03-01T00:00:00.000Z,45506,4763312,51.22,61265,3457810,37.18
2021-03-02T00:00:00.000Z,41005,4804317,51.66,64520,3522330,37.88
2021-03-03T00:00:00.000Z,41789,4846106,52.11,66550,3588880,38.59
2021-03-04T00:00:00.000Z,39487,4885593,52.54,78842,3667722,39.44
2021-03-05T00:00:00.000Z,17165,4902758,52.72,40322,3708044,39.87
2021-03-06T00:00:00.000Z,10567,4913325,52.84,25276,3733320,40.15
2021-03-07T00:00:00.000Z,30964,4944289,53.17,72672,3805992,40.93
2021-03-08T00:00:00.000Z,27169,4971458,53.46,73068,3879060,41.71
2021-03-09T00:00:00.000Z,26501,4997959,53.75,76473,3955533,42.54
2021-03-10T00:00:00.000Z,23090,5021049,53.99,58499,4014032,43.16
2021-03-11T00:00:00.000Z,23059,5044108,54.24,68879,4082911,43.91
2021-03-12T00:00:00.000Z,11098,5055206,54.36,41294,4124205,44.35
2021-03-13T00:00:00.000Z,7847,5063053,54.45,25180,4149385,44.62
2021-03-14T00:00:00.000Z,20832,5083885,54.67,73825,4223210,45.41
2021-03-15T00:00:00.000Z,19906,5103791,54.88,78041,4301251,46.25
2021-03-16T00:00:00.000Z,18531,5122322,55.08,71350,4372601,47.02
2021-03-17T00:00:00.000Z,17500,5139822,55.27,58827,4431428,47.65
2021-03-18T00:00:00.000Z,15827,5155649,55.44,57959,4489387,48.28
2021-03-19T00:00:00.000Z,6753,5162402,55.51,27868,4517255,48.58
2021-03-20T00:00:00.000Z,5116,5167518,55.57,15226,4532481,48.74
2021-03-21T00:00:00.000Z,13025,5180543,55.71,40361,4572842,49.17
2021-03-22T00:00:00.000Z,13341,5193884,55.85,40369,4613211,49.61
2021-03-23T00:00:00.000Z,2600,5196484,55.88,7153,4620364,49.69
2021-03-24T00:00:00.000Z,10783,5207267,56,46345,4666709,50.18
2021-03-25T00:00:00.000Z,9997,5217264,56.1,35254,4701963,50.56
2021-03-26T00:00:00.000Z,3997,5221261,56.15,13212,4715175,50.7
2021-03-27T00:00:00.000Z,1710,5222971,56.17,4200,4719375,50.75
2021-03-28T00:00:00.000Z,2037,5225008,56.19,4547,4723922,50.8
2021-03-29T00:00:00.000Z,6751,5231759,56.26,29854,4753776,51.12
2021-03-30T00:00:00.000Z,7650,5239409,56.34,22231,4776007,51.36
2021-03-31T00:00:00.000Z,7946,5247355,56.43,19247,4795254,51.57
2021-04-01T00:00:00.000Z,7941,5255296,56.51,18467,4813721,51.76
2021-04-02T00:00:00.000Z,2769,5258065,56.54,7964,4821685,51.85
2021-04-03T00:00:00.000Z,1339,5259404,56.56,2878,4824563,51.88
2021-04-04T00:00:00.000Z,9525,5268929,56.66,22714,4847277,52.13
2021-04-05T00:00:00.000Z,10156,5279085,56.77,21076,4868353,52.35
2021-04-06T00:00:00.000Z,8760,5287845,56.86,16547,4884900,52.53
2021-04-07T00:00:00.000Z,8670,5296515,56.96,15087,4899987,52.69
2021-04-08T00:00:00.000Z,9160,5305675,57.05,16742,4916729,52.87
2021-04-09T00:00:00.000Z,3362,5309037,57.09,6053,4922782,52.94
2021-04-10T00:00:00.000Z,1491,5310528,57.11,3429,4926211,52.97
2021-04-11T00:00:00.000Z,8898,5319426,57.2,14092,4940303,53.13
2021-04-12T00:00:00.000Z,8700,5328126,57.3,13021,4953324,53.27
2021-04-13T00:00:00.000Z,5591,5333717,57.36,4778,4958102,53.32
2021-04-14T00:00:00.000Z,3423,5337140,57.39,5107,4963209,53.37
2021-04-15T00:00:00.000Z,449,5337589,57.4,413,4963622,53.38
2021-04-16T00:00:00.000Z,3188,5340777,57.43,6457,4970079,53.45
2021-04-17T00:00:00.000Z,743,5341520,57.44,1912,4971991,53.47
2021-04-18T00:00:00.000Z,6963,5348483,57.51,7351,4979342,53.55
2021-04-19T00:00:00.000Z,6204,5354687,57.58,6966,4986308,53.62
2021-04-20T00:00:00.000Z,6043,5360730,57.65,6683,4992991,53.69
2021-04-21T00:00:00.000Z,6152,5366882,57.71,6898,4999889,53.77
2021-04-22T00:00:00.000Z,5742,5372624,57.77,7466,5007355,53.85
2021-04-23T00:00:00.000Z,2583,5375207,57.8,3232,5010587,53.88
2021-04-24T00:00:00.000Z,679,5375886,57.81,1211,5011798,53.89
2021-04-25T00:00:00.000Z,4717,5380603,57.86,6824,5018622,53.97
2021-04-26T00:00:00.000Z,5329,5385932,57.92,7724,5026346,54.05
2021-04-27T00:00:00.000Z,4347,5390279,57.96,6412,5032758,54.12
2021-04-28T00:00:00.000Z,4308,5394587,58.01,7093,5039851,54.2
2021-04-29T00:00:00.000Z,4188,5398775,58.06,7084,5046935,54.27
2021-04-30T00:00:00.000Z,1738,5400513,58.07,2991,5049926,54.3
2021-05-01T00:00:00.000Z,379,5400892,58.08,820,5050746,54.31
2021-05-02T00:00:00.000Z,3166,5404058,58.11,5945,5056691,54.38
2021-05-03T00:00:00.000Z,3403,5407461,58.15,5626,5062317,54.44
2021-05-04T00:00:00.000Z,3382,5410843,58.19,4525,5066842,54.49
2021-05-05T00:00:00.000Z,3108,5413951,58.22,3857,5070699,54.53
2021-05-06T00:00:00.000Z,3438,5417389,58.26,2915,5073614,54.56
2021-05-07T00:00:00.000Z,1662,5419051,58.27,2280,5075894,54.58
2021-05-08T00:00:00.000Z,173,5419224,58.28,422,5076316,54.59
2021-05-09T00:00:00.000Z,2766,5421990,58.31,4625,5080941,54.64
2021-05-10T00:00:00.000Z,2763,5424753,58.34,4521,5085462,54.69
2021-05-11T00:00:00.000Z,2412,5427165,58.36,3638,5089100,54.73
2021-05-12T00:00:00.000Z,1814,5428979,58.38,3094,5092194,54.76
2021-05-13T00:00:00.000Z,1815,5430794,58.4,3474,5095668,54.8
2021-05-14T00:00:00.000Z,769,5431563,58.41,1332,5097000,54.81
2021-05-15T00:00:00.000Z,131,5431694,58.41,173,5097173,54.81
2021-05-16T00:00:00.000Z,426,5432120,58.41,1135,5098308,54.82
2021-05-17T00:00:00.000Z,186,5432306,58.42,752,5099060,54.83
2021-05-18T00:00:00.000Z,1810,5434116,58.44,4797,5103857,54.88
2021-05-19T00:00:00.000Z,2029,5436145,58.46,4874,5108731,54.94
2021-05-20T00:00:00.000Z,2092,5438237,58.48,3712,5112443,54.98
2021-05-21T00:00:00.000Z,1001,5439238,58.49,1221,5113664,54.99
2021-05-22T00:00:00.000Z,139,5439377,58.49,322,5113986,54.99
2021-05-23T00:00:00.000Z,2199,5441576,58.52,3115,5117101,55.03
2021-05-24T00:00:00.000Z,1978,5443554,58.54,3459,5120560,55.06
2021-05-25T00:00:00.000Z,1642,5445196,58.55,2436,5122996,55.09
2021-05-26T00:00:00.000Z,1212,5446408,58.57,2308,5125304,55.12
2021-05-27T00:00:00.000Z,1630,5448038,58.59,2942,5128246,55.15
2021-05-28T00:00:00.000Z,615,5448653,58.59,1240,5129486,55.16
2021-05-29T00:00:00.000Z,103,5448756,58.59,161,5129647,55.16
2021-05-30T00:00:00.000Z,1543,5450299,58.61,1844,5131491,55.18
2021-05-31T00:00:00.000Z,1518,5451817,58.63,1944,5133435,55.2
2021-06-01T00:00:00.000Z,1166,5452983,58.64,1664,5135099,55.22
2021-06-02T00:00:00.000Z,1285,5454268,58.65,1421,5136520,55.24
2021-06-03T00:00:00.000Z,1500,5455768,58.67,1285,5137805,55.25
2021-06-04T00:00:00.000Z,922,5456690,58.68,546,5138351,55.26
2021-06-05T00:00:00.000Z,100,5456790,58.68,66,5138417,55.26
2021-06-06T00:00:00.000Z,4172,5460962,58.72,870,5139287,55.27
2021-06-07T00:00:00.000Z,4219,5465181,58.77,660,5139947,55.27
