name,value
פראמדיקים,10
פסיכולוגיה,15
שירות סוציאלי,24
קלינאות תקשורת,26
ריפוי בעיסוק,33
פיזיותרפיה,35
חובשי רפואת חירום,44
מערך לוגיסטי,51
כוח עזר,55
מעבדה,56
רוקחות,78
מינהל ומשק,320
סקטורים אחרים,1205
