name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,104.1139221191406,21
אוגוסטה ויקטוריה,,,0
שמיר,,69.13580322265625,3
וולפסון,,72.76720428466797,5
זיו צפת,,71.46974182128906,8
הלל יפה,,,0
נהריה,,,0
ברזילי,,,0
פוריה,,70.42253875732422,2
סוראסקי,,,0
בני ציון,,,0
רבין ק. בילינסון,,87.84266662597656,9
סורוקה,,77.578857421875,15
מאיר,,92.67352294921875,4
קפלן,,86.92579650878906,3
"רמב""ם",,92.00819396972656,8
הכרמל,,,0
הדסה עין כרם,,101.9841232299805,14
הסקוטי,,,0
המשפחה הקדושה,,,0
שערי צדק,,99.51397705078125,6
לניאדו,,87.18663024902344,4
אסותא אשדוד,,,0
שניידר,,,0
רבין ק. השרון,,74.27385711669922,6
יוספטל,,,0
מעייני הישועה,,,0
סנט וינסנט,,,0
סנט ג'וזף,,,0
אל מקאסד,,,0
המרכזי בעמק,,70.0325698852539,13
