name,value
פראמדיקים,0
חובשי רפואת חירום,0
פיזיותרפיה,1
קלינאות תקשורת,1
ריפוי בעיסוק,2
פסיכולוגיה,3
מערך לוגיסטי,3
שירות סוציאלי,3
מעבדה,4
רוקחות,6
כוח עזר,10
סקטורים אחרים,52
מינהל ומשק,68
