period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,119516,31766,26.58
3_Month,0-9,1130036,461257,40.82
6_Month,0-9,1267762,492385,38.84
1_Year,0-9,1483575,592451,39.93
All,0-9,1674001,699713,41.8
1_Month,10-19,121966,34288,28.11
3_Month,10-19,1033179,503133,48.7
6_Month,10-19,1165354,526620,45.19
1_Year,10-19,1369174,601434,43.93
All,10-19,1585382,746270,47.07
1_Month,20-29,152348,31807,20.88
3_Month,20-29,809898,335289,41.4
6_Month,20-29,979116,346483,35.39
1_Year,20-29,1172960,401516,34.23
All,20-29,1390909,524201,37.69
1_Month,30-39,147729,34512,23.36
3_Month,30-39,795505,357105,44.89
6_Month,30-39,936027,370041,39.53
1_Year,30-39,1109238,425473,38.36
All,30-39,1285433,512832,39.9
1_Month,40-49,145705,32991,22.64
3_Month,40-49,732121,327518,44.74
6_Month,40-49,848040,336986,39.74
1_Year,40-49,988950,380378,38.46
All,40-49,1138597,455485,40
1_Month,50-59,130058,23842,18.33
3_Month,50-59,539096,212755,39.47
6_Month,50-59,639620,217363,33.98
1_Year,50-59,747291,242516,32.45
All,50-59,870623,300557,34.52
1_Month,60-69,114310,17090,14.95
3_Month,60-69,434323,140669,32.39
6_Month,60-69,517287,143503,27.74
1_Year,60-69,605128,159626,26.38
All,60-69,703284,198400,28.21
1_Month,70-79,76928,10267,13.35
3_Month,70-79,264424,73102,27.65
6_Month,70-79,316968,74546,23.52
1_Year,70-79,375129,83412,22.24
All,70-79,438771,103908,23.68
1_Month,80-89,34530,3592,10.4
3_Month,80-89,102035,28139,27.58
6_Month,80-89,120609,28806,23.88
1_Year,80-89,147844,33056,22.36
All,80-89,187569,44030,23.47
1_Month,90+,9569,809,8.45
3_Month,90+,24771,7326,29.57
6_Month,90+,28984,7495,25.86
1_Year,90+,36054,8636,23.95
All,90+,49123,12299,25.04
