section,female,male,period
0-9,"{'amount': 9, 'percentage': 0.4}","{'amount': 22, 'percentage': 0.9}",שנה
0-9,"{'amount': 8, 'percentage': 0.5}","{'amount': 18, 'percentage': 1.1}",6 חודשים
0-9,"{'amount': 4, 'percentage': 1}","{'amount': 6, 'percentage': 1.4}",חודש אחרון
0-9,"{'amount': 8, 'percentage': 0.7}","{'amount': 16, 'percentage': 1.4}",3 חודשים
0-9,"{'amount': 15, 'percentage': 0.3}","{'amount': 30, 'percentage': 0.5}",מתחילת קורונה
10-19,"{'amount': 16, 'percentage': 0.6}","{'amount': 11, 'percentage': 0.4}",שנה
10-19,"{'amount': 13, 'percentage': 0.8}","{'amount': 10, 'percentage': 0.6}",6 חודשים
10-19,"{'amount': 9, 'percentage': 0.8}","{'amount': 7, 'percentage': 0.6}",3 חודשים
10-19,"{'amount': 2, 'percentage': 0.5}","{'amount': 3, 'percentage': 0.7}",חודש אחרון
10-19,"{'amount': 22, 'percentage': 0.4}","{'amount': 20, 'percentage': 0.3}",מתחילת קורונה
20-29,"{'amount': 22, 'percentage': 0.9}","{'amount': 28, 'percentage': 1.1}",שנה
20-29,"{'amount': 15, 'percentage': 0.9}","{'amount': 20, 'percentage': 1.2}",6 חודשים
20-29,"{'amount': 10, 'percentage': 0.9}","{'amount': 11, 'percentage': 0.9}",3 חודשים
20-29,"{'amount': 55, 'percentage': 0.9}","{'amount': 52, 'percentage': 0.9}",מתחילת קורונה
20-29,"{'amount': 1, 'percentage': 0.2}","{'amount': 4, 'percentage': 1}",חודש אחרון
30-39,"{'amount': 47, 'percentage': 1.9}","{'amount': 48, 'percentage': 1.9}",שנה
30-39,"{'amount': 21, 'percentage': 1.3}","{'amount': 33, 'percentage': 2}",6 חודשים
30-39,"{'amount': 4, 'percentage': 1}","{'amount': 14, 'percentage': 3.4}",חודש אחרון
30-39,"{'amount': 9, 'percentage': 0.8}","{'amount': 24, 'percentage': 2.1}",3 חודשים
30-39,"{'amount': 92, 'percentage': 1.6}","{'amount': 95, 'percentage': 1.6}",מתחילת קורונה
40-49,"{'amount': 35, 'percentage': 2.2}","{'amount': 73, 'percentage': 4.5}",6 חודשים
40-49,"{'amount': 18, 'percentage': 1.5}","{'amount': 40, 'percentage': 3.4}",3 חודשים
40-49,"{'amount': 140, 'percentage': 2.4}","{'amount': 240, 'percentage': 4.1}",מתחילת קורונה
40-49,"{'amount': 61, 'percentage': 2.4}","{'amount': 113, 'percentage': 4.5}",שנה
40-49,"{'amount': 7, 'percentage': 1.7}","{'amount': 12, 'percentage': 2.9}",חודש אחרון
50-59,"{'amount': 129, 'percentage': 5.2}","{'amount': 228, 'percentage': 9.1}",שנה
50-59,"{'amount': 49, 'percentage': 4.2}","{'amount': 88, 'percentage': 7.5}",3 חודשים
50-59,"{'amount': 248, 'percentage': 4.2}","{'amount': 530, 'percentage': 9}",מתחילת קורונה
50-59,"{'amount': 76, 'percentage': 4.7}","{'amount': 146, 'percentage': 9}",6 חודשים
50-59,"{'amount': 13, 'percentage': 3.1}","{'amount': 36, 'percentage': 8.6}",חודש אחרון
60-69,"{'amount': 84, 'percentage': 7.2}","{'amount': 133, 'percentage': 11.4}",3 חודשים
60-69,"{'amount': 479, 'percentage': 8.2}","{'amount': 898, 'percentage': 15.3}",מתחילת קורונה
60-69,"{'amount': 231, 'percentage': 9.3}","{'amount': 311, 'percentage': 12.5}",שנה
60-69,"{'amount': 141, 'percentage': 8.7}","{'amount': 201, 'percentage': 12.4}",6 חודשים
60-69,"{'amount': 36, 'percentage': 8.6}","{'amount': 67, 'percentage': 16.1}",חודש אחרון
70-79,"{'amount': 174, 'percentage': 10.7}","{'amount': 226, 'percentage': 13.9}",6 חודשים
70-79,"{'amount': 264, 'percentage': 10.6}","{'amount': 359, 'percentage': 14.4}",שנה
70-79,"{'amount': 42, 'percentage': 10.1}","{'amount': 70, 'percentage': 16.8}",חודש אחרון
70-79,"{'amount': 120, 'percentage': 10.3}","{'amount': 188, 'percentage': 16.1}",3 חודשים
70-79,"{'amount': 576, 'percentage': 9.8}","{'amount': 1011, 'percentage': 17.2}",מתחילת קורונה
80-89,"{'amount': 149, 'percentage': 9.2}","{'amount': 176, 'percentage': 10.8}",6 חודשים
80-89,"{'amount': 217, 'percentage': 8.7}","{'amount': 262, 'percentage': 10.5}",שנה
80-89,"{'amount': 126, 'percentage': 10.8}","{'amount': 152, 'percentage': 13}",3 חודשים
80-89,"{'amount': 34, 'percentage': 8.2}","{'amount': 45, 'percentage': 10.8}",חודש אחרון
80-89,"{'amount': 472, 'percentage': 8}","{'amount': 633, 'percentage': 10.8}",מתחילת קורונה
90+,"{'amount': 61, 'percentage': 2.4}","{'amount': 58, 'percentage': 2.3}",שנה
90+,"{'amount': 39, 'percentage': 3.3}","{'amount': 39, 'percentage': 3.3}",3 חודשים
90+,"{'amount': 8, 'percentage': 1.9}","{'amount': 9, 'percentage': 2.2}",חודש אחרון
90+,"{'amount': 46, 'percentage': 2.8}","{'amount': 44, 'percentage': 2.7}",6 חודשים
90+,"{'amount': 132, 'percentage': 2.2}","{'amount': 135, 'percentage': 2.3}",מתחילת קורונה
