name,value
פראמדיקים,3
קלינאות תקשורת,5
פסיכולוגיה,6
שירות סוציאלי,7
פיזיותרפיה,11
רוקחות,11
ריפוי בעיסוק,15
מעבדה,18
חובשי רפואת חירום,27
מערך לוגיסטי,32
כוח עזר,66
מינהל ומשק,282
סקטורים אחרים,510
