age,vaccinated_amount_cum,vaccinated_procces_amount_cum,not_vaccinated_amount_cum,Active_amount_vaccinated,Active_amount_vaccinated_procces,Active_amount_not_vaccinated,Active_vaccinated_normalized,Active_vaccinated_procces_normalized,Active_not_vaccinated_normalized,Serious_amount_vaccinated,Serious_amount_vaccinated_procces,Serious_amount_not_vaccinated,Serious_vaccinated_normalized,Serious_vaccinated_procces_normalized,Serious_not_vaccinated_normalized
12-15,191380,56076,370632,213,438,3620,111.3,781.1,976.7,0,0,1,0,0,0.3
16-19,431392,28380,123773,1926,110,1134,446.5,387.6,916.2,0,0,2,0,0,1.6
20-29,993331,43528,263502,6629,192,2291,667.4,441.1,869.4,2,1,5,0.2,2.3,1.9
30-39,970384,34678,191964,6822,146,2002,703,421,1042.9,3,0,16,0.3,0,8.3
40-49,928410,26593,143553,6318,81,1348,680.5,304.6,939,10,0,38,1.1,0,26.5
50-59,749110,17833,83023,4557,70,843,608.3,392.5,1015.4,35,0,34,4.7,0,41
60-69,666579,10762,64298,3065,29,574,459.8,269.5,892.7,57,3,61,8.6,27.9,94.9
70-79,464901,5883,20000,1886,27,321,405.7,458.9,1605,82,6,42,17.6,102,210
80-89,209190,3922,12426,1049,15,182,501.5,382.5,1464.7,108,2,46,51.6,51,370.2
90+,46664,1769,3063,293,7,66,627.9,395.7,2154.8,20,1,15,42.9,56.5,489.7
