period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,6866,649,9.45
3_Month,0-9,32248,7457,23.12
6_Month,0-9,194247,52565,27.06
1_Year,0-9,1268959,543879,42.86
All,0-9,1712871,766475,44.75
1_Month,10-19,10229,1145,11.19
3_Month,10-19,38583,7742,20.07
6_Month,10-19,202643,51800,25.56
1_Year,10-19,1191270,579401,48.64
All,10-19,1630078,807942,49.56
1_Month,20-29,15759,1773,11.25
3_Month,20-29,55817,11341,20.32
6_Month,20-29,281807,63495,22.53
1_Year,20-29,1065628,425740,39.95
All,20-29,1473110,603588,40.97
1_Month,30-39,15100,2243,14.85
3_Month,30-39,56985,14092,24.73
6_Month,30-39,284154,79698,28.05
1_Year,30-39,1032231,469501,45.48
All,30-39,1372350,612082,44.6
1_Month,40-49,16025,2486,15.51
3_Month,40-49,56637,14789,26.11
6_Month,40-49,269584,81064,30.07
1_Year,40-49,939411,439276,46.76
All,40-49,1219206,555951,45.6
1_Month,50-59,16728,2867,17.14
3_Month,50-59,55372,15084,27.24
6_Month,50-59,245047,77123,31.47
1_Year,50-59,739385,316365,42.79
All,50-59,954674,396424,41.52
1_Month,60-69,19140,3764,19.67
3_Month,60-69,62796,18294,29.13
6_Month,60-69,241894,84726,35.03
1_Year,60-69,621014,249329,40.15
All,60-69,788282,301826,38.29
1_Month,70-79,20709,4230,20.43
3_Month,70-79,62065,18671,30.08
6_Month,70-79,193027,76993,39.89
1_Year,70-79,409390,166413,40.65
All,70-79,513277,194603,37.91
1_Month,80-89,16902,1948,11.53
3_Month,80-89,38188,8892,23.28
6_Month,80-89,85631,33093,38.65
1_Year,80-89,159322,67047,42.08
All,80-89,218924,81669,37.3
1_Month,90+,6029,484,8.03
3_Month,90+,12237,2346,19.17
6_Month,90+,22622,8077,35.7
1_Year,90+,37943,16600,43.75
All,90+,57128,21166,37.05
