section,female,male,period,order_period
0-9,"{'amount': 4, 'percentage': 0.3}","{'amount': 2, 'percentage': 0.2}",חודש אחרון,5
0-9,"{'amount': 22, 'percentage': 0.1}","{'amount': 25, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 13, 'percentage': 0.3}","{'amount': 8, 'percentage': 0.2}",6 חודשים,3
0-9,"{'amount': 5, 'percentage': 0.4}","{'amount': 3, 'percentage': 0.2}",3 חודשים,4
0-9,"{'amount': 25, 'percentage': 0.1}","{'amount': 28, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 48, 'percentage': 0.3}","{'amount': 33, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 3, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.3}",חודש אחרון,5
10-19,"{'amount': 5, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.3}",3 חודשים,4
10-19,"{'amount': 15, 'percentage': 0.3}","{'amount': 13, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 45, 'percentage': 0.3}","{'amount': 30, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 58, 'percentage': 1.3}","{'amount': 62, 'percentage': 1.4}",6 חודשים,3
20-29,"{'amount': 3, 'percentage': 0.2}","{'amount': 6, 'percentage': 0.4}",3 חודשים,4
20-29,"{'amount': 2, 'percentage': 0.2}","{'amount': 4, 'percentage': 0.3}",חודש אחרון,5
20-29,"{'amount': 161, 'percentage': 0.9}","{'amount': 143, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 148, 'percentage': 0.9}","{'amount': 133, 'percentage': 0.8}",שנה,2
30-39,"{'amount': 343, 'percentage': 2.1}","{'amount': 363, 'percentage': 2.2}",שנה,2
30-39,"{'amount': 143, 'percentage': 3.3}","{'amount': 130, 'percentage': 3}",6 חודשים,3
30-39,"{'amount': 28, 'percentage': 2}","{'amount': 19, 'percentage': 1.3}",3 חודשים,4
30-39,"{'amount': 23, 'percentage': 1.8}","{'amount': 16, 'percentage': 1.2}",חודש אחרון,5
30-39,"{'amount': 379, 'percentage': 2.1}","{'amount': 417, 'percentage': 2.3}",מתחילת קורונה,1
40-49,"{'amount': 545, 'percentage': 3.3}","{'amount': 896, 'percentage': 5.5}",שנה,2
40-49,"{'amount': 191, 'percentage': 4.4}","{'amount': 278, 'percentage': 6.4}",6 חודשים,3
40-49,"{'amount': 27, 'percentage': 1.9}","{'amount': 57, 'percentage': 4}",3 חודשים,4
40-49,"{'amount': 25, 'percentage': 1.9}","{'amount': 53, 'percentage': 4}",חודש אחרון,5
40-49,"{'amount': 605, 'percentage': 3.3}","{'amount': 987, 'percentage': 5.4}",מתחילת קורונה,1
50-59,"{'amount': 304, 'percentage': 7}","{'amount': 358, 'percentage': 8.2}",6 חודשים,3
50-59,"{'amount': 68, 'percentage': 4.8}","{'amount': 79, 'percentage': 5.6}",3 חודשים,4
50-59,"{'amount': 957, 'percentage': 5.9}","{'amount': 1426, 'percentage': 8.7}",שנה,2
50-59,"{'amount': 1045, 'percentage': 5.7}","{'amount': 1605, 'percentage': 8.8}",מתחילת קורונה,1
50-59,"{'amount': 60, 'percentage': 4.6}","{'amount': 74, 'percentage': 5.6}",חודש אחרון,5
60-69,"{'amount': 105, 'percentage': 7.4}","{'amount': 158, 'percentage': 11.1}",3 חודשים,4
60-69,"{'amount': 375, 'percentage': 8.6}","{'amount': 446, 'percentage': 10.2}",6 חודשים,3
60-69,"{'amount': 93, 'percentage': 7.1}","{'amount': 149, 'percentage': 11.3}",חודש אחרון,5
60-69,"{'amount': 1423, 'percentage': 7.8}","{'amount': 2278, 'percentage': 12.5}",מתחילת קורונה,1
60-69,"{'amount': 1290, 'percentage': 7.9}","{'amount': 2022, 'percentage': 12.4}",שנה,2
70-79,"{'amount': 121, 'percentage': 9.2}","{'amount': 209, 'percentage': 15.9}",חודש אחרון,5
70-79,"{'amount': 133, 'percentage': 9.4}","{'amount': 222, 'percentage': 15.6}",3 חודשים,4
70-79,"{'amount': 403, 'percentage': 9.2}","{'amount': 496, 'percentage': 11.4}",6 חודשים,3
70-79,"{'amount': 1536, 'percentage': 9.4}","{'amount': 2139, 'percentage': 13.1}",שנה,2
70-79,"{'amount': 1694, 'percentage': 9.3}","{'amount': 2442, 'percentage': 13.4}",מתחילת קורונה,1
80-89,"{'amount': 169, 'percentage': 11.9}","{'amount': 200, 'percentage': 14.1}",3 חודשים,4
80-89,"{'amount': 1574, 'percentage': 9.7}","{'amount': 1590, 'percentage': 9.8}",שנה,2
80-89,"{'amount': 425, 'percentage': 9.7}","{'amount': 395, 'percentage': 9}",6 חודשים,3
80-89,"{'amount': 158, 'percentage': 12}","{'amount': 189, 'percentage': 14.4}",חודש אחרון,5
80-89,"{'amount': 1784, 'percentage': 9.8}","{'amount': 1777, 'percentage': 9.7}",מתחילת קורונה,1
90+,"{'amount': 849, 'percentage': 4.6}","{'amount': 552, 'percentage': 3}",מתחילת קורונה,1
90+,"{'amount': 85, 'percentage': 6.5}","{'amount': 39, 'percentage': 3}",חודש אחרון,5
90+,"{'amount': 88, 'percentage': 6.2}","{'amount': 42, 'percentage': 3}",3 חודשים,4
90+,"{'amount': 163, 'percentage': 3.7}","{'amount': 93, 'percentage': 2.1}",6 חודשים,3
90+,"{'amount': 734, 'percentage': 4.5}","{'amount': 484, 'percentage': 3}",שנה,2
