period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,8731,1710,19.59
3_Month,0-9,57449,21576,37.56
6_Month,0-9,247871,62969,25.4
1_Year,0-9,1302156,552149,42.4
All,0-9,1712124,766180,44.75
1_Month,10-19,12184,2447,20.08
3_Month,10-19,57760,17170,29.73
6_Month,10-19,264789,58937,22.26
1_Year,10-19,1217789,584871,48.03
All,10-19,1629310,807508,49.56
1_Month,20-29,17074,2163,12.67
3_Month,20-29,82331,26623,32.34
6_Month,20-29,349094,72140,20.66
1_Year,20-29,1093508,427529,39.1
All,20-29,1471766,602780,40.96
1_Month,30-39,17665,2981,16.88
3_Month,30-39,90531,32978,36.43
6_Month,30-39,350351,92794,26.49
1_Year,30-39,1053799,471414,44.73
All,30-39,1371374,611079,44.56
1_Month,40-49,18484,3336,18.05
3_Month,40-49,87623,32757,37.38
6_Month,40-49,337200,93270,27.66
1_Year,40-49,956081,440163,46.04
All,40-49,1218290,554859,45.54
1_Month,50-59,18336,3521,19.2
3_Month,50-59,82504,31879,38.64
6_Month,50-59,302569,87101,28.79
1_Year,50-59,752098,315868,42
All,50-59,953623,394979,41.42
1_Month,60-69,20617,4269,20.71
3_Month,60-69,90985,36336,39.94
6_Month,60-69,287095,94018,32.75
1_Year,60-69,630611,247804,39.3
All,60-69,787071,299754,38.08
1_Month,70-79,21761,4992,22.94
3_Month,70-79,85939,34310,39.92
6_Month,70-79,219031,83088,37.93
1_Year,70-79,414459,164381,39.66
All,70-79,511790,192300,37.57
1_Month,80-89,15207,2143,14.09
3_Month,80-89,49504,16320,32.97
6_Month,80-89,93175,35375,37.97
1_Year,80-89,161146,66086,41.01
All,80-89,217992,80568,36.96
1_Month,90+,4981,519,10.42
3_Month,90+,14939,4286,28.69
6_Month,90+,23878,8721,36.52
1_Year,90+,38285,16388,42.81
All,90+,56776,20928,36.86
