cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Abu Ghosh,קטן מ-15,אין מידע,17,21.62,5.76,צהוב,7862
Afula,קטן מ-15,אין מידע,142,24.98,8.06,אדום,56844
Akko,קטן מ-15,אין מידע,76,15.35,5.92,צהוב,49517
Arad,קטן מ-15,אין מידע,35,12.88,6.19,כתום,27170
Ari'el,קטן מ-15,אין מידע,23,11.23,6.44,כתום,20488
Ashdod,46,10.11,455,20.10,6.96,כתום,226329
Ashqelon,34,11.22,303,20.69,7.14,כתום,146442
Bat Yam,19,7.22,263,20.58,7.17,כתום,127772
Be'er Sheva,57,11.63,490,23.26,6.31,כתום,210624
Be'er Ya'aqov,קטן מ-15,אין מידע,38,13.19,8.28,אדום,28818
Bene Beraq,קטן מ-15,אין מידע,108,5.19,5.54,צהוב,208031
Bet She'an,קטן מ-15,אין מידע,28,14.75,7.94,אדום,18980
Bet Shemesh,קטן מ-15,אין מידע,40,3.03,5,צהוב,132210
Binyamina-Giv'at Ada,קטן מ-15,אין מידע,23,14.40,6.71,כתום,15971
Dimona,קטן מ-15,אין מידע,65,18.60,6.06,כתום,34954
Elat,קטן מ-15,אין מידע,83,15.81,7.71,אדום,52507
Even Yehuda,0,0,32,22.80,4.08,ירוק,14036
Gan Yavne,קטן מ-15,אין מידע,42,17.58,9.22,אדום,23887
Ganne Tiqwa,קטן מ-15,אין מידע,30,13.95,8.47,אדום,21508
Gedera,קטן מ-15,אין מידע,82,28.47,6.33,כתום,28805
Giv'at Shemu'el,קטן מ-15,אין מידע,48,17.62,7.82,אדום,27236
Giv'atayim,קטן מ-15,אין מידע,106,17.41,6.14,כתום,60872
Hadera,קטן מ-15,אין מידע,177,17.89,6.68,כתום,98928
Haifa,41,6.39,642,22.53,6.83,כתום,284981
Harish,קטן מ-15,אין מידע,23,11.73,8.1,אדום,19608
Herzliyya,21,10.50,200,20.16,7.15,כתום,99208
Hod Hasharon,16,15.69,102,15.75,5.86,צהוב,64755
Holon,28,7.61,368,18.73,6.87,כתום,196510
Isifya,קטן מ-15,אין מידע,20,15.85,5.23,צהוב,12617
Jerusalem,46,5.21,883,9.27,5.3,צהוב,952916
Judeide-Maker,קטן מ-15,אין מידע,19,8.91,5.68,צהוב,21331
Karmi'el,קטן מ-15,אין מידע,116,25.11,8.15,אדום,46190
Kefar Sava,קטן מ-15,אין מידע,187,18.39,5.56,צהוב,101664
Kefar Weradim,קטן מ-15,אין מידע,16,29.12,7.49,כתום,5495
Kefar Yona,קטן מ-15,אין מידע,43,16.45,6.81,כתום,26140
Lehavim,קטן מ-15,אין מידע,21,31.62,8.83,אדום,6641
Lod,קטן מ-15,אין מידע,81,10.03,6.11,כתום,80786
Ma'ale Adummim,קטן מ-15,אין מידע,77,20.37,8.37,אדום,37802
Ma'alot-Tarshiha,קטן מ-15,אין מידע,28,12.64,7.09,כתום,22158
Mazkeret Batya,קטן מ-15,אין מידע,30,19.87,8.78,אדום,15095
Metar,קטן מ-15,אין מידע,16,16.06,6.36,כתום,9963
Mevasseret Ziyyon,קטן מ-15,אין מידע,29,11.91,7.86,אדום,24347
Migdal Haemeq,קטן מ-15,אין מידע,65,25.20,7.55,אדום,25790
Modi'in Illit,0,0,19,2.41,6.65,כתום,78775
Modi'in-Makkabbim-Re'ut,25,14.04,178,18.79,8.98,אדום,94744
Nahariyya,קטן מ-15,אין מידע,120,20.27,7.49,כתום,59189
Nazareth,קטן מ-15,אין מידע,49,6.30,5.15,צהוב,77734
Nes Ziyyona,קטן מ-15,אין מידע,78,15.44,7.67,אדום,50532
Nesher,קטן מ-15,אין מידע,39,16.29,8.62,אדום,23947
Netanya,32,8.51,376,16.82,5.69,צהוב,223562
Netivot,קטן מ-15,אין מידע,26,6.59,6.01,כתום,39456
Nof Hagalil,קטן מ-15,אין מידע,107,25.51,8.38,אדום,41950
Ofaqim,קטן מ-15,אין מידע,43,13.28,5.43,צהוב,32378
Or Aqiva,קטן מ-15,אין מידע,37,19.06,7.4,כתום,19417
Or Yehuda,קטן מ-15,אין מידע,49,13.39,4.63,צהוב,36587
Pardes Hanna-Karkur,קטן מ-15,אין מידע,46,10.54,5.89,צהוב,43646
Pardesiyya,קטן מ-15,אין מידע,20,30.09,6.58,כתום,6647
Petah Tiqwa,36,7.05,511,20.41,6.93,כתום,250427
Qadima-Zoran,קטן מ-15,אין מידע,24,10.57,6.02,כתום,22711
Qiryat Atta,קטן מ-15,אין מידע,93,15.69,6.18,כתום,59291
Qiryat Bialik,קטן מ-15,אין מידע,84,20.17,8.11,אדום,41645
Qiryat Eqron,קטן מ-15,אין מידע,17,15.41,6.72,כתום,11034
Qiryat Gat,15,14.85,101,17.25,7.9,אדום,58550
Qiryat Mal'akhi,קטן מ-15,אין מידע,23,9.45,3.59,ירוק,24346
Qiryat Motzkin,קטן מ-15,אין מידע,133,29.26,7.76,אדום,45461
Qiryat Ono,16,17.58,91,22.32,7.94,אדום,40778
Qiryat Shemona,קטן מ-15,אין מידע,54,24.03,8.75,אדום,22470
Qiryat Tiv'on,קטן מ-15,אין מידע,25,13.69,5.8,צהוב,18266
Qiryat Yam,קטן מ-15,אין מידע,80,20.31,6.28,כתום,39389
Ra'annana,קטן מ-15,אין מידע,135,17.54,6.21,כתום,76958
Rahat,קטן מ-15,אין מידע,18,2.44,3.47,ירוק,73671
Ramat Gan,21,6.67,315,18.89,6.36,כתום,166746
Ramat Hasharon,קטן מ-15,אין מידע,90,18.95,6.84,כתום,47482
Ramat Yishay,קטן מ-15,אין מידע,19,24.06,7.35,כתום,7896
Ramla,קטן מ-15,אין מידע,88,11.44,5.43,צהוב,76903
Rehovot,16,5.14,311,21.27,7.43,כתום,146213
Rishon Leziyyon,37,8.10,457,17.86,6.65,כתום,255891
Rosh Haayin,קטן מ-15,אין מידע,106,15.74,8.1,אדום,67337
Sakhnin,קטן מ-15,אין מידע,16,4.97,5.02,צהוב,32220
Sederot,קטן מ-15,אין מידע,37,12.80,6.12,כתום,28899
Shefar'am,קטן מ-15,אין מידע,29,6.84,4.93,צהוב,42400
Shelomi,קטן מ-15,אין מידע,19,28.21,8.16,אדום,6736
Shoham,קטן מ-15,אין מידע,30,14.27,7.75,אדום,21029
Tel Aviv - Yafo,34,4.86,699,13.95,6.22,כתום,501015
Tel Mond,קטן מ-15,אין מידע,29,21.54,8.87,אדום,13461
Tiberias,קטן מ-15,אין מידע,84,18.39,7.14,כתום,45686
Tirat Karmel,קטן מ-15,אין מידע,54,22.24,8.18,אדום,24285
Tire,קטן מ-15,אין מידע,17,6.30,4.92,צהוב,26972
Umm Al-Fahm,קטן מ-15,אין מידע,22,3.88,5.72,צהוב,56713
Yavne,קטן מ-15,אין מידע,78,15.68,7.96,אדום,49759
Yehud,קטן מ-15,אין מידע,51,17.00,6.92,כתום,30003
Yirka,קטן מ-15,אין מידע,30,17.28,7.2,כתום,17360
Yoqne'am Illit,קטן מ-15,אין מידע,47,19.53,8.28,אדום,24061
Zefat,0,0,25,6.86,4.84,צהוב,36423
Zikhron Ya'aqov,קטן מ-15,אין מידע,26,11.06,7.75,אדום,23503
