period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,50736,25368,50
3_Month,0-9,172851,45286,26.2
6_Month,0-9,735080,341798,46.5
1_Year,0-9,1481812,650540,43.9
All,0-9,1707824,761067,44.56
1_Month,10-19,46765,20645,44.15
3_Month,10-19,177264,44379,25.04
6_Month,10-19,690373,322868,46.77
1_Year,10-19,1376279,655042,47.6
All,10-19,1625980,802753,49.37
1_Month,20-29,64328,29125,45.28
3_Month,20-29,246144,52404,21.29
6_Month,20-29,707633,246881,34.89
1_Year,20-29,1215350,473869,38.99
All,20-29,1465261,594913,40.6
1_Month,30-39,76230,36181,47.46
3_Month,30-39,249178,65890,26.44
6_Month,30-39,714399,297711,41.67
1_Year,30-39,1159058,515712,44.49
All,30-39,1365172,601404,44.05
1_Month,40-49,74876,35385,47.26
3_Month,40-49,236551,66620,28.16
6_Month,40-49,665393,281585,42.32
1_Year,40-49,1039573,470553,45.26
All,40-49,1212597,544540,44.91
1_Month,50-59,68490,33341,48.68
3_Month,50-59,213712,62375,29.19
6_Month,50-59,541913,210292,38.81
1_Year,50-59,809480,327452,40.45
All,50-59,947506,383700,40.5
1_Month,60-69,72892,35931,49.29
3_Month,60-69,206788,66831,32.32
6_Month,60-69,465711,169897,36.48
1_Year,60-69,671597,247348,36.83
All,60-69,780011,285470,36.6
1_Month,70-79,66790,31349,46.94
3_Month,70-79,159665,58720,36.78
6_Month,70-79,313227,116561,37.21
1_Year,70-79,434399,156769,36.09
All,70-79,503018,177211,35.23
1_Month,80-89,39790,14201,35.69
3_Month,80-89,69822,24318,34.83
6_Month,80-89,120940,46820,38.71
1_Year,80-89,169253,62643,37.01
All,80-89,212715,73526,34.57
1_Month,90+,12369,3546,28.67
3_Month,90+,18631,5767,30.95
6_Month,90+,28819,11407,39.58
1_Year,90+,40202,15516,38.6
All,90+,55146,19118,34.67
