name,value
פראמדיקים,0
חובשי רפואת חירום,0
פסיכולוגיה,6
קלינאות תקשורת,7
רוקחות,11
מעבדה,12
ריפוי בעיסוק,13
מערך לוגיסטי,20
כוח עזר,23
שירות סוציאלי,23
פיזיותרפיה,27
אחר,92
מינהל ומשק,171
