gender,age,period,count_verified,verified_percentage,count_dead,dead_percentage,count_breathe,breathe_percentage,count_severe,severe_percentage
זכר,0-9,חודש אחרון,7347,6.6,0,0,0,0,4,0.7
זכר,0-9,3 חודשים,89677,9.8,1,0.1,12,1.3,28,0.7
זכר,0-9,שנה,348290,10.8,5,0.1,22,0.9,80,0.7
זכר,0-9,מתחילת קורונה,416614,10.3,7,0.1,30,0.5,111,0.4
זכר,0-9,6 חודשים,278730,10.2,4,0.2,16,1.1,54,0.8
נקבה,0-9,6 חודשים,218400,8,2,0.1,8,0.6,37,0.5
נקבה,0-9,מתחילת קורונה,340303,8.4,5,0,15,0.2,73,0.3
נקבה,0-9,חודש אחרון,5401,4.9,0,0,0,0,4,0.7
נקבה,0-9,3 חודשים,68714,7.5,1,0.1,6,0.7,23,0.6
נקבה,0-9,שנה,282312,8.8,2,0,8,0.3,55,0.5
זכר,10-19,6 חודשים,269043,9.9,4,0.2,9,0.6,26,0.4
זכר,10-19,שנה,320309,10,5,0.1,14,0.6,42,0.3
זכר,10-19,מתחילת קורונה,416590,10.3,7,0.1,23,0.4,77,0.3
זכר,10-19,חודש אחרון,4875,4.4,0,0,0,0,1,0.2
זכר,10-19,3 חודשים,75647,8.3,2,0.1,7,0.8,10,0.3
נקבה,10-19,3 חודשים,71803,7.8,1,0.1,4,0.4,9,0.2
נקבה,10-19,שנה,320178,10,4,0.1,15,0.6,34,0.3
נקבה,10-19,מתחילת קורונה,405203,10,7,0.1,23,0.4,77,0.3
נקבה,10-19,חודש אחרון,4803,4.3,0,0,1,0.5,1,0.2
נקבה,10-19,6 חודשים,267340,9.8,2,0.1,10,0.7,16,0.2
זכר,20-29,חודש אחרון,4666,4.2,0,0,1,0.5,3,0.5
זכר,20-29,מתחילת קורונה,243669,6,24,0.2,54,0.9,241,0.8
זכר,20-29,3 חודשים,43722,4.8,2,0.1,8,0.9,20,0.5
זכר,20-29,6 חודשים,144075,5.3,2,0.1,11,0.8,41,0.6
זכר,20-29,שנה,173059,5.4,5,0.1,22,0.9,90,0.7
נקבה,20-29,מתחילת קורונה,347604,8.6,22,0.2,57,0.9,271,0.9
נקבה,20-29,חודש אחרון,6766,6.1,0,0,1,0.5,1,0.2
נקבה,20-29,3 חודשים,67860,7.4,2,0.1,4,0.4,9,0.2
נקבה,20-29,6 חודשים,225817,8.3,6,0.2,14,1,28,0.4
נקבה,20-29,שנה,263764,8.2,9,0.2,20,0.8,98,0.8
זכר,30-39,מתחילת קורונה,237333,5.9,53,0.5,102,1.7,620,2.2
