cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
אבו גוש,קטן מ-15,אין מידע,50,63.60,7.18,כתום,7862
אבו סנאן,קטן מ-15,אין מידע,18,12.58,4.9,צהוב,14306
אבן יהודה,קטן מ-15,אין מידע,34,24.22,3.46,ירוק,14036
אום אל-פחם,קטן מ-15,אין מידע,16,2.82,2.26,ירוק,56713
אופקים,קטן מ-15,אין מידע,47,14.52,3.81,ירוק,32378
אור יהודה,קטן מ-15,אין מידע,60,16.40,3.63,ירוק,36587
אור עקיבא,קטן מ-15,אין מידע,28,14.42,5.58,צהוב,19417
אורנית,קטן מ-15,אין מידע,30,33.30,5.75,צהוב,9010
אזור,קטן מ-15,אין מידע,26,19.66,4.26,ירוק,13228
אילת,33,22.00,150,28.57,5.61,צהוב,52507
אריאל,קטן מ-15,אין מידע,34,16.60,3.88,ירוק,20488
אשדוד,92,21.50,428,18.91,5.11,צהוב,226329
אשקלון,117,27.15,431,29.43,5.85,צהוב,146442
באקה אל-גרביה,קטן מ-15,אין מידע,20,6.57,3.68,ירוק,30448
באר יעקב,23,29.49,78,27.07,5.63,צהוב,28818
באר שבע,151,21.82,692,32.85,5.47,צהוב,210624
בית שאן,קטן מ-15,אין מידע,33,17.39,5.26,צהוב,18980
בית שמש,16,24.24,66,4.99,3.27,ירוק,132210
בני ברק,קטן מ-15,אין מידע,69,3.32,0.68,ירוק,208031
"בני עי""ש",קטן מ-15,אין מידע,19,27.53,5.91,צהוב,6902
בנימינה-גבעת עדה,קטן מ-15,אין מידע,45,28.18,5.65,צהוב,15971
בת ים,51,18.55,275,21.52,4.74,צהוב,127772
ג'דיידה-מכר,קטן מ-15,אין מידע,26,12.19,4.83,צהוב,21331
גבעת זאב,קטן מ-15,אין מידע,21,10.93,3.29,ירוק,19205
גבעת שמואל,קטן מ-15,אין מידע,55,20.19,4.67,צהוב,27236
גבעתיים,33,25.19,131,21.52,5.13,צהוב,60872
גדרה,33,35.48,93,32.29,6.19,כתום,28805
גן יבנה,קטן מ-15,אין מידע,38,15.91,5.24,צהוב,23887
גני תקווה,16,29.09,55,25.57,4.83,צהוב,21508
דימונה,15,25.86,58,16.59,3.08,ירוק,34954
הוד השרון,35,24.65,142,21.93,5.09,צהוב,64755
הרצליה,57,18.45,309,31.15,5.1,צהוב,99208
זכרון יעקב,קטן מ-15,אין מידע,66,28.08,5.96,צהוב,23503
חדרה,33,20.00,165,16.68,4.97,צהוב,98928
חולון,83,23.18,358,18.22,4.76,צהוב,196510
חיפה,118,14.46,816,28.63,5,צהוב,284981
חריש,קטן מ-15,אין מידע,45,22.95,5.89,צהוב,19608
