period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,116085,12276,10.58
3_Month,0-9,379091,137556,36.29
6_Month,0-9,1226998,502695,40.97
1_Year,0-9,1489569,622457,41.79
All,0-9,1694720,730485,43.1
1_Month,10-19,129289,9328,7.21
3_Month,10-19,382692,127584,33.34
6_Month,10-19,1145774,538336,46.98
1_Year,10-19,1386937,626419,45.17
All,10-19,1611862,772096,47.9
1_Month,20-29,157018,10895,6.94
3_Month,20-29,441004,102142,23.16
6_Month,20-29,979046,371406,37.94
1_Year,20-29,1208688,433306,35.85
All,20-29,1433387,555347,38.74
1_Month,30-39,149421,16037,10.73
3_Month,30-39,437166,125129,28.62
6_Month,30-39,952548,402070,42.21
1_Year,30-39,1151640,465113,40.39
All,30-39,1334749,551694,41.33
1_Month,40-49,148161,15387,10.39
3_Month,40-49,418426,118788,28.39
6_Month,40-49,870505,369604,42.46
1_Year,40-49,1031071,418204,40.56
All,40-49,1184762,492735,41.59
1_Month,50-59,132142,13279,10.05
3_Month,50-59,350937,85972,24.5
6_Month,50-59,667334,247102,37.03
1_Year,50-59,792102,274738,34.68
All,50-59,916803,332162,36.23
1_Month,60-69,115048,13547,11.78
3_Month,60-69,302424,66000,21.82
6_Month,60-69,546073,171564,31.42
1_Year,60-69,648020,189030,29.17
All,60-69,746991,227584,30.47
1_Month,70-79,77430,10334,13.35
3_Month,70-79,200345,41611,20.77
6_Month,70-79,341059,94626,27.74
1_Year,70-79,407202,104196,25.59
All,70-79,471598,124687,26.44
1_Month,80-89,32787,4101,12.51
3_Month,80-89,76532,15712,20.53
6_Month,80-89,127839,36262,28.37
1_Year,80-89,157210,40837,25.98
All,80-89,198854,51844,26.07
1_Month,90+,9320,1076,11.55
3_Month,90+,18645,3786,20.31
6_Month,90+,30057,9257,30.8
1_Year,90+,37482,10456,27.9
All,90+,51537,14131,27.42
