city,sickCount,actualSick,verifiedLast7Days,testLast7Days,patientDiffPopulationForTenThousands
בנימינה-גבעת עדה,761,147,132,9056,101
מודיעין-מכבים-רעות,4943,98,88,10229,11
כפר סבא,4231,88,87,5289,9
תל אביב - יפו,26482,79,73,26711,2
כוכב יאיר,394,58,58,1150,63
הרצליה,4311,46,44,7180,5
ירושלים,130582,32,  6-10  ,21804,0
רמלה,9590,32,32,1797,4
נתניה,17106,27,26,8133,1
פתח תקווה,21827,26,20,6263,1
צופים,156,21,21,304,87
פרדס חנה-כרכור,2436,21,21,3135,5
רמת גן,7927,18,16,5762,1
רמת השרון,1951,16,15,3162,4
הוד השרון,2817,15, 11-14 ,2578,2
אשקלון,11885, קטן מ-15 ,  1-5  ,2945,0
מבשרת ציון,1924, קטן מ-15 ,  1-5  ,756,0
באר שבע,15329, קטן מ-15 ,  1-5  ,3898,0
תל שבע,608, קטן מ-15 ,  0  ,298,0
גן נר,135, קטן מ-15 ,  0  ,51,4
אשדוד,25675, קטן מ-15 ,  1-5  ,4306,0
נתיבות,7045, קטן מ-15 ,  1-5  ,417,0
אור עקיבא,1656, קטן מ-15 ,  1-5  ,646,1
קרית מלאכי,4103, קטן מ-15 ,  0  ,323,0
מעלות-תרשיחא,1585, קטן מ-15 ,  1-5  ,422,0
פרדסיה,263, קטן מ-15 ,  1-5  ,227,1
כרמיאל,2480, קטן מ-15 ,  1-5  ,853,1
גבעתיים,2051, קטן מ-15 ,  1-5  ,2051,0
ערד,2491, קטן מ-15 ,  1-5  ,455,1
קרית אתא,4690, קטן מ-15 ,  1-5  ,934,0
ראשון לציון,14942, קטן מ-15 , 11-14 ,6974,1
רחובות,11337, קטן מ-15 ,  1-5  ,2704,0
מבוא חורון,301, קטן מ-15 ,  0  ,27,4
רעננה,3924, קטן מ-15 ,  1-5  ,4240,1
נהריה,3328, קטן מ-15 ,  1-5  ,1188,0
סביון,232, קטן מ-15 ,  1-5  ,546,9
קרית ים,2358, קטן מ-15 ,  0  ,657,1
בית שמש,20224, קטן מ-15 ,  0  ,2323,0
עץ אפרים,199, קטן מ-15 ,  1-5  ,117,8
עוזייר,166, קטן מ-15 ,  0  ,42,3
מעלה אדומים,3845, קטן מ-15 ,  1-5  ,582,0
אילת,2534, קטן מ-15 ,  1-5  ,1437,0
שדרות,2894, קטן מ-15 ,  0  ,439,0
חריש,1542, קטן מ-15 ,  0  ,380,0
לפיד,108, קטן מ-15 ,  1-5  ,226,10
חדרה,6866, קטן מ-15 ,  6-10  ,2240,1
לוד,8707, קטן מ-15 ,  1-5  ,1625,0
עכו,4075, קטן מ-15 ,  0  ,715,0
צפת,4817, קטן מ-15 ,  0  ,512,1
נעלה,148, קטן מ-15 ,  1-5  ,81,5
"כפר חב""ד",1367, קטן מ-15 ,  0  ,367,1
צור יצחק,231, קטן מ-15 ,  1-5  ,249,3
באר יעקב,2272, קטן מ-15 ,  6-10  ,820,2
ראש העין,5450, קטן מ-15 ,  6-10  ,1371,1
חיפה,16701, קטן מ-15 ,  6-10  ,7356,0
פסגות,198, קטן מ-15 ,  1-5  ,55,19
שוהם,1105, קטן מ-15 ,  1-5  ,717,2
כפר כנא,2443, קטן מ-15 ,  1-5  ,404,0
קרית גת,7333, קטן מ-15 ,  0  ,646,0
טייבה,4618, קטן מ-15 ,  1-5  ,795,0
עילוט,669, קטן מ-15 ,  0  ,169,1
מייסר,124, קטן מ-15 ,  0  ,34,5
אלקנה,299, קטן מ-15 ,  1-5  ,98,3
בית אל,536, קטן מ-15 ,  1-5  ,57,4
עפרה,283, קטן מ-15 ,  1-5  ,39,3
אורנית,371, קטן מ-15 ,  1-5  ,299,1
מגדל העמק,2110, קטן מ-15 ,  0  ,379,0
אור יהודה,4391, קטן מ-15 ,  1-5  ,767,1
קרית אונו,1798, קטן מ-15 ,  6-10  ,1205,3
אום אל-פחם,6186, קטן מ-15 ,  1-5  ,657,1
מזכרת בתיה,753, קטן מ-15 ,  1-5  ,422,1
מג'ד אל-כרום,2203, קטן מ-15 ,  0  ,173,1
גבעת שמואל,1725, קטן מ-15 ,  1-5  ,818,1
טירת כרמל,1395, קטן מ-15 ,  1-5  ,398,0
בני ברק,48267, קטן מ-15 ,  1-5  ,2339,0
כפר האורנים,121, קטן מ-15 ,  1-5  ,181,5
גני תקווה,1330, קטן מ-15 ,  1-5  ,674,0
בת ים,9719, קטן מ-15 ,  6-10  ,3608,1
חולון,14693, קטן מ-15 ,  1-5  ,4236,0
זכרון יעקב,1387, קטן מ-15 ,  1-5  ,1536,2
שמשית,105,0,  0  ,69,0
בית חשמונאי,109,0,  0  ,96,0
גבעת ברנר,71,0,  0  ,60,0
כוכב השחר,291,0,  0  ,18,0
מרכז שפירא,214,0,  0  ,38,0
הוואשלה (שבט), קטן מ-15 ,0,  0  ,1,0
יאנוח-ג'ת,1153,0,  0  ,42,0
מצפה רמון,277,0,  0  ,96,0
אבן יהודה,653,0,  0  ,810,0
קדימה-צורן,1164,0,  0  ,786,0
קרית עקרון,900,0,  0  ,175,0
בועיינה-נוג'ידאת,918,0,  0  ,112,0
אבו רוקייק (שבט),86,0,  0  ,24,0
אבו ג'ווייעד (שבט),66,0,  0  ,277,0
אבו קורינאת (שבט),56,0,  0  ,11,0
אלון שבות,378,0,  0  ,95,0
נוף הגליל,2869,0,  0  ,954,0
ערערה-בנגב,1017,0,  0  ,231,0
שערי תקווה,367,0,  0  ,168,0
כפר ורדים,236,0,  0  ,204,0
גבעת אבני,113,0,  0  ,68,0
כסרא-סמיע,972,0,  0  ,49,0
קרית מוצקין,2369,0,  0  ,864,0
לא ידוע,305,0,  0  ,420,0
צור משה,113,0,  0  ,72,0
אכסאל,1500,0,  0  ,247,0
בענה,988,0,  0  ,68,0
ג'ולס,669,0,  0  ,61,0
ירכא,2129,0,  0  ,142,0
זרזיר,497,0,  0  ,65,0
כסיפה,912,0,  0  ,79,0
לקיה,814,0,  0  ,120,0
קיסריה,244,0,  0  ,565,0
תל מונד,494,0,  0  ,466,0
כפר יונה,1426,0,  0  ,610,0
נווה דניאל,304,0,  0  ,82,0
אבו סנאן,1356,0,  0  ,180,0
דייר חנא,1470,0,  0  ,140,0
ביתר עילית,12880,0,  0  ,468,0
שגב-שלום,354,0,  0  ,137,0
גבע בנימין,678,0,  0  ,87,0
כוכב יעקב,1899,0,  0  ,109,0
גבעת זאב,3794,0,  0  ,339,0
הר אדר,209,0,  0  ,211,0
שילה,406,0,  0  ,66,0
עלי,391,0,  0  ,50,0
קרית ביאליק,2247,0,  0  ,789,0
שפרעם,4116,0,  0  ,580,0
אבני חפץ,322,0,  0  ,27,0
בית שאן,1694,0,  0  ,358,0
קצרין,297,0,  0  ,120,0
כפר ברא,387,0,  0  ,99,0
קלנסווה,2505,0,  0  ,417,0
כפר קרע,1680,0,  0  ,284,0
שלומי,417,0,  0  ,124,0
רכסים,3122,0,  0  ,65,0
בת חפר,238,0,  0  ,173,0
מסעדה,421,0,  0  ,14,0
אל סייד,19,0,  0  ,12,0
ע'ג'ר,168,0,  0  ,7,0
קדומים,360,0,  0  ,62,0
פדואל,233,0,  0  ,26,0
דימונה,2515,0,  0  ,648,0
טלמון,486,0,  0  ,37,0
רבבה,330,0,  0  ,11,0
בוקעאתא,990,0,  0  ,12,0
יבנה,4323,0,  0  ,848,0
תפרח,706,0,  0  ,7,0
טירה,2753,0,  0  ,483,0
יקיר,197,0,  0  ,34,0
ברכה,298,0,  0  ,9,0
אבו גוש,1290,0,  0  ,559,0
מגאר,2150,0,  0  ,250,0
נוקדים,168,0,  0  ,48,0
רהט,5017,0,  0  ,830,0
עין קנייא,303,0,  0  ,13,0
נופית,101,0,  0  ,146,0
הושעיה,150,0,  0  ,21,0
מיתר,373,0,  0  ,264,0
טבריה,4525,0,  0  ,751,0
להבים,271,0,  0  ,252,0
נצרת,9058,0,  0  ,2002,0
זמר,599,0,  0  ,98,0
עפולה,3802,0,  0  ,763,0
חורה,877,0,  0  ,139,0
גני מודיעין,357,0,  0  ,33,0
כפר תבור,198,0,  0  ,87,0
