section,male,female,period
0-9,"{'amount': 14, 'percentage': 0}","{'amount': 16, 'percentage': 0}",6 חודשים
0-9,"{'amount': 24, 'percentage': 0}","{'amount': 21, 'percentage': 0}",מתחילת קורונה
0-9,"{'amount': 1, 'percentage': 0}","{'amount': 4, 'percentage': 1}",חודש אחרון
0-9,"{'amount': 7, 'percentage': 0}","{'amount': 14, 'percentage': 0}",3 חודשים
0-9,"{'amount': 22, 'percentage': 0}","{'amount': 21, 'percentage': 0}",שנה
10-19,"{'amount': 19, 'percentage': 0}","{'amount': 26, 'percentage': 0}",6 חודשים
10-19,"{'amount': 9, 'percentage': 0}","{'amount': 18, 'percentage': 0}",3 חודשים
10-19,"{'amount': 1, 'percentage': 0}","{'amount': 2, 'percentage': 0}",חודש אחרון
10-19,"{'amount': 29, 'percentage': 0}","{'amount': 44, 'percentage': 0}",מתחילת קורונה
10-19,"{'amount': 28, 'percentage': 0}","{'amount': 43, 'percentage': 0}",שנה
20-29,"{'amount': 109, 'percentage': 1}","{'amount': 107, 'percentage': 1}",6 חודשים
20-29,"{'amount': 79, 'percentage': 2}","{'amount': 82, 'percentage': 2}",3 חודשים
20-29,"{'amount': 9, 'percentage': 2}","{'amount': 5, 'percentage': 1}",חודש אחרון
20-29,"{'amount': 145, 'percentage': 1}","{'amount': 157, 'percentage': 1}",שנה
20-29,"{'amount': 145, 'percentage': 1}","{'amount': 160, 'percentage': 1}",מתחילת קורונה
30-39,"{'amount': 9, 'percentage': 2}","{'amount': 19, 'percentage': 4}",חודש אחרון
30-39,"{'amount': 273, 'percentage': 3}","{'amount': 239, 'percentage': 2}",6 חודשים
30-39,"{'amount': 414, 'percentage': 3}","{'amount': 337, 'percentage': 2}",שנה
30-39,"{'amount': 422, 'percentage': 3}","{'amount': 340, 'percentage': 2}",מתחילת קורונה
30-39,"{'amount': 200, 'percentage': 4}","{'amount': 181, 'percentage': 3}",3 חודשים
40-49,"{'amount': 35, 'percentage': 7}","{'amount': 23, 'percentage': 4}",חודש אחרון
40-49,"{'amount': 627, 'percentage': 6}","{'amount': 409, 'percentage': 4}",6 חודשים
40-49,"{'amount': 933, 'percentage': 6}","{'amount': 571, 'percentage': 4}",שנה
40-49,"{'amount': 941, 'percentage': 6}","{'amount': 579, 'percentage': 4}",מתחילת קורונה
40-49,"{'amount': 376, 'percentage': 7}","{'amount': 259, 'percentage': 5}",3 חודשים
50-59,"{'amount': 952, 'percentage': 9}","{'amount': 638, 'percentage': 6}",6 חודשים
50-59,"{'amount': 1493, 'percentage': 9}","{'amount': 975, 'percentage': 6}",שנה
50-59,"{'amount': 1523, 'percentage': 9}","{'amount': 982, 'percentage': 6}",מתחילת קורונה
50-59,"{'amount': 44, 'percentage': 8}","{'amount': 39, 'percentage': 7}",חודש אחרון
50-59,"{'amount': 519, 'percentage': 10}","{'amount': 379, 'percentage': 7}",3 חודשים
60-69,"{'amount': 2113, 'percentage': 13}","{'amount': 1284, 'percentage': 8}",מתחילת קורונה
60-69,"{'amount': 49, 'percentage': 9}","{'amount': 57, 'percentage': 11}",חודש אחרון
60-69,"{'amount': 522, 'percentage': 10}","{'amount': 434, 'percentage': 8}",3 חודשים
60-69,"{'amount': 2074, 'percentage': 13}","{'amount': 1268, 'percentage': 8}",שנה
60-69,"{'amount': 1179, 'percentage': 11}","{'amount': 805, 'percentage': 8}",6 חודשים
70-79,"{'amount': 551, 'percentage': 10}","{'amount': 474, 'percentage': 9}",3 חודשים
70-79,"{'amount': 2202, 'percentage': 13}","{'amount': 1530, 'percentage': 9}",מתחילת קורונה
70-79,"{'amount': 2146, 'percentage': 13}","{'amount': 1506, 'percentage': 9}",שנה
70-79,"{'amount': 1265, 'percentage': 12}","{'amount': 984, 'percentage': 10}",6 חודשים
70-79,"{'amount': 58, 'percentage': 11}","{'amount': 49, 'percentage': 9}",חודש אחרון
80-89,"{'amount': 1557, 'percentage': 9}","{'amount': 1593, 'percentage': 10}",מתחילת קורונה
80-89,"{'amount': 389, 'percentage': 7}","{'amount': 494, 'percentage': 9}",3 חודשים
80-89,"{'amount': 41, 'percentage': 8}","{'amount': 53, 'percentage': 10}",חודש אחרון
80-89,"{'amount': 1520, 'percentage': 9}","{'amount': 1555, 'percentage': 10}",שנה
80-89,"{'amount': 920, 'percentage': 9}","{'amount': 999, 'percentage': 10}",6 חודשים
90+,"{'amount': 133, 'percentage': 3}","{'amount': 169, 'percentage': 3}",3 חודשים
90+,"{'amount': 309, 'percentage': 3}","{'amount': 433, 'percentage': 4}",6 חודשים
90+,"{'amount': 484, 'percentage': 3}","{'amount': 723, 'percentage': 4}",שנה
90+,"{'amount': 502, 'percentage': 3}","{'amount': 745, 'percentage': 5}",מתחילת קורונה
90+,"{'amount': 10, 'percentage': 2}","{'amount': 19, 'percentage': 4}",חודש אחרון
