age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,340754,304056,1538337,22.2,19.8
20-29,989931,910705,1300361,76.1,70
30-39,960481,905136,1197026,80.2,75.6
40-49,925648,878906,1098556,84.3,80
50-59,755217,716414,849966,88.9,84.3
60-69,666631,637119,741639,89.9,85.9
70-79,482316,466010,490784,98.3,95
80-89,215948,208041,225538,95.7,92.2
90+,51069,48255,51496,99.2,93.7
