section,female,male,period,order_period
0-9,"{'amount': 184778, 'percentage': 8.6}","{'amount': 210120, 'percentage': 9.8}",מתחילת קורונה,1
0-9,"{'amount': 56913, 'percentage': 7.1}","{'amount': 70428, 'percentage': 8.8}",חודש אחרון,5
0-9,"{'amount': 62565, 'percentage': 7.5}","{'amount': 75978, 'percentage': 9.1}",3 חודשים,4
0-9,"{'amount': 123412, 'percentage': 9.6}","{'amount': 141009, 'percentage': 10.9}",6 חודשים,3
0-9,"{'amount': 151183, 'percentage': 9.6}","{'amount': 172033, 'percentage': 10.9}",שנה,2
10-19,"{'amount': 96437, 'percentage': 11.6}","{'amount': 92709, 'percentage': 11.1}",3 חודשים,4
10-19,"{'amount': 177960, 'percentage': 11.3}","{'amount': 171172, 'percentage': 10.9}",שנה,2
10-19,"{'amount': 91518, 'percentage': 11.4}","{'amount': 88544, 'percentage': 11.1}",חודש אחרון,5
10-19,"{'amount': 233798, 'percentage': 10.9}","{'amount': 237853, 'percentage': 11.1}",מתחילת קורונה,1
10-19,"{'amount': 145931, 'percentage': 11.3}","{'amount': 139922, 'percentage': 10.8}",6 חודשים,3
20-29,"{'amount': 75237, 'percentage': 9.4}","{'amount': 50436, 'percentage': 6.3}",חודש אחרון,5
20-29,"{'amount': 113315, 'percentage': 8.8}","{'amount': 79314, 'percentage': 6.1}",6 חודשים,3
20-29,"{'amount': 77279, 'percentage': 9.3}","{'amount': 51593, 'percentage': 6.2}",3 חודשים,4
20-29,"{'amount': 197261, 'percentage': 9.2}","{'amount': 151941, 'percentage': 7.1}",מתחילת קורונה,1
20-29,"{'amount': 140968, 'percentage': 9}","{'amount': 100777, 'percentage': 6.4}",שנה,2
30-39,"{'amount': 68949, 'percentage': 8.6}","{'amount': 45199, 'percentage': 5.7}",חודש אחרון,5
30-39,"{'amount': 71678, 'percentage': 8.6}","{'amount': 46721, 'percentage': 5.6}",3 חודשים,4
30-39,"{'amount': 109710, 'percentage': 8.5}","{'amount': 73781, 'percentage': 5.7}",6 חודשים,3
