name,value
פסיכולוגיה,43
פראמדיקים,45
קלינאות תקשורת,63
ריפוי בעיסוק,68
פיזיותרפיה,95
שירות סוציאלי,100
מעבדה,102
מערך לוגיסטי,165
רוקחות,175
כוח עזר,244
חובשי רפואת חירום,346
מינהל ומשק,1303
סקטורים אחרים,2738
