name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
קרית שמונה,5,כתום,29.8,0.0446369087275,-0.5281690140846,144,כתום,2021-09-26T00:00:00.000Z,72.09,67.98,64.1
עילוט,7.3,אדום,51.6,0.0659163987138,0.4193548387096,57,אדום,2021-09-26T00:00:00.000Z,55.74,47.46,66.8
שערי תקווה,3.1,כתום,5.0,0.0079787234042,-0.4117647058824, קטן מ-15 ,כתום,2021-09-26T00:00:00.000Z,67.86,64.87,
ג'לג'וליה,8.9,אדום,109.8,0.0683654443753,0.4487179487179001,150,אדום,2021-09-26T00:00:00.000Z,57.08,48.54,145.7
בת ים,5,כתום,25.7,0.0401905692645,-0.5147928994083,627,כתום,2021-09-26T00:00:00.000Z,70.87,67.03,49.1
בועיינה-נוג'ידאת,9,אדום,147.8,0.0812431842966,0.006802721088400077,225,אדום,2021-09-26T00:00:00.000Z,66.20,57.00,224.8
טירת כרמל,6.3,כתום,49.8,0.055606617647,-0.5040983606558,221,כתום,2021-09-26T00:00:00.000Z,71.87,68.12,91.0
נתיבות,6.8,אדום,69.2,0.1219730941704,-0.2758620689656,416,אדום,2021-09-26T00:00:00.000Z,49.04,43.32,105.4
אבו קורינאת (שבט),4.5,ירוק,7.5,0.1162790697674,0, קטן מ-15 ,ירוק,2021-09-26T00:00:00.000Z,7.40,6.04,
גבעת אבני,5.8,צהוב,9.6,0.0110497237569,-0.1666666666667001, קטן מ-15 ,צהוב,2021-09-26T00:00:00.000Z,83.80,80.63,
ראשון לציון,4.8,צהוב,21.3,0.0298102981029,-0.4152360515022,971,צהוב,2021-09-26T00:00:00.000Z,72.76,69.80,37.9
רומת הייב,5.7,צהוב,23.9,0.0257731958762,-0.09090909090910004, קטן מ-15 ,צהוב,2021-09-26T00:00:00.000Z,51.10,45.66,
פתח תקווה,5.3,כתום,31.8,0.0409399099425,-0.4010534236268,1357,כתום,2021-09-26T00:00:00.000Z,71.19,67.06,54.2
ג'דיידה-מכר,7.5,אדום,78.3,0.0668534827862,-0.3070539419088,238,אדום,2021-09-26T00:00:00.000Z,63.61,55.67,111.6
אפרת,5.6,צהוב,22.8,0.0304806565064,-0.3157894736843,48,צהוב,2021-09-26T00:00:00.000Z,69.15,64.82,42.0
בית אל,5.9,אדום,37.1,0.0408921933085,-0.6,42,אדום,2021-09-26T00:00:00.000Z,60.50,55.79,70.9
לקיה,9.8,אדום,111.5,0.1201465201465,0.2734375,249,אדום,2021-09-26T00:00:00.000Z,28.02,22.91,170.4
בית דגן,5.8,אדום,50.7,0.0691588785046,-0.2745098039216,56,אדום,2021-09-26T00:00:00.000Z,68.73,65.15,76.7
מגדל העמק,5.7,כתום,42.3,0.0684673366834,-0.4076086956522,167,כתום,2021-09-26T00:00:00.000Z,68.81,64.53,64.8
נווה דניאל,4.8,כתום,38.8,0.0363636363636,-0.5454545454546, קטן מ-15 ,כתום,2021-09-26T00:00:00.000Z,71.98,66.64,
ניצן,5.9,צהוב,47.3,0.0655737704918,-0.07692307692309996, קטן מ-15 ,צהוב,2021-09-26T00:00:00.000Z,63.92,58.83,
תקוע,6.7,כתום,76.4,0.075117370892,-0.219512195122,51,כתום,2021-09-26T00:00:00.000Z,48.50,45.80,121.8
טמרה,7.9,אדום,90.1,0.0795512493625,-0.3591836734694001,524,אדום,2021-09-26T00:00:00.000Z,64.18,54.07,150.3
גבעת ברנר,5,ירוק,26.3,0.0198863636363,0, קטן מ-15 ,ירוק,2021-09-26T00:00:00.000Z,69.94,68.48,
כפר האורנים,4.4,כתום,7.6,0.0066445182724,0, קטן מ-15 ,כתום,2021-09-26T00:00:00.000Z,77.33,75.24,
