age,active_amount_boost_vaccinated,active_amount_vaccinated,active_amount_not_vaccinated,active_boost_vaccinated_normalized,active_vaccinated_normalized,active_not_vaccinated_normalized,serious_amount_boost_vaccinated,serious_amount_vaccinated,serious_amount_not_vaccinated,serious_boost_vaccinated_normalized,serious_vaccinated_normalized,serious_not_vaccinated_normalized
12-15,0,402,3945,0,137.8,1442.2,0,0,0,0,0,0
16-19,79,1629,1577,61.9,549.5,1135.5,0,0,1,0,0,0.7
20-29,251,4347,2912,68.8,664.7,1156,0,3,15,0,0.5,6
30-39,535,4819,2904,126.4,856.8,1602.3,0,0,37,0,0,20.4
40-49,539,2882,2059,102.3,694.6,1477.2,2,11,86,0.4,2.7,61.7
50-59,325,1258,1107,64.8,485.9,1160.2,5,22,105,1,8.5,110
60-69,294,740,685,55.7,514.2,1048.1,13,35,105,2.5,24.3,160.7
70-79,211,344,372,52.4,467.2,824.4,16,30,80,4,40.7,177.3
80-89,134,210,214,76.6,551.1,984.5,14,21,39,8,55.1,179.4
90+,58,58,79,163.2,448.9,939.8,4,6,19,11.3,46.4,226
