name,value
פראמדיקים,0
חובשי רפואת חירום,0
פסיכולוגיה,1
קלינאות תקשורת,5
פיזיותרפיה,9
ריפוי בעיסוק,11
שירות סוציאלי,17
מערך לוגיסטי,21
מעבדה,21
כוח עזר,26
רוקחות,35
סקטורים אחרים,105
מינהל ומשק,176
