age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,316790,256632,1538337,20.6,16.7
20-29,934373,775425,1300361,71.9,59.6
30-39,917800,794896,1197026,76.7,66.4
40-49,897515,807777,1098556,81.7,73.5
50-59,736614,675419,849966,86.7,79.5
60-69,655193,616935,741639,88.3,83.2
70-79,475952,456124,490784,97,92.9
80-89,212576,202664,225538,94.3,89.9
90+,49887,46762,51496,96.9,90.8
