age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,139640,16901,1505185,9.3,1.1
20-29,348560,107201,1277634,27.3,8.4
30-39,413915,148212,1186386,34.9,12.5
40-49,601812,237997,1080768,55.7,22
50-59,559615,318187,832687,67.2,38.2
60-69,563985,479962,735380,76.7,65.3
70-79,431933,387327,462148,93.5,83.8
80-89,192602,170862,222547,86.5,76.8
90+,45261,39530,50589,89.5,78.1
