period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,8746,1090,12.46
3_Month,0-9,18833,2804,14.89
6_Month,0-9,93018,36596,39.34
1_Year,0-9,1214929,534780,44.02
All,0-9,1715505,767781,44.76
1_Month,10-19,13068,3232,24.73
3_Month,10-19,28155,6923,24.59
6_Month,10-19,99918,36015,36.04
1_Year,10-19,1137275,574121,50.48
All,10-19,1631937,810799,49.68
1_Month,20-29,18817,4932,26.21
3_Month,20-29,40984,10067,24.56
6_Month,20-29,136518,50542,37.02
1_Year,20-29,999809,428151,42.82
All,20-29,1477817,608524,41.18
1_Month,30-39,18947,5410,28.55
3_Month,30-39,40447,11199,27.69
6_Month,30-39,147234,61758,41.95
1_Year,30-39,974088,471252,48.38
All,30-39,1375574,617216,44.87
1_Month,40-49,19830,5986,30.19
3_Month,40-49,42227,12610,29.86
6_Month,40-49,144511,62968,43.57
1_Year,40-49,891296,442479,49.64
All,40-49,1222303,561537,45.94
1_Month,50-59,20400,6129,30.04
3_Month,50-59,43366,13297,30.66
6_Month,50-59,135757,61310,45.16
1_Year,50-59,700544,322331,46.01
All,50-59,958074,403090,42.07
1_Month,60-69,22852,6585,28.82
3_Month,60-69,49459,15293,30.92
6_Month,60-69,147573,68275,46.27
1_Year,60-69,592414,257303,43.43
All,60-69,792437,310165,39.14
1_Month,70-79,24834,6447,25.96
3_Month,70-79,51857,15786,30.44
6_Month,70-79,136516,63671,46.64
1_Year,70-79,396423,175482,44.27
All,70-79,518704,203771,39.28
1_Month,80-89,20969,3551,16.93
3_Month,80-89,35666,8082,22.66
6_Month,80-89,73235,29984,40.94
1_Year,80-89,156682,72034,45.97
All,80-89,222418,86636,38.95
1_Month,90+,7651,1091,14.26
3_Month,90+,12102,2276,18.81
6_Month,90+,21291,7869,36.96
1_Year,90+,37750,18025,47.75
All,90+,58528,22570,38.56
