period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,10853,2146,19.77
3_Month,0-9,87265,40004,45.84
6_Month,0-9,310971,92331,29.69
1_Year,0-9,1363046,582362,42.73
All,0-9,1711230,765578,44.74
1_Month,10-19,12646,2323,18.37
3_Month,10-19,86482,36384,42.07
6_Month,10-19,328310,88338,26.91
1_Year,10-19,1264683,604761,47.82
All,10-19,1628402,806522,49.53
1_Month,20-29,20238,3064,15.14
3_Month,20-29,115459,47702,41.32
6_Month,20-29,439201,106758,24.31
1_Year,20-29,1129066,438644,38.85
All,20-29,1470192,601583,40.92
1_Month,30-39,20741,3680,17.74
3_Month,30-39,131393,59411,45.22
6_Month,30-39,437076,129543,29.64
1_Year,30-39,1085404,483446,44.54
All,30-39,1369909,609495,44.49
1_Month,40-49,20937,3982,19.02
3_Month,40-49,128567,59562,46.33
6_Month,40-49,417747,127714,30.57
1_Year,40-49,979645,447444,45.67
All,40-49,1217007,553042,45.44
1_Month,50-59,21132,4030,19.07
3_Month,50-59,118382,56369,47.62
6_Month,50-59,371524,113100,30.44
1_Year,50-59,767957,318002,41.41
All,50-59,952225,392882,41.26
1_Month,60-69,24331,4803,19.74
3_Month,60-69,127179,61546,48.39
6_Month,60-69,344307,113443,32.95
1_Year,60-69,641788,247446,38.56
All,60-69,785624,296971,37.8
1_Month,70-79,24919,4901,19.67
3_Month,70-79,115309,55202,47.87
6_Month,70-79,252271,93618,37.11
1_Year,70-79,419700,162025,38.6
All,70-79,509782,188798,37.04
1_Month,80-89,17426,2189,12.56
3_Month,80-89,61645,24729,40.12
6_Month,80-89,102540,38641,37.68
1_Year,80-89,163382,65121,39.86
All,80-89,216960,79054,36.44
1_Month,90+,5887,627,10.65
3_Month,90+,17775,6243,35.12
6_Month,90+,25384,9337,36.78
1_Year,90+,38840,16221,41.76
All,90+,56430,20597,36.5
