period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,52866,27076,51.22
3_Month,0-9,192312,43228,22.48
6_Month,0-9,1043485,468267,44.88
1_Year,0-9,1487224,648281,43.59
All,0-9,1706278,756908,44.36
1_Month,10-19,51783,25855,49.93
3_Month,10-19,205028,43199,21.07
6_Month,10-19,919190,469531,51.08
1_Year,10-19,1384232,653473,47.21
All,10-19,1625053,799858,49.22
1_Month,20-29,66421,30783,46.35
3_Month,20-29,271745,48843,17.97
6_Month,20-29,840140,338297,40.27
1_Year,20-29,1220714,469076,38.43
All,20-29,1463121,589492,40.29
1_Month,30-39,80187,38984,48.62
3_Month,30-39,269794,62822,23.29
6_Month,30-39,845264,390884,46.24
1_Year,30-39,1163819,510194,43.84
All,30-39,1363223,595072,43.65
1_Month,40-49,80760,39364,48.74
3_Month,40-49,260796,63799,24.46
6_Month,40-49,778033,364970,46.91
1_Year,40-49,1044067,465032,44.54
All,40-49,1210704,538208,44.45
1_Month,50-59,73573,36626,49.78
3_Month,50-59,234533,59101,25.2
6_Month,50-59,613104,261274,42.61
1_Year,50-59,812133,321315,39.56
All,50-59,945491,377204,39.9
1_Month,60-69,77763,38948,50.09
3_Month,60-69,219549,62772,28.59
6_Month,60-69,513981,198673,38.65
1_Year,60-69,672763,240031,35.68
All,60-69,777589,277681,35.71
1_Month,70-79,70398,34040,48.35
3_Month,70-79,163367,54367,33.28
6_Month,70-79,335440,127524,38.02
1_Year,70-79,433486,149821,34.56
All,70-79,499950,169977,34
1_Month,80-89,40243,14453,35.91
3_Month,80-89,69052,21946,31.78
6_Month,80-89,127921,50511,39.49
1_Year,80-89,168475,59211,35.15
All,80-89,210921,69997,33.19
1_Month,90+,12370,3480,28.13
3_Month,90+,18212,5204,28.57
6_Month,90+,30233,12477,41.27
1_Year,90+,39979,14672,36.7
All,90+,54591,18256,33.44
