age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,259784,145608,1538337,16.9,9.5
20-29,789218,378493,1300361,60.7,29.1
30-39,812288,449579,1197026,67.9,37.6
40-49,829220,610900,1098556,75.5,55.6
50-59,691712,559795,849966,81.4,65.9
60-69,626258,560257,741639,84.4,75.5
70-79,460962,429263,490784,93.9,87.5
80-89,205618,190378,225538,91.2,84.4
90+,48271,43942,51496,93.7,85.3
