section,male,female,period,order_period
0-9,"{'amount': 59588, 'percentage': 7.5}","{'amount': 56531, 'percentage': 7.1}",שנה,2
0-9,"{'amount': 61256, 'percentage': 7.3}","{'amount': 58057, 'percentage': 6.9}",מתחילת קורונה,1
0-9,"{'amount': 928, 'percentage': 9.5}","{'amount': 950, 'percentage': 9.8}",חודש אחרון,5
0-9,"{'amount': 1105, 'percentage': 9.1}","{'amount': 1132, 'percentage': 9.4}",3 חודשים,4
0-9,"{'amount': 30603, 'percentage': 10.2}","{'amount': 28925, 'percentage': 9.6}",6 חודשים,3
10-19,"{'amount': 33140, 'percentage': 11}","{'amount': 35000, 'percentage': 11.6}",6 חודשים,3
10-19,"{'amount': 1139, 'percentage': 11.7}","{'amount': 1358, 'percentage': 14}",חודש אחרון,5
10-19,"{'amount': 92845, 'percentage': 11.1}","{'amount': 85424, 'percentage': 10.2}",מתחילת קורונה,1
10-19,"{'amount': 1484, 'percentage': 12.3}","{'amount': 1805, 'percentage': 14.9}",3 חודשים,4
10-19,"{'amount': 88608, 'percentage': 11.1}","{'amount': 82017, 'percentage': 10.3}",שנה,2
20-29,"{'amount': 569, 'percentage': 4.7}","{'amount': 566, 'percentage': 4.7}",3 חודשים,4
20-29,"{'amount': 436, 'percentage': 4.5}","{'amount': 454, 'percentage': 4.7}",חודש אחרון,5
20-29,"{'amount': 72635, 'percentage': 9.1}","{'amount': 77713, 'percentage': 9.8}",שנה,2
20-29,"{'amount': 77872, 'percentage': 9.3}","{'amount': 82442, 'percentage': 9.8}",מתחילת קורונה,1
20-29,"{'amount': 24631, 'percentage': 8.2}","{'amount': 29625, 'percentage': 9.9}",6 חודשים,3
30-39,"{'amount': 56352, 'percentage': 6.7}","{'amount': 61556, 'percentage': 7.3}",מתחילת קורונה,1
30-39,"{'amount': 52786, 'percentage': 6.6}","{'amount': 58573, 'percentage': 7.4}",שנה,2
30-39,"{'amount': 429, 'percentage': 4.4}","{'amount': 560, 'percentage': 5.8}",חודש אחרון,5
30-39,"{'amount': 547, 'percentage': 4.5}","{'amount': 690, 'percentage': 5.7}",3 חודשים,4
30-39,"{'amount': 19168, 'percentage': 6.4}","{'amount': 22141, 'percentage': 7.4}",6 חודשים,3
40-49,"{'amount': 14927, 'percentage': 5}","{'amount': 17284, 'percentage': 5.8}",6 חודשים,3
40-49,"{'amount': 667, 'percentage': 5.5}","{'amount': 847, 'percentage': 7}",3 חודשים,4
40-49,"{'amount': 530, 'percentage': 5.4}","{'amount': 720, 'percentage': 7.4}",חודש אחרון,5
40-49,"{'amount': 44171, 'percentage': 5.5}","{'amount': 50321, 'percentage': 6.3}",שנה,2
40-49,"{'amount': 47059, 'percentage': 5.6}","{'amount': 53019, 'percentage': 6.3}",מתחילת קורונה,1
50-59,"{'amount': 446, 'percentage': 3.7}","{'amount': 526, 'percentage': 4.4}",3 חודשים,4
50-59,"{'amount': 378, 'percentage': 3.9}","{'amount': 426, 'percentage': 4.4}",חודש אחרון,5
50-59,"{'amount': 32862, 'percentage': 4.1}","{'amount': 36371, 'percentage': 4.6}",שנה,2
50-59,"{'amount': 35162, 'percentage': 4.2}","{'amount': 38620, 'percentage': 4.6}",מתחילת קורונה,1
50-59,"{'amount': 10051, 'percentage': 3.3}","{'amount': 11493, 'percentage': 3.8}",6 חודשים,3
60-69,"{'amount': 5881, 'percentage': 2}","{'amount': 6683, 'percentage': 2.2}",6 חודשים,3
60-69,"{'amount': 422, 'percentage': 3.5}","{'amount': 471, 'percentage': 3.9}",3 חודשים,4
60-69,"{'amount': 369, 'percentage': 3.8}","{'amount': 407, 'percentage': 4.2}",חודש אחרון,5
60-69,"{'amount': 24212, 'percentage': 2.9}","{'amount': 24189, 'percentage': 2.9}",מתחילת קורונה,1
60-69,"{'amount': 22510, 'percentage': 2.8}","{'amount': 22748, 'percentage': 2.9}",שנה,2
70-79,"{'amount': 2840, 'percentage': 0.9}","{'amount': 3527, 'percentage': 1.2}",6 חודשים,3
70-79,"{'amount': 248, 'percentage': 2.5}","{'amount': 240, 'percentage': 2.5}",חודש אחרון,5
70-79,"{'amount': 12351, 'percentage': 1.5}","{'amount': 12446, 'percentage': 1.5}",מתחילת קורונה,1
70-79,"{'amount': 11415, 'percentage': 1.4}","{'amount': 11652, 'percentage': 1.5}",שנה,2
70-79,"{'amount': 284, 'percentage': 2.3}","{'amount': 293, 'percentage': 2.4}",3 חודשים,4
80-89,"{'amount': 5423, 'percentage': 0.6}","{'amount': 7427, 'percentage': 0.9}",מתחילת קורונה,1
80-89,"{'amount': 1367, 'percentage': 0.5}","{'amount': 2158, 'percentage': 0.7}",6 חודשים,3
80-89,"{'amount': 67, 'percentage': 0.7}","{'amount': 71, 'percentage': 0.7}",חודש אחרון,5
80-89,"{'amount': 92, 'percentage': 0.8}","{'amount': 99, 'percentage': 0.8}",3 חודשים,4
80-89,"{'amount': 5021, 'percentage': 0.6}","{'amount': 6924, 'percentage': 0.9}",שנה,2
90+,"{'amount': 1437, 'percentage': 0.2}","{'amount': 3007, 'percentage': 0.4}",מתחילת קורונה,1
90+,"{'amount': 379, 'percentage': 0.1}","{'amount': 727, 'percentage': 0.2}",6 חודשים,3
90+,"{'amount': 8, 'percentage': 0.1}","{'amount': 35, 'percentage': 0.3}",3 חודשים,4
90+,"{'amount': 4, 'percentage': 0}","{'amount': 19, 'percentage': 0.2}",חודש אחרון,5
90+,"{'amount': 1320, 'percentage': 0.2}","{'amount': 2726, 'percentage': 0.3}",שנה,2
