age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,616336,403940,1538337,40.1,26.3
20-29,1022383,933893,1300361,78.6,71.8
30-39,993301,925399,1197026,83,77.3
40-49,946194,887683,1098556,86.1,80.8
50-59,760721,716649,849966,89.5,84.3
60-69,673093,643920,741639,90.8,86.8
70-79,468175,455073,490784,95.4,92.7
80-89,211737,205543,225538,93.9,91.1
90+,48007,46156,51496,93.2,89.6
