name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
להבים,3.2,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-07-15T00:00:00.000Z,81.26788134317121,75.7566631531396,
אזור,2.2,ירוק,2.3,0.008152173913,0, קטן מ-15 ,ירוק,2021-07-15T00:00:00.000Z,61.29422437254309,56.524039915331116,
מסעודין אל-עזאזמה,2.4,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-07-15T00:00:00.000Z,5.726946376486426,4.846309176576172,
קרית שמונה,2.3,ירוק,1.8,0.0129449838187,0, קטן מ-15 ,ירוק,2021-07-15T00:00:00.000Z,68.83400089007566,64.01869158878505,
עתלית,2.6,ירוק,1.0,0.0029850746268,0, קטן מ-15 ,ירוק,2021-07-15T00:00:00.000Z,59.37628653766982,55.06381226842322,
ערערה-בנגב,2,צהוב,0.0,0,0, 0 ,צהוב,2021-07-15T00:00:00.000Z,26.561757406136138,22.72799281829223,0.0
שוהם,4.3,ירוק,6.7,0.0053742802303,0.3999999999999999,16,ירוק,2021-07-15T00:00:00.000Z,82.96637976128204,75.82386228541537,7.6
ירושלים,3.9,ירוק,1.4,0.0072,1.4814814814814,165,ירוק,2021-07-15T00:00:00.000Z,48.517497869696804,42.27948738398767,1.7
צור הדסה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-15T00:00:00.000Z,52.67386609071274,48.16414686825054,0.0
יבנה,5.9,ירוק,9.4,0.0242643262777,1.35,56,ירוק,2021-07-15T00:00:00.000Z,62.49924636749131,57.330332201209835,11.3
אחוזת ברק,3.1,ירוק,4.2,0.0093457943925,0, קטן מ-15 ,ירוק,2021-07-15T00:00:00.000Z,74.85404503753128,68.34862385321101,
אום בטין,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-15T00:00:00.000Z,13.211336755188574,10.421780852488284,0.0
ג'ולס,2.5,ירוק,1.5,0.0196078431372,0, קטן מ-15 ,ירוק,2021-07-15T00:00:00.000Z,66.40183346065699,59.9694423223835,
בית אל,2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-15T00:00:00.000Z,56.007424907188664,48.39689503881202,0.0
אור עקיבא,4.5,ירוק,8.8,0.0228426395939,0.7,18,ירוק,2021-07-15T00:00:00.000Z,65.83406293454189,60.54488334964206,9.3
תל מונד,3.3,ירוק,5.9,0.011544011544,0, קטן מ-15 ,ירוק,2021-07-15T00:00:00.000Z,77.37909516380655,70.93826610207266,
ג'ש (גוש חלב),2,ירוק,0.0,0,0, 0 ,ירוק,2021-07-15T00:00:00.000Z,65.41666666666667,60.09615384615385,0.0
אבו קורינאת (שבט),2,צהוב,0.0,0,0, 0 ,צהוב,2021-07-15T00:00:00.000Z,5.584747034979733,4.759045188410148,0.0
חולון,5.8,ירוק,6.4,0.0197067633611,1.2321428571428,152,ירוק,2021-07-15T00:00:00.000Z,66.940613709226,62.291486438349196,7.7
