section,female,male,period,order_period
0-9,"{'amount': 4, 'percentage': 0.2}","{'amount': 7, 'percentage': 0.4}",חודש אחרון,5
0-9,"{'amount': 28, 'percentage': 0.2}","{'amount': 37, 'percentage': 0.2}",שנה,2
0-9,"{'amount': 13, 'percentage': 0.3}","{'amount': 23, 'percentage': 0.4}",6 חודשים,3
0-9,"{'amount': 12, 'percentage': 0.2}","{'amount': 22, 'percentage': 0.4}",3 חודשים,4
0-9,"{'amount': 33, 'percentage': 0.2}","{'amount': 46, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 56, 'percentage': 0.3}","{'amount': 40, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 7, 'percentage': 0.4}","{'amount': 4, 'percentage': 0.2}",חודש אחרון,5
10-19,"{'amount': 15, 'percentage': 0.3}","{'amount': 11, 'percentage': 0.2}",3 חודשים,4
10-19,"{'amount': 17, 'percentage': 0.3}","{'amount': 11, 'percentage': 0.2}",6 חודשים,3
10-19,"{'amount': 41, 'percentage': 0.3}","{'amount': 29, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 64, 'percentage': 1.2}","{'amount': 46, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 61, 'percentage': 1.2}","{'amount': 42, 'percentage': 0.9}",3 חודשים,4
20-29,"{'amount': 37, 'percentage': 1.9}","{'amount': 24, 'percentage': 1.2}",חודש אחרון,5
20-29,"{'amount': 223, 'percentage': 1}","{'amount': 175, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 176, 'percentage': 1.1}","{'amount': 148, 'percentage': 0.9}",שנה,2
30-39,"{'amount': 403, 'percentage': 2.5}","{'amount': 408, 'percentage': 2.5}",שנה,2
30-39,"{'amount': 150, 'percentage': 2.9}","{'amount': 149, 'percentage': 2.9}",6 חודשים,3
30-39,"{'amount': 136, 'percentage': 2.8}","{'amount': 145, 'percentage': 2.9}",3 חודשים,4
30-39,"{'amount': 68, 'percentage': 3.4}","{'amount': 82, 'percentage': 4.1}",חודש אחרון,5
30-39,"{'amount': 485, 'percentage': 2.2}","{'amount': 533, 'percentage': 2.4}",מתחילת קורונה,1
40-49,"{'amount': 640, 'percentage': 3.9}","{'amount': 953, 'percentage': 5.8}",שנה,2
40-49,"{'amount': 216, 'percentage': 4.2}","{'amount': 318, 'percentage': 6.1}",6 חודשים,3
40-49,"{'amount': 210, 'percentage': 4.3}","{'amount': 306, 'percentage': 6.2}",3 חודשים,4
40-49,"{'amount': 114, 'percentage': 5.7}","{'amount': 159, 'percentage': 8}",חודש אחרון,5
40-49,"{'amount': 790, 'percentage': 3.6}","{'amount': 1215, 'percentage': 5.6}",מתחילת קורונה,1
50-59,"{'amount': 299, 'percentage': 5.8}","{'amount': 404, 'percentage': 7.8}",6 חודשים,3
50-59,"{'amount': 282, 'percentage': 5.7}","{'amount': 390, 'percentage': 7.9}",3 חודשים,4
50-59,"{'amount': 972, 'percentage': 5.9}","{'amount': 1433, 'percentage': 8.7}",שנה,2
50-59,"{'amount': 1272, 'percentage': 5.8}","{'amount': 1909, 'percentage': 8.8}",מתחילת קורונה,1
50-59,"{'amount': 135, 'percentage': 6.8}","{'amount': 186, 'percentage': 9.3}",חודש אחרון,5
60-69,"{'amount': 395, 'percentage': 8}","{'amount': 539, 'percentage': 10.9}",3 חודשים,4
60-69,"{'amount': 427, 'percentage': 8.2}","{'amount': 551, 'percentage': 10.6}",6 חודשים,3
60-69,"{'amount': 160, 'percentage': 8}","{'amount': 215, 'percentage': 10.8}",חודש אחרון,5
60-69,"{'amount': 1735, 'percentage': 8}","{'amount': 2647, 'percentage': 12.1}",מתחילת קורונה,1
60-69,"{'amount': 1311, 'percentage': 8}","{'amount': 1848, 'percentage': 11.3}",שנה,2
70-79,"{'amount': 188, 'percentage': 9.4}","{'amount': 187, 'percentage': 9.4}",חודש אחרון,5
70-79,"{'amount': 458, 'percentage': 9.3}","{'amount': 570, 'percentage': 11.6}",3 חודשים,4
70-79,"{'amount': 490, 'percentage': 9.5}","{'amount': 600, 'percentage': 11.6}",6 חודשים,3
70-79,"{'amount': 1553, 'percentage': 9.5}","{'amount': 2022, 'percentage': 12.3}",שנה,2
70-79,"{'amount': 2028, 'percentage': 9.3}","{'amount': 2796, 'percentage': 12.8}",מתחילת קורונה,1
80-89,"{'amount': 490, 'percentage': 9.9}","{'amount': 489, 'percentage': 9.9}",3 חודשים,4
80-89,"{'amount': 1619, 'percentage': 9.9}","{'amount': 1541, 'percentage': 9.4}",שנה,2
80-89,"{'amount': 508, 'percentage': 9.8}","{'amount': 518, 'percentage': 10}",6 חודשים,3
80-89,"{'amount': 168, 'percentage': 8.4}","{'amount': 139, 'percentage': 7}",חודש אחרון,5
80-89,"{'amount': 2116, 'percentage': 9.7}","{'amount': 2064, 'percentage': 9.5}",מתחילת קורונה,1
90+,"{'amount': 1002, 'percentage': 4.6}","{'amount': 641, 'percentage': 2.9}",מתחילת קורונה,1
90+,"{'amount': 73, 'percentage': 3.7}","{'amount': 41, 'percentage': 2.1}",חודש אחרון,5
90+,"{'amount': 235, 'percentage': 4.8}","{'amount': 122, 'percentage': 2.5}",3 חודשים,4
90+,"{'amount': 248, 'percentage': 4.8}","{'amount': 126, 'percentage': 2.4}",6 חודשים,3
90+,"{'amount': 746, 'percentage': 4.6}","{'amount': 480, 'percentage': 2.9}",שנה,2
