age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,240624,126174,1538337,15.6,8.2
20-29,733649,317148,1300361,56.4,24.4
30-39,765377,381614,1197026,63.9,31.9
40-49,799125,573151,1098556,72.7,52.2
50-59,673409,540252,849966,79.2,63.6
60-69,616900,551735,741639,83.2,74.4
70-79,456308,424600,490784,93,86.5
80-89,203412,187985,225538,90.2,83.3
90+,47803,43303,51496,92.8,84.1
