dayDate,ageGroup,isolated,isolatedNormalized,avgIsolatedAmount7Days
2020-03-10T00:00:00.000Z,12-15,,,59
2020-03-10T00:00:00.000Z,16-19,,,152
2020-03-11T00:00:00.000Z,0-4,,,23
2020-03-11T00:00:00.000Z,5-11,,,80
2020-03-11T00:00:00.000Z,12-15,,,98
2020-03-11T00:00:00.000Z,16-19,,,153
2020-03-12T00:00:00.000Z,0-4,,,29
2020-03-12T00:00:00.000Z,5-11,,,125
2020-03-12T00:00:00.000Z,12-15,,,138
2020-03-12T00:00:00.000Z,16-19,,,188
2020-03-13T00:00:00.000Z,0-4,,,32
2020-03-13T00:00:00.000Z,5-11,,,145
2020-03-13T00:00:00.000Z,12-15,,,166
2020-03-13T00:00:00.000Z,16-19,,,229
2020-03-14T00:00:00.000Z,0-4,,,35
2020-03-14T00:00:00.000Z,5-11,,,160
2020-03-14T00:00:00.000Z,12-15,,,180
2020-03-14T00:00:00.000Z,16-19,,,247
2020-03-15T00:00:00.000Z,0-4,,,43
2020-03-15T00:00:00.000Z,5-11,,,213
2020-03-15T00:00:00.000Z,12-15,,,258
2020-03-15T00:00:00.000Z,16-19,,,335
2020-03-16T00:00:00.000Z,0-4,,,51
2020-03-16T00:00:00.000Z,5-11,,,254
2020-03-16T00:00:00.000Z,12-15,,,287
2020-03-16T00:00:00.000Z,16-19,,,348
2020-03-17T00:00:00.000Z,0-4,,,48
2020-03-17T00:00:00.000Z,5-11,,,288
2020-03-17T00:00:00.000Z,12-15,,,296
2020-03-17T00:00:00.000Z,16-19,,,380
2020-03-18T00:00:00.000Z,0-4,,,59
2020-03-18T00:00:00.000Z,5-11,,,295
2020-03-18T00:00:00.000Z,12-15,,,282
2020-03-18T00:00:00.000Z,16-19,,,367
2020-03-19T00:00:00.000Z,0-4,,,65
2020-03-19T00:00:00.000Z,5-11,,,292
2020-03-19T00:00:00.000Z,12-15,,,264
2020-03-19T00:00:00.000Z,16-19,,,344
2020-03-20T00:00:00.000Z,0-4,,,70
2020-03-20T00:00:00.000Z,5-11,,,307
2020-03-20T00:00:00.000Z,12-15,,,287
2020-03-20T00:00:00.000Z,16-19,,,370
2020-03-21T00:00:00.000Z,0-4,,,74
2020-03-21T00:00:00.000Z,5-11,,,318
2020-03-21T00:00:00.000Z,12-15,,,293
2020-03-21T00:00:00.000Z,16-19,,,373
2020-03-22T00:00:00.000Z,0-4,,,74
2020-03-22T00:00:00.000Z,5-11,,,304
2020-03-22T00:00:00.000Z,12-15,,,242
2020-03-22T00:00:00.000Z,16-19,,,318
2020-03-23T00:00:00.000Z,0-4,,,74
2020-03-23T00:00:00.000Z,5-11,,,278
2020-03-23T00:00:00.000Z,12-15,,,222
2020-03-23T00:00:00.000Z,16-19,,,314
2020-03-24T00:00:00.000Z,0-4,,,73
2020-03-24T00:00:00.000Z,5-11,,,246
2020-03-24T00:00:00.000Z,12-15,,,203
2020-03-24T00:00:00.000Z,16-19,,,261
2020-03-25T00:00:00.000Z,0-4,,,62
2020-03-25T00:00:00.000Z,5-11,,,217
2020-03-25T00:00:00.000Z,12-15,,,181
2020-03-25T00:00:00.000Z,16-19,,,240
2020-03-26T00:00:00.000Z,0-4,,,57
2020-03-26T00:00:00.000Z,5-11,,,194
2020-03-26T00:00:00.000Z,12-15,,,167
2020-03-26T00:00:00.000Z,16-19,,,225
2020-03-27T00:00:00.000Z,0-4,,,53
2020-03-27T00:00:00.000Z,5-11,,,161
2020-03-27T00:00:00.000Z,12-15,,,115
2020-03-27T00:00:00.000Z,16-19,,,156
2020-03-28T00:00:00.000Z,0-4,,,47
2020-03-28T00:00:00.000Z,5-11,,,137
2020-03-28T00:00:00.000Z,12-15,,,93
2020-03-28T00:00:00.000Z,16-19,,,130
2020-03-29T00:00:00.000Z,0-4,,,42
2020-03-29T00:00:00.000Z,5-11,,,101
2020-03-29T00:00:00.000Z,12-15,,,65
2020-03-29T00:00:00.000Z,16-19,,,98
2020-03-30T00:00:00.000Z,0-4,,,36
2020-03-30T00:00:00.000Z,5-11,,,84
