period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
3_Month,0-9,1142115,445000,38.96
All,0-9,1667812,680211,40.78
1_Month,0-9,285189,122388,42.91
1_Year,0-9,1500490,581035,38.72
6_Month,0-9,1333863,514375,38.56
1_Month,10-19,253886,111339,43.85
3_Month,10-19,1043002,484210,46.42
6_Month,10-19,1207955,533039,44.13
1_Year,10-19,1376783,586059,42.57
All,10-19,1577604,724940,45.95
1_Year,20-29,1170307,383106,32.74
6_Month,20-29,991778,341284,34.41
3_Month,20-29,800838,313495,39.15
1_Month,20-29,223785,63020,28.16
All,20-29,1371371,502193,36.62
3_Month,30-39,782460,334549,42.76
All,30-39,1264754,489459,38.7
1_Year,30-39,1101361,405177,36.79
6_Month,30-39,948506,364684,38.45
1_Month,30-39,240427,82840,34.46
All,40-49,1120537,432644,38.61
1_Year,40-49,978828,359715,36.75
6_Month,40-49,852860,325864,38.21
3_Month,40-49,719848,305296,42.41
1_Month,40-49,234923,77478,32.98
1_Month,50-59,179164,49600,27.68
3_Month,50-59,522994,196332,37.54
All,50-59,851407,283956,33.35
1_Year,50-59,732595,227239,31.02
6_Month,50-59,633038,205990,32.54
1_Month,60-69,150131,32436,21.61
6_Month,60-69,507958,134276,26.43
1_Year,60-69,589805,148426,25.17
All,60-69,684956,186331,27.2
3_Month,60-69,418121,128769,30.8
6_Month,70-79,308605,68376,22.16
1_Year,70-79,363509,76399,21.02
All,70-79,425111,96372,22.67
1_Month,70-79,96905,17102,17.65
3_Month,70-79,252125,65694,26.06
All,80-89,183045,41503,22.67
1_Month,80-89,42972,6943,16.16
3_Month,80-89,98639,25649,26
6_Month,80-89,118868,27001,22.72
1_Year,80-89,145306,30838,21.22
1_Month,90+,11530,1775,15.39
6_Month,90+,28918,7177,24.82
1_Year,90+,35921,8206,22.84
All,90+,48221,11775,24.42
3_Month,90+,24390,6808,27.91
