name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,activeSickTo1000
"בסמ""ה",8.5,אדום,102.4,0.1012298959318,0.6666666666665999,132,אדום,2021-09-14T00:00:00.000Z,59.58,49.77,128.8
קיסריה,5.3,כתום,48.2,0.0311778290993,0.125,39,כתום,2021-09-14T00:00:00.000Z,81.51,78.39,69.6
שערי תקווה,6.3,אדום,54.6,0.0467675378266,-0.2666666666667,51,אדום,2021-09-14T00:00:00.000Z,67.38,64.16,84.3
אבו גוש,5.1,צהוב,30.5,0.0244150559511,0.3333333333333,37,צהוב,2021-09-14T00:00:00.000Z,מעל 90%,84.05,47.1
אום בטין,6.8,צהוב,24.5,0.2075471698113,0.1000000000000001, קטן מ-15 ,צהוב,2021-09-14T00:00:00.000Z,14.77,11.29,
כפר קרע,7.1,כתום,60.0,0.0787878787878,0.9661016949151999,147,כתום,2021-09-14T00:00:00.000Z,63.23,55.35,76.0
רמת ישי,5.4,צהוב,27.9,0.0214953271028,-0.12,38,צהוב,2021-09-14T00:00:00.000Z,76.36,74.19,48.1
יד בנימין,7.6,אדום,134.1,0.0969899665551,-0.0952380952381,78,אדום,2021-09-14T00:00:00.000Z,50.81,46.46,183.6
יבנה,6.2,אדום,63.7,0.0459572023553,-0.2610722610723,461,אדום,2021-09-14T00:00:00.000Z,65.59,61.72,92.6
פרדסיה,5.4,אדום,43.6,0.0246913580246,-0.4423076923077,45,אדום,2021-09-14T00:00:00.000Z,82.56,79.96,67.7
להבים,5.2,כתום,27.1,0.0205714285714,-0.3793103448276,28,כתום,2021-09-14T00:00:00.000Z,83.07,80.65,42.2
הר אדר,4.2,כתום,19.5,0.012084592145,-0.5833333333334, קטן מ-15 ,כתום,2021-09-14T00:00:00.000Z,84.35,80.86,
אכסאל,7.3,כתום,69.8,0.1274038461538,1.7631578947368,120,כתום,2021-09-14T00:00:00.000Z,62.27,54.58,79.8
קרית מוצקין,5.6,כתום,51.3,0.043270993766,-0.08627450980399998,322,כתום,2021-09-14T00:00:00.000Z,76.98,73.68,70.8
אור עקיבא,7.2,אדום,91.7,0.0745417515274,0,273,אדום,2021-09-14T00:00:00.000Z,68.70,63.95,140.6
אבן יהודה,6,כתום,49.2,0.0289915966386,-0.1976744186047,111,כתום,2021-09-14T00:00:00.000Z,77.62,74.49,79.1
ע'ג'ר,8.2,כתום,44.5,0.0923076923076,-0.4285714285715,20,כתום,2021-09-14T00:00:00.000Z,52.30,47.88,74.2
סייד (שבט),2,ירוק,0.0,0,0, 0 ,ירוק,2021-09-14T00:00:00.000Z,13.51,10.36,0.0
ג'לג'וליה,5,אדום,43.7,0.0943396226415,-0.1176470588236001,62,אדום,2021-09-14T00:00:00.000Z,56.24,47.09,60.2
סאג'ור,6.6,אדום,48.2,0.0745762711864,-0.04545454545460004,30,אדום,2021-09-14T00:00:00.000Z,69.52,61.24,68.8
חריש,7.8,אדום,164.2,0.0889795918367,0.3036437246963,419,אדום,2021-09-14T00:00:00.000Z,46.78,43.43,213.7
"בני עי""ש",8.3,אדום,113.0,0.0664983164983,0.322033898305,106,אדום,2021-09-14T00:00:00.000Z,68.11,64.53,153.6
טבריה,6.5,אדום,81.0,0.0846846846846,-0.02631578947369995,583,אדום,2021-09-14T00:00:00.000Z,59.32,54.69,127.6
הרצליה,5.5,כתום,44.5,0.0389226759339,-0.1267326732674,631,כתום,2021-09-14T00:00:00.000Z,76.39,73.75,63.6
גבעת שמואל,6.8,כתום,68.7,0.0443814919735,0.005376344085999962,261,כתום,2021-09-14T00:00:00.000Z,69.88,66.74,95.8
כפר תבור,5.5,כתום,36.4,0.0414634146341,-0.5151515151516,23,כתום,2021-09-14T00:00:00.000Z,77.51,74.07,52.3
כפר ורדים,3.2,צהוב,9.1,0.0116009280742,-0.5, קטן מ-15 ,צהוב,2021-09-14T00:00:00.000Z,82.42,79.80,
בת חפר,6,אדום,32.2,0.0311958405545,-0.4848484848485,35,אדום,2021-09-14T00:00:00.000Z,83.61,80.69,66.3
עומר,6.3,כתום,51.5,0.0327181208053,-0.1702127659575,64,כתום,2021-09-14T00:00:00.000Z,מעל 90%,מעל 90%,84.6
נתיבות,7.8,אדום,130.3,0.1192660550458,-0.2750352609309,803,אדום,2021-09-14T00:00:00.000Z,48.79,42.91,203.5
לוד,7,אדום,80.2,0.0847501287995,0.1846435100548001,927,אדום,2021-09-14T00:00:00.000Z,58.99,52.61,114.7
גבעתיים,5.3,צהוב,28.7,0.0267654619688,-0.08854166666670005,252,צהוב,2021-09-14T00:00:00.000Z,71.80,69.77,41.4
סולם,4.9,צהוב,18.9,0.0387596899224,0, קטן מ-15 ,צהוב,2021-09-14T00:00:00.000Z,73.04,64.77,
חורה,5,אדום,13.4,0.0839895013123,-0.4561403508772,56,אדום,2021-09-14T00:00:00.000Z,21.82,17.90,24.3
כסרא-סמיע,3.3,צהוב,6.7,0.0221402214022,-0.375, קטן מ-15 ,צהוב,2021-09-14T00:00:00.000Z,65.43,55.55,
מגדל העמק,6.9,אדום,95.4,0.0729905437352,-0.1546391752578,343,אדום,2021-09-14T00:00:00.000Z,68.62,64.15,133.0
מסעודין אל-עזאזמה,5.8,ירוק,9.5,0.1428571428571,0.7,22,ירוק,2021-09-14T00:00:00.000Z,6.41,5.15,12.3
סח'נין,6.8,אדום,62.7,0.0734870317002,0.2469135802469,270,אדום,2021-09-14T00:00:00.000Z,66.09,56.22,83.8
מיתר,5.8,כתום,54.2,0.0412213740458,0.03846153846149991,66,כתום,2021-09-14T00:00:00.000Z,80.37,77.96,66.2
אבו תלול,4.5,ירוק,18.8,0.103448275862,0, קטן מ-15 ,ירוק,2021-09-14T00:00:00.000Z,11.81,10.27,
פתח תקווה,6.5,כתום,69.2,0.0539261473317,-0.06219578150359995,2561,כתום,2021-09-14T00:00:00.000Z,70.85,66.58,102.3
עתלית,5.3,כתום,52.5,0.0429654591406,0.0625,71,כתום,2021-09-14T00:00:00.000Z,62.90,60.25,73.1
אזור,6.6,כתום,65.8,0.0547770700636,0.2794117647058001,116,כתום,2021-09-14T00:00:00.000Z,63.51,59.84,87.7
ערערה-בנגב,8.6,צהוב,55.4,0.2367256637168,4.25,118,צהוב,2021-09-14T00:00:00.000Z,29.42,24.17,62.3
שילה,7.4,אדום,132.8,0.0617647058823,0.1730769230769,81,אדום,2021-09-14T00:00:00.000Z,43.34,39.90,176.4
פוריידיס,5.7,אדום,33.5,0.0581395348837,-0.4827586206897,72,אדום,2021-09-14T00:00:00.000Z,64.36,56.19,53.6
שמשית,5.8,צהוב,23.8,0.021978021978,0, קטן מ-15 ,צהוב,2021-09-14T00:00:00.000Z,86.93,84.67,
ירכא,8.3,כתום,84.1,0.1007591442374,1.3934426229508,175,כתום,2021-09-14T00:00:00.000Z,59.40,49.02,100.8
קצר א-סר,4.3,ירוק,11.6,0.1304347826086,0, קטן מ-15 ,ירוק,2021-09-14T00:00:00.000Z,11.38,10.29,
שבלי - אום אל-גנם,5.3,כתום,13.0,0.0344827586206,-0.375,18,כתום,2021-09-14T00:00:00.000Z,68.12,59.85,29.2
עין קנייא,4.7,ירוק,37.3,0.2285714285714,0, קטן מ-15 ,ירוק,2021-09-14T00:00:00.000Z,75.55,65.00,
אלקנה,8,אדום,103.6,0.0578871201157,-0.06818181818189994,67,אדום,2021-09-14T00:00:00.000Z,71.31,67.39,169.2
ניצן,3.8,אדום,47.3,0.0481481481481,-0.5384615384616,17,אדום,2021-09-14T00:00:00.000Z,63.76,57.97,67.0
צופים,7,צהוב,81.8,0.0566037735849,1,25,צהוב,2021-09-14T00:00:00.000Z,61.87,58.51,102.3
