name,coronaOccupancy,normalOccupancy,isolatedTeam
שיבא,,,51
אל מקאסד,,,0
שמיר,,76.43097686767578,22
וולפסון,,78.62371826171875,31
זיו צפת,,86.45532989501953,21
הלל יפה,,98.25242614746094,21
נהריה,,86.16438293457031,10
ברזילי,,,0
פוריה,,75.49295806884766,15
סוראסקי,,,0
בני ציון,,81.98614501953125,14
רבין ק. בילינסון,,95.4708023071289,47
סורוקה,,79.62489318847656,34
מאיר,,84.06169891357422,33
קפלן,,84.80565643310547,38
"רמב""ם",,84.32376861572266,43
הכרמל,,86.50306701660156,6
רבין ק. השרון,,70.12448120117188,14
הדסה עין כרם,,87.30158996582031,40
הסקוטי,,,0
שערי צדק,,102.4301300048828,26
לניאדו,,125.3481903076172,22
אוגוסטה ויקטוריה,,,0
מעייני הישועה,,,0
אסותא אשדוד,,,9
שניידר,,,0
המשפחה הקדושה,,,0
יוספטל,,60,4
סנט וינסנט,,,0
סנט ג'וזף,,,0
המרכזי בעמק,,68.07817840576172,20
