age_group,vaccinated_first_dose,vaccinated_second_dose,age_group_population,percent_vaccinated_first_dose,persent_vaccinated_second_dose
10-19,318630,262939,1538337,20.7,17.1
20-29,939219,793180,1300361,72.2,61
30-39,921431,809007,1197026,77,67.6
40-49,899953,816292,1098556,81.9,74.3
50-59,738091,680494,849966,86.8,80.1
60-69,656020,619459,741639,88.5,83.5
70-79,476363,457302,490784,97.1,93.2
80-89,212793,203325,225538,94.3,90.2
90+,49952,46909,51496,97,91.1
