period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,9354,1989,21.26
3_Month,0-9,75171,32422,43.13
6_Month,0-9,284372,80036,28.14
1_Year,0-9,1326986,561755,42.33
All,0-9,1711680,765986,44.75
1_Month,10-19,12249,2608,21.29
3_Month,10-19,74152,27299,36.81
6_Month,10-19,299339,74654,24.94
1_Year,10-19,1239755,591588,47.72
All,10-19,1628925,807184,49.55
1_Month,20-29,18354,2438,13.28
3_Month,20-29,102036,38879,38.1
6_Month,20-29,397447,90230,22.7
1_Year,20-29,1111876,431213,38.78
All,20-29,1470950,602259,40.94
1_Month,30-39,18603,3259,17.52
3_Month,30-39,114302,48275,42.23
6_Month,30-39,400659,113368,28.3
1_Year,30-39,1068367,475183,44.48
All,30-39,1370724,610417,44.53
1_Month,40-49,19261,3673,19.07
3_Month,40-49,111228,47875,43.04
6_Month,40-49,383695,112574,29.34
1_Year,40-49,967109,442551,45.76
All,40-49,1217722,554110,45.5
1_Month,50-59,19414,3778,19.46
3_Month,50-59,103003,45744,44.41
6_Month,50-59,341956,102566,29.99
1_Year,50-59,760291,316497,41.63
All,50-59,952962,394085,41.35
1_Month,60-69,22080,4507,20.41
3_Month,60-69,111716,50616,45.31
6_Month,60-69,320544,106402,33.19
1_Year,60-69,636338,247417,38.88
All,60-69,786407,298533,37.96
1_Month,70-79,22519,4795,21.29
3_Month,70-79,102486,45903,44.79
6_Month,70-79,238958,90124,37.72
1_Year,70-79,417203,163147,39.1
All,70-79,510894,190665,37.32
1_Month,80-89,15161,1996,13.17
3_Month,80-89,56525,21197,37.5
6_Month,80-89,98945,37675,38.08
1_Year,80-89,162245,65550,40.4
All,80-89,217495,79822,36.7
1_Month,90+,5015,494,9.85
3_Month,90+,16636,5430,32.64
6_Month,90+,24859,9162,36.86
1_Year,90+,38548,16252,42.16
All,90+,56601,20741,36.64
