name,score,governmentColor,sickTo10000,positiveTests,growthLastWeek,activeSick,color,date,firstDose,secondDose,thirdDose,activeSickTo1000
ברכה,6.8,ירוק,79.6,0.0361247947454,-0.3030303030304,39,כתום,2021-12-22T00:00:00.000Z,58.83,44.60,29.12,135.0
שערי תקווה,3.9,ירוק,11.6,0.0151843817787,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,71.91,67.09,51.53,
נווה דניאל,3,ירוק,8.6,0.0112359550561,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,81.42,72.50,52.63,
נוקדים,3.7,ירוק,11.6,0.0057251908396,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,48.30,41.91,31.08,
עלי זהב,4.3,ירוק,15.7,0.0160427807486,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,67.51,53.02,36.73,
גבעת זאב,6.6,צהוב,24.0,0.0358814352574,0.5333333333332999,60,כתום,2021-12-22T00:00:00.000Z,58.04,49.32,34.23,31.2
אלפי מנשה,3.3,ירוק,2.5,0.0044150110375,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,81.36,76.89,60.34,
אורנית,5.7,ירוק,25.5,0.0220729366602,1.3,28,צהוב,2021-12-22T00:00:00.000Z,85.53,78.89,62.34,31.1
גבע בנימין,2.8,ירוק,8.7,0.0174216027874,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,51.75,46.15,29.76,
עלי,4.2,ירוק,11.1,0.0202429149797,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,62.59,52.80,37.21,
פדואל,4.3,ירוק,4.9,0.0063694267515,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,79.61,66.73,45.21,
הר אדר,2.8,ירוק,7.3,0.0097402597402,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,מעל 90%,84.21,68.07,
חשמונאים,4.4,ירוק,33.7,0.025,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,מעל 90%,מעל 90%,77.7,
עץ אפרים,3.3,ירוק,8.1,0.015748031496,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,66.60,58.02,40.32,
כוכב יעקב,4,ירוק,6.7,0.0205479452054,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,37.53,29.54,17.28,
ביתר עילית,4.3,אדום,9.6,0.0412587412587,-0.06349206349210001,84,ירוק,2021-12-22T00:00:00.000Z,32.56,22.92,11.05,13.7
נעלה,2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,65.54,59.83,45.37,0.0
טלמון,3.7,ירוק,2.1,0.0036496350364,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,69.48,58.43,39,
צופים,4.7,ירוק,4.1,0.007874015748,0, קטן מ-15 ,צהוב,2021-12-22T00:00:00.000Z,67.72,61.82,44.76,
אבני חפץ,2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,59.55,50.89,35.5,0.0
רבבה,3.7,ירוק,14.3,0.037037037037,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,68.36,57.58,36.43,
כפר האורנים,2.2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,82.76,78.20,59.74,0.0
מודיעין עילית,3.7,צהוב,6.0,0.0388109000825,0.175,67,ירוק,2021-12-22T00:00:00.000Z,37.67,23.81,11.85,8.5
גני מודיעין,3.4,ירוק,18.5,0.047619047619,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,35.56,30.17,17.67,
חיפה,4.3,ירוק,6.4,0.0097499173735,1.4459459459459,231,ירוק,2021-12-22T00:00:00.000Z,76.78,72.03,57.07,8.1
בוקעאתא,2.5,צהוב,3.0,0.0056338028169,-0.1666666666667001, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,81.35,65.78,42.76,
חספין,2.2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,49.73,42.08,30.86,0.0
קצרין,3.2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,70.29,66.35,51.01,0.0
מג'דל שמס,1.8,צהוב,7.1,0.012987012987,-0.4117647058824, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,73.27,61.26,38.6,
מסעדה,3.3,ירוק,5.3,0.0217391304347,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,76.22,65.81,39.01,
ע'ג'ר,2,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,55.05,51.37,28.03,0.0
עין קנייא,3.4,ירוק,0.0,0,0, 0 ,ירוק,2021-12-22T00:00:00.000Z,81.75,69.90,49.09,0.0
תל אביב - יפו,5.7,ירוק,8.4,0.0112525364323,1.5731707317073,526,צהוב,2021-12-22T00:00:00.000Z,73.30,68.80,54.42,10.5
באקה אל-גרביה,1.9,ירוק,1.0,0.0017678255745,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,64.67,57.45,31.5,
בני ברק,3.1,צהוב,3.5,0.0143827407111,-0.298076923077,117,ירוק,2021-12-22T00:00:00.000Z,42.65,31.88,18.42,5.6
בת ים,3,ירוק,3.9,0.0074517825832,1,66,ירוק,2021-12-22T00:00:00.000Z,74.48,69.94,52.66,5.2
גבעתיים,5.2,ירוק,6.7,0.0113790300731,2.1538461538461,49,צהוב,2021-12-22T00:00:00.000Z,76.99,73.08,61.03,8.0
הרצליה,5.1,ירוק,6.0,0.0075187969924,0.5384615384614999,78,צהוב,2021-12-22T00:00:00.000Z,82.73,78.02,63.5,7.9
חדרה,5.6,ירוק,6.8,0.012012012012,2.35,80,צהוב,2021-12-22T00:00:00.000Z,70.51,66.08,49.26,8.1
חולון,6,ירוק,9.5,0.016226118817,3.9210526315789,207,כתום,2021-12-22T00:00:00.000Z,73.09,68.68,53.12,10.5
טבריה,1.3,אדום,2.0,0.0038910505836,-0.7058823529411999,25,ירוק,2021-12-22T00:00:00.000Z,62.46,57.18,40.63,5.5
קרית אתא,4.4,ירוק,4.0,0.0079722703639,1.4,28,ירוק,2021-12-22T00:00:00.000Z,74.86,69.90,53.9,4.7
כפר סבא,4.2,ירוק,3.0,0.0047947258016,1.0666666666666,38,ירוק,2021-12-22T00:00:00.000Z,81.10,76.34,62.32,3.7
לוד,4.6,ירוק,6.1,0.0097402597402,0.53125,75,צהוב,2021-12-22T00:00:00.000Z,63.33,56.31,37.04,9.3
אשקלון,3.3,צהוב,3.2,0.0056118091984,0.06818181818179991,71,ירוק,2021-12-22T00:00:00.000Z,70.16,65.10,47.62,4.8
נס ציונה,3.9,ירוק,5.9,0.0101075970003,2,34,ירוק,2021-12-22T00:00:00.000Z,75.15,70.26,54.77,6.7
נצרת,3.4,צהוב,4.2,0.0084409136047,-0.1538461538462,46,ירוק,2021-12-22T00:00:00.000Z,66.69,57.93,33.34,5.9
נתניה,4.7,ירוק,3.9,0.0058862001308,0.9333333333333,113,צהוב,2021-12-22T00:00:00.000Z,69.70,64.97,47.59,5.1
סח'נין,7.2,ירוק,17.4,0.0344403444034,1.4347826086956,69,כתום,2021-12-22T00:00:00.000Z,72.01,60.20,35.13,21.4
עכו,2.9,ירוק,2.2,0.0042569659442,-0.08333333333339998,18,ירוק,2021-12-22T00:00:00.000Z,74.57,68.24,47.81,3.6
עפולה,2.8,ירוק,4.6,0.0091549295774,1.6,31,ירוק,2021-12-22T00:00:00.000Z,68.99,64.07,47.58,5.5
פרדס חנה-כרכור,3.9,ירוק,3.2,0.0046573519627,0.3999999999999999,21,ירוק,2021-12-22T00:00:00.000Z,68.89,64.41,48.02,4.8
פתח תקווה,5,ירוק,7.1,0.0101590618831,0.6857142857142,243,צהוב,2021-12-22T00:00:00.000Z,75.89,69.81,53.3,9.7
צפת,2.3,ירוק,1.6,0.004424778761,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,44.39,39.02,25.61,
קרית מוצקין,2.9,ירוק,3.3,0.006168080185,0.5,17,ירוק,2021-12-22T00:00:00.000Z,80.89,76.69,61.94,3.7
ראשון לציון,7.1,ירוק,15.5,0.019479248238,3.125,461,כתום,2021-12-22T00:00:00.000Z,76.14,72.17,56.97,18.0
רחובות,3.4,ירוק,5.3,0.007874015748,0.2419354838709,99,ירוק,2021-12-22T00:00:00.000Z,71.36,65.89,50.28,6.8
רמלה,4,ירוק,5.2,0.0089146422999,-0.1489361702128,61,ירוק,2021-12-22T00:00:00.000Z,66.97,59.61,39.07,7.9
רמת גן,5.1,ירוק,6.8,0.0070090559483,2.054054054054,137,צהוב,2021-12-22T00:00:00.000Z,73.69,69.89,57.13,8.2
רעננה,4.8,ירוק,6.8,0.0083293288483,1.1666666666666,67,צהוב,2021-12-22T00:00:00.000Z,86.90,81.91,66.18,8.7
שפרעם,4.4,ירוק,4.0,0.0113712374581,0.1333333333333,25,ירוק,2021-12-22T00:00:00.000Z,69.58,61.45,36.7,5.9
טמרה,3.1,ירוק,2.6,0.0038809831824,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,68.90,56.73,32.2,
באר שבע,4,צהוב,6.1,0.0080104321907,0.04918032786879989,205,ירוק,2021-12-22T00:00:00.000Z,75.40,70.06,52.68,9.7
נהריה,2.8,ירוק,2.0,0.0032688640697,0.2,18,ירוק,2021-12-22T00:00:00.000Z,80.55,76.37,59.07,3.0
בית שאן,2.6,ירוק,1.6,0.005242463958,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,72.85,65.71,45.67,
זכרון יעקב,3.7,ירוק,5.1,0.0078947368421,0.2, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,78.45,73.38,58.47,
יהוד,3.6,ירוק,5.7,0.0078886310904,0.7,21,ירוק,2021-12-22T00:00:00.000Z,79.48,74.03,58.51,7.0
קרית ביאליק,3,ירוק,3.8,0.0070267896354,0.6000000000000001,21,ירוק,2021-12-22T00:00:00.000Z,79.20,74.86,59.69,5.0
קרית ים,2.8,ירוק,2.8,0.0044444444444,0.1000000000000001, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,76.93,72.73,55.94,
הוד השרון,3.9,ירוק,5.1,0.0082846003898,2.3,37,ירוק,2021-12-22T00:00:00.000Z,80.06,75.36,61.07,5.7
בנימינה-גבעת עדה,2.8,ירוק,3.1,0.005230125523,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,76.12,69.88,54.2,
ג'דיידה-מכר,4.4,ירוק,5.2,0.0171339563862,0.1000000000000001,18,ירוק,2021-12-22T00:00:00.000Z,67.01,58.20,31.79,8.4
זמר,2.9,ירוק,2.8,0.0032573289902,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,65.29,57.21,32.52,
שגב-שלום,3.1,ירוק,2.6,0.0112781954887,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,30.18,25.53,9.3,
נופית,2.4,ירוק,3.8,0.0057803468208,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,89.93,85.11,71.44,
גן נר,3,ירוק,3.7,0.0064935064935,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,85.00,79.59,63.78,
להבים,3.6,ירוק,7.5,0.0096525096525,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,89.55,84.25,70.86,
מיתר,3.6,צהוב,7.0,0.0084848484848,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,88.34,81.41,65.16,
כפר ורדים,4,ירוק,7.3,0.009900990099,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,86.52,82.49,68.1,
חריש,3.9,ירוק,6.6,0.0102611940298,0.3,18,ירוק,2021-12-22T00:00:00.000Z,52.95,47.99,33.01,9.2
סלמה,7,ירוק,47.1,0.0285714285714,-0.6363636363637,31,כתום,2021-12-22T00:00:00.000Z,65.55,56.08,31.98,91.2
קציר,4,ירוק,10.1,0.016304347826,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,66.15,63.04,49.27,
כוכב יאיר,3,ירוק,5.7,0.0075987841945,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,מעל 90%,מעל 90%,78.19,
מודיעין-מכבים-רעות,4.2,ירוק,5.3,0.0074272133095,1.3809523809523,62,ירוק,2021-12-22T00:00:00.000Z,83.18,77.33,60.76,6.5
ערערה-בנגב,4.3,ירוק,0.5,0.0026315789473,-0.4444444444445,18,ירוק,2021-12-22T00:00:00.000Z,32.71,26.98,9.61,9.5
הושעיה,3.1,ירוק,0.0,0,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,85.93,77.36,58.35,
סייד (שבט),4.2,אפור,4.6,0.0333333333333,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,16.56,13.00,2.91,
הוואשלה (שבט),4.3,אפור,8.5,0.03125,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,12.30,10.47,3.23,
קיסריה,3.9,ירוק,3.6,0.0033840947546,0, קטן מ-15 ,ירוק,2021-12-22T00:00:00.000Z,86.21,82.01,66.7,
