actualSick,city,sickCount,status,testLast7Days,verifiedLast7Days
673,ביתר עילית,999,"נדרשים הסברה, בדיקות ואכיפת בידוד",1554,405
66,קלנסווה,80,"נדרשים הסברה, בדיקות ואכיפת בידוד",317,52
16,עמנואל,31,"נדרשים הסברה, בדיקות ואכיפת בידוד",60, קטן מ-15 
3156,ירושלים,7295,נדרשת הגדלה של מספר הבדיקות,17959,1381
1778,תל אביב - יפו,2643,נדרשת הגדלה של מספר הבדיקות,10664,643
1641,בני ברק,4823,נדרשת הגדלה של מספר הבדיקות,5254,700
1038,אשדוד,1458,נדרשת הגדלה של מספר הבדיקות,5690,323
452,בית שמש,1022,נדרשת הגדלה של מספר הבדיקות,1876,205
414,לוד,535,נדרשת הגדלה של מספר הבדיקות,2322,234
258,קרית מלאכי,321,נדרשת הגדלה של מספר הבדיקות,1886,149
215,אלעד,653,נדרשת הגדלה של מספר הבדיקות,727,84
103,כסיפה,117,נדרשת הגדלה של מספר הבדיקות,446,63
90,גן יבנה,121,נדרשת הגדלה של מספר הבדיקות,603,64
64,גבעת זאב,123,נדרשת הגדלה של מספר הבדיקות,425,41
56,יבנאל,74,נדרשת הגדלה של מספר הבדיקות,155,31
47,קרית שמונה,63,נדרשת הגדלה של מספר הבדיקות,697,36
31,"כפר חב""ד",75,נדרשת הגדלה של מספר הבדיקות,232,25
29,כוכב יעקב,89,נדרשת הגדלה של מספר הבדיקות,79, קטן מ-15 
29,טירת כרמל,47,נדרשת הגדלה של מספר הבדיקות,389,21
15,אכסאל,24,נדרשת הגדלה של מספר הבדיקות,113, קטן מ-15 
 קטן מ-15 ,עתלית,17,נדרשת הגדלה של מספר הבדיקות,86, קטן מ-15 
 קטן מ-15 ,נוף הגליל,48,נדרשת הגדלה של מספר הבדיקות,337, קטן מ-15 
 קטן מ-15 ,כוכב השחר,23,נדרשת הגדלה של מספר הבדיקות,47, קטן מ-15 
 קטן מ-15 ,חשמונאים, קטן מ-15 ,נדרשת הגדלה של מספר הבדיקות,96, קטן מ-15 
592,פתח תקווה,1003,"נדרשת הידברות, הסברה ואכיפה",5368,260
502,בת ים,787,"נדרשת הידברות, הסברה ואכיפה",3209,114
443,ראשון לציון,762,"נדרשת הידברות, הסברה ואכיפה",4541,211
403,חולון,672,"נדרשת הידברות, הסברה ואכיפה",3778,175
366,נתניה,634,"נדרשת הידברות, הסברה ואכיפה",4205,166
352,מודיעין עילית,817,"נדרשת הידברות, הסברה ואכיפה",1733,164
333,באר שבע,627,"נדרשת הידברות, הסברה ואכיפה",3233,115
319,רמת גן,547,"נדרשת הידברות, הסברה ואכיפה",3435,157
298,רמלה,398,"נדרשת הידברות, הסברה ואכיפה",1983,119
287,חיפה,540,"נדרשת הידברות, הסברה ואכיפה",4186,152
281,רחובות,452,"נדרשת הידברות, הסברה ואכיפה",3320,131
251,קרית גת,342,"נדרשת הידברות, הסברה ואכיפה",1434,92
236,רהט,403,"נדרשת הידברות, הסברה ואכיפה",777,59
229,רעננה,385,"נדרשת הידברות, הסברה ואכיפה",2087,82
229,טבריה,447,"נדרשת הידברות, הסברה ואכיפה",927,74
218,דימונה,253,"נדרשת הידברות, הסברה ואכיפה",1396,42
210,מודיעין-מכבים-רעות,341,"נדרשת הידברות, הסברה ואכיפה",2361,113
204,הרצליה,349,"נדרשת הידברות, הסברה ואכיפה",2259,97
182,אור יהודה,353,"נדרשת הידברות, הסברה ואכיפה",1062,85
181,אשקלון,476,"נדרשת הידברות, הסברה ואכיפה",3004,124
162,ערערה-בנגב,299,"נדרשת הידברות, הסברה ואכיפה",154, קטן מ-15 
161,באקה אל-גרביה,214,"נדרשת הידברות, הסברה ואכיפה",748,59
148,כפר קאסם,171,"נדרשת הידברות, הסברה ואכיפה",366,37
144,חדרה,224,"נדרשת הידברות, הסברה ואכיפה",2423,62
133,ראש העין,197,"נדרשת הידברות, הסברה ואכיפה",1426,69
132,כפר סבא,216,"נדרשת הידברות, הסברה ואכיפה",1610,50
125,יבנה,186,"נדרשת הידברות, הסברה ואכיפה",1154,65
112,כפר קרע,139,"נדרשת הידברות, הסברה ואכיפה",852,70
110,אילת,148,"נדרשת הידברות, הסברה ואכיפה",756,53
108,גבעתיים,165,"נדרשת הידברות, הסברה ואכיפה",1132,41
106,נהריה,159,"נדרשת הידברות, הסברה ואכיפה",779,44
101,הוד השרון,156,"נדרשת הידברות, הסברה ואכיפה",1360,48
98,קרית אתא,127,"נדרשת הידברות, הסברה ואכיפה",1354,61
94,רמת השרון,141,"נדרשת הידברות, הסברה ואכיפה",1026,49
90,בית שאן,105,"נדרשת הידברות, הסברה ואכיפה",406,22
88,קרית אונו,145,"נדרשת הידברות, הסברה ואכיפה",846,35
86,טייבה,138,"נדרשת הידברות, הסברה ואכיפה",788,48
83,נס ציונה,115,"נדרשת הידברות, הסברה ואכיפה",1062,55
78,אופקים,135,"נדרשת הידברות, הסברה ואכיפה",917,39
78,מעלה אדומים,135,"נדרשת הידברות, הסברה ואכיפה",992,46
76,נתיבות,190,"נדרשת הידברות, הסברה ואכיפה",734,29
70,רכסים,126,"נדרשת הידברות, הסברה ואכיפה",339,31
65,ערד,88,"נדרשת הידברות, הסברה ואכיפה",399,36
64,אום אל-פחם,163,"נדרשת הידברות, הסברה ואכיפה",430,21
62,פרדס חנה-כרכור,89,"נדרשת הידברות, הסברה ואכיפה",824,33
60,באר יעקב,100,"נדרשת הידברות, הסברה ואכיפה",746,38
59,טירה,72,"נדרשת הידברות, הסברה ואכיפה",372, קטן מ-15 
58,נצרת,83,"נדרשת הידברות, הסברה ואכיפה",547,32
58,גדרה,115,"נדרשת הידברות, הסברה ואכיפה",1082,38
57,יהוד,140,"נדרשת הידברות, הסברה ואכיפה",671,30
54,גני תקווה,106,"נדרשת הידברות, הסברה ואכיפה",702,35
51,שוהם,90,"נדרשת הידברות, הסברה ואכיפה",447,21
49,צפת,157,"נדרשת הידברות, הסברה ואכיפה",312,24
49,ערערה,64,"נדרשת הידברות, הסברה ואכיפה",425,32
46,עפולה,114,"נדרשת הידברות, הסברה ואכיפה",854, קטן מ-15 
45,גבעת שמואל,95,"נדרשת הידברות, הסברה ואכיפה",450,28
45,ג'לג'וליה,59,"נדרשת הידברות, הסברה ואכיפה",723,28
41,חורה,248,"נדרשת הידברות, הסברה ואכיפה",134, קטן מ-15 
37,אור עקיבא,46,"נדרשת הידברות, הסברה ואכיפה",467,22
37,עכו,69,"נדרשת הידברות, הסברה ואכיפה",472, קטן מ-15 
36,שדרות,102,"נדרשת הידברות, הסברה ואכיפה",280, קטן מ-15 
35,ג'ת,69,"נדרשת הידברות, הסברה ואכיפה",199, קטן מ-15 
33,נחף,44,"נדרשת הידברות, הסברה ואכיפה",165,15
33,קרית יערים,77,"נדרשת הידברות, הסברה ואכיפה",108,16
31,מזכרת בתיה,52,"נדרשת הידברות, הסברה ואכיפה",296,15
30,קדימה-צורן,48,"נדרשת הידברות, הסברה ואכיפה",391, קטן מ-15 
29,טמרה,53,"נדרשת הידברות, הסברה ואכיפה",521, קטן מ-15 
28,שפרעם,42,"נדרשת הידברות, הסברה ואכיפה",451,16
26,מבשרת ציון,48,"נדרשת הידברות, הסברה ואכיפה",727, קטן מ-15 
25,חריש,38,"נדרשת הידברות, הסברה ואכיפה",308,15
25,ג'סר א-זרקא,70,"נדרשת הידברות, הסברה ואכיפה",291,17
24,אזור,61,"נדרשת הידברות, הסברה ואכיפה",318, קטן מ-15 
24,אריאל,42,"נדרשת הידברות, הסברה ואכיפה",244, קטן מ-15 
23,אלפי מנשה,29,"נדרשת הידברות, הסברה ואכיפה",149, קטן מ-15 
23,קרית מוצקין,47,"נדרשת הידברות, הסברה ואכיפה",747, קטן מ-15 
23,סביון,27,"נדרשת הידברות, הסברה ואכיפה",234, קטן מ-15 
23,יפיע,28,"נדרשת הידברות, הסברה ואכיפה",160, קטן מ-15 
22,תפרח,26,"נדרשת הידברות, הסברה ואכיפה",88, קטן מ-15 
20,כפר יונה,36,"נדרשת הידברות, הסברה ואכיפה",337, קטן מ-15 
19,קרית ביאליק,37,"נדרשת הידברות, הסברה ואכיפה",511, קטן מ-15 
19,קרית ים,46,"נדרשת הידברות, הסברה ואכיפה",747, קטן מ-15 
19,לקיה,35,"נדרשת הידברות, הסברה ואכיפה",93, קטן מ-15 
18,אבן יהודה,52,"נדרשת הידברות, הסברה ואכיפה",408, קטן מ-15 
17,כפר ברא,21,"נדרשת הידברות, הסברה ואכיפה",57, קטן מ-15 
17,תל שבע,22,"נדרשת הידברות, הסברה ואכיפה",87, קטן מ-15 
16,זכרון יעקב,55,"נדרשת הידברות, הסברה ואכיפה",229, קטן מ-15 
16,כרמיאל,71,"נדרשת הידברות, הסברה ואכיפה",311, קטן מ-15 
16,בית אריה,29,"נדרשת הידברות, הסברה ואכיפה",97, קטן מ-15 
15,בית דגן,27,"נדרשת הידברות, הסברה ואכיפה",134, קטן מ-15 
15,מגדל העמק,113,"נדרשת הידברות, הסברה ואכיפה",244, קטן מ-15 
 קטן מ-15 ,מג'ד אל-כרום,34,"נדרשת הידברות, הסברה ואכיפה",124, קטן מ-15 
 קטן מ-15 ,חצור הגלילית,17,"נדרשת הידברות, הסברה ואכיפה",100, קטן מ-15 
 קטן מ-15 ,צור הדסה,20,"נדרשת הידברות, הסברה ואכיפה",189, קטן מ-15 
 קטן מ-15 ,בית ג'ן,15,"נדרשת הידברות, הסברה ואכיפה",208, קטן מ-15 
 קטן מ-15 ,יד בנימין,23,"נדרשת הידברות, הסברה ואכיפה",122, קטן מ-15 
 קטן מ-15 ,להבים,34,"נדרשת הידברות, הסברה ואכיפה",67, קטן מ-15 
 קטן מ-15 ,ג'דיידה-מכר,15,"נדרשת הידברות, הסברה ואכיפה",151, קטן מ-15 
 קטן מ-15 ,כאבול,16,"נדרשת הידברות, הסברה ואכיפה",183, קטן מ-15 
 קטן מ-15 ,ראמה,17,"נדרשת הידברות, הסברה ואכיפה",70, קטן מ-15 
 קטן מ-15 ,מעלה עירון,27,"נדרשת הידברות, הסברה ואכיפה",82, קטן מ-15 
