period_desc,age_group,count_testeds,positive_testeds,positive_testeds_perc
1_Month,0-9,32892,13434,40.84
3_Month,0-9,124774,44711,35.83
6_Month,0-9,430831,158167,36.71
1_Year,0-9,1461992,644267,44.07
All,0-9,1709544,763942,44.69
1_Month,10-19,31058,9728,31.32
3_Month,10-19,126553,43480,34.36
6_Month,10-19,440761,150407,34.12
1_Year,10-19,1349058,650016,48.18
All,10-19,1627080,804884,49.47
1_Month,20-29,45640,16826,36.87
3_Month,20-29,173675,54113,31.16
6_Month,20-29,547723,145203,26.51
1_Year,20-29,1193997,472326,39.56
All,20-29,1467564,599049,40.82
1_Month,30-39,53359,20677,38.75
3_Month,30-39,189460,67402,35.58
6_Month,30-39,543716,177154,32.58
1_Year,30-39,1142106,514878,45.08
All,30-39,1367382,606454,44.35
1_Month,40-49,51156,19968,39.03
3_Month,40-49,184844,68065,36.82
6_Month,40-49,515085,172579,33.5
1_Year,40-49,1024272,470274,45.91
All,40-49,1214713,549712,45.25
1_Month,50-59,48111,19171,39.85
3_Month,50-59,169857,64265,37.83
6_Month,50-59,444462,141886,31.92
1_Year,50-59,798437,329122,41.22
All,50-59,949747,389213,40.98
1_Month,60-69,53076,21801,41.08
3_Month,60-69,172649,69444,40.22
6_Month,60-69,398339,130439,32.75
1_Year,60-69,663833,250902,37.8
All,60-69,782755,292252,37.34
1_Month,70-79,50660,19668,38.82
3_Month,70-79,142787,61746,43.24
6_Month,70-79,280592,100706,35.89
1_Year,70-79,431219,161284,37.4
All,70-79,506364,183848,36.31
1_Month,80-89,33344,9828,29.47
3_Month,80-89,68037,26440,38.86
6_Month,80-89,110541,40962,37.06
1_Year,80-89,168393,65015,38.61
All,80-89,214863,76844,35.76
1_Month,90+,10751,2640,24.56
3_Month,90+,18696,6423,34.35
6_Month,90+,26718,9838,36.82
1_Year,90+,40081,16180,40.37
All,90+,55792,20015,35.87
