cityDesc,activeSickKids,activeSickKidsPerc,totalActiveSick,activeSickNormalized,cityScore,cityColour,totalPopulation
Afula,קטן מ-15,אין מידע,35,6.16,6.83,כתום,56844
Akko,קטן מ-15,אין מידע,26,5.25,4.36,ירוק,49517
Ashdod,21,13.04,161,7.11,5.97,צהוב,226329
Ashqelon,20,11.90,168,11.47,5.16,צהוב,146442
Bat Yam,קטן מ-15,אין מידע,118,9.24,5.46,צהוב,127772
Be'er Sheva,28,14.14,198,9.40,5.14,צהוב,210624
Be'er Ya'aqov,קטן מ-15,אין מידע,21,7.29,9.62,אדום,28818
Bene Beraq,קטן מ-15,אין מידע,23,1.11,2.93,ירוק,208031
Deir Hanna,קטן מ-15,אין מידע,16,15.30,4.2,ירוק,10459
Dimona,קטן מ-15,אין מידע,51,14.59,7.62,אדום,34954
Elat,קטן מ-15,אין מידע,26,4.95,8.56,אדום,52507
Even Yehuda,קטן מ-15,אין מידע,16,11.40,5.66,צהוב,14036
Gan Yavne,קטן מ-15,אין מידע,21,8.79,8.11,אדום,23887
Ganne Tiqwa,קטן מ-15,אין מידע,28,13.02,6.72,כתום,21508
Gedera,קטן מ-15,אין מידע,20,6.94,5.04,צהוב,28805
Giv'at Shemu'el,קטן מ-15,אין מידע,20,7.34,5.5,צהוב,27236
Giv'atayim,קטן מ-15,אין מידע,63,10.35,7.55,אדום,60872
Hadera,קטן מ-15,אין מידע,94,9.50,4.64,צהוב,98928
Haifa,28,8.48,330,11.58,5.86,צהוב,284981
Harish,קטן מ-15,אין מידע,22,11.22,6.46,כתום,19608
Herzliyya,קטן מ-15,אין מידע,97,9.78,6.03,כתום,99208
Hod Hasharon,קטן מ-15,אין מידע,90,13.90,6.34,כתום,64755
Holon,15,7.73,194,9.87,5.78,צהוב,196510
Jerusalem,24,6.69,359,3.77,4.61,צהוב,952916
Karmi'el,קטן מ-15,אין מידע,43,9.31,5.94,צהוב,46190
Kefar Sava,16,9.88,162,15.93,6.48,כתום,101664
Kefar Weradim,קטן מ-15,אין מידע,22,40.04,7.56,אדום,5495
Kefar Yona,קטן מ-15,אין מידע,26,9.95,6.16,כתום,26140
Lod,קטן מ-15,אין מידע,24,2.97,3.35,ירוק,80786
Ma'ale Adummim,קטן מ-15,אין מידע,38,10.05,6.26,כתום,37802
Mevasseret Ziyyon,קטן מ-15,אין מידע,41,16.84,7.25,כתום,24347
Modi'in-Makkabbim-Re'ut,15,17.65,85,8.97,7.58,אדום,94744
Nahariyya,קטן מ-15,אין מידע,47,7.94,5.35,צהוב,59189
Nes Ziyyona,קטן מ-15,אין מידע,47,9.30,5.03,צהוב,50532
Nesher,קטן מ-15,אין מידע,21,8.77,5.57,צהוב,23947
Netanya,20,8.93,224,10.02,5.09,צהוב,223562
Nof Hagalil,קטן מ-15,אין מידע,38,9.06,7.52,אדום,41950
Ofaqim,קטן מ-15,אין מידע,24,7.41,6.18,כתום,32378
Or Aqiva,קטן מ-15,אין מידע,16,8.24,6.14,כתום,19417
Or Yehuda,קטן מ-15,אין מידע,22,6.01,6.27,כתום,36587
Pardes Hanna-Karkur,קטן מ-15,אין מידע,29,6.64,5.64,צהוב,43646
Pardesiyya,קטן מ-15,אין מידע,20,30.09,6.31,כתום,6647
Petah Tiqwa,36,13.58,265,10.58,6.41,כתום,250427
Qadima-Zoran,קטן מ-15,אין מידע,24,10.57,7.84,אדום,22711
Qiryat Atta,קטן מ-15,אין מידע,51,8.60,6.23,כתום,59291
Qiryat Bialik,קטן מ-15,אין מידע,45,10.81,5.92,צהוב,41645
Qiryat Gat,קטן מ-15,אין מידע,37,6.32,5.3,צהוב,58550
Qiryat Motzkin,קטן מ-15,אין מידע,45,9.90,5.39,צהוב,45461
Qiryat Ono,קטן מ-15,אין מידע,62,15.20,6.46,כתום,40778
Qiryat Yam,קטן מ-15,אין מידע,35,8.89,4.74,צהוב,39389
Ra'annana,קטן מ-15,אין מידע,98,12.73,5.29,צהוב,76958
Ramat Gan,קטן מ-15,אין מידע,198,11.87,6.18,כתום,166746
Ramat Hasharon,קטן מ-15,אין מידע,34,7.16,6.29,כתום,47482
Ramla,קטן מ-15,אין מידע,36,4.68,5,צהוב,76903
Rehovot,קטן מ-15,אין מידע,143,9.78,6.02,כתום,146213
Rishon Leziyyon,21,7.07,297,11.61,5.9,צהוב,255891
Rosh Haayin,קטן מ-15,אין מידע,49,7.28,7.06,כתום,67337
Sederot,קטן מ-15,אין מידע,19,6.57,5.7,צהוב,28899
Shoham,קטן מ-15,אין מידע,17,8.08,8.21,אדום,21029
Tel Aviv - Yafo,43,10.24,420,8.38,6.01,כתום,501015
Tel Mond,קטן מ-15,אין מידע,18,13.37,7.53,אדום,13461
Tiberias,קטן מ-15,אין מידע,51,11.16,4.21,ירוק,45686
Tirat Karmel,קטן מ-15,אין מידע,27,11.12,7.11,כתום,24285
Yavne,קטן מ-15,אין מידע,50,10.05,6.46,כתום,49759
Yehud,קטן מ-15,אין מידע,27,9.00,6.73,כתום,30003
Yoqne'am Illit,קטן מ-15,אין מידע,22,9.14,6.85,כתום,24061
Zikhron Ya'aqov,קטן מ-15,אין מידע,29,12.34,7.34,כתום,23503
