section,female,male,period,order_period
0-9,"{'amount': 3, 'percentage': 1.8}","{'amount': 0, 'percentage': 0}",חודש אחרון,5
0-9,"{'amount': 33, 'percentage': 0.2}","{'amount': 43, 'percentage': 0.3}",שנה,2
0-9,"{'amount': 20, 'percentage': 0.4}","{'amount': 26, 'percentage': 0.5}",6 חודשים,3
0-9,"{'amount': 12, 'percentage': 0.6}","{'amount': 10, 'percentage': 0.5}",3 חודשים,4
0-9,"{'amount': 40, 'percentage': 0.2}","{'amount': 54, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 58, 'percentage': 0.3}","{'amount': 47, 'percentage': 0.2}",מתחילת קורונה,1
10-19,"{'amount': 2, 'percentage': 1.2}","{'amount': 2, 'percentage': 1.2}",חודש אחרון,5
10-19,"{'amount': 10, 'percentage': 0.5}","{'amount': 8, 'percentage': 0.4}",3 חודשים,4
10-19,"{'amount': 20, 'percentage': 0.4}","{'amount': 16, 'percentage': 0.3}",6 חודשים,3
10-19,"{'amount': 44, 'percentage': 0.3}","{'amount': 30, 'percentage': 0.2}",שנה,2
20-29,"{'amount': 69, 'percentage': 1.3}","{'amount': 49, 'percentage': 0.9}",6 חודשים,3
20-29,"{'amount': 36, 'percentage': 1.8}","{'amount': 21, 'percentage': 1}",3 חודשים,4
20-29,"{'amount': 4, 'percentage': 2.4}","{'amount': 1, 'percentage': 0.6}",חודש אחרון,5
20-29,"{'amount': 232, 'percentage': 1}","{'amount': 182, 'percentage': 0.8}",מתחילת קורונה,1
20-29,"{'amount': 169, 'percentage': 1.2}","{'amount': 139, 'percentage': 1}",שנה,2
30-39,"{'amount': 385, 'percentage': 2.7}","{'amount': 391, 'percentage': 2.7}",שנה,2
30-39,"{'amount': 157, 'percentage': 2.9}","{'amount': 165, 'percentage': 3}",6 חודשים,3
30-39,"{'amount': 70, 'percentage': 3.4}","{'amount': 73, 'percentage': 3.6}",3 חודשים,4
30-39,"{'amount': 8, 'percentage': 4.8}","{'amount': 3, 'percentage': 1.8}",חודש אחרון,5
30-39,"{'amount': 502, 'percentage': 2.3}","{'amount': 547, 'percentage': 2.5}",מתחילת קורונה,1
40-49,"{'amount': 607, 'percentage': 4.2}","{'amount': 861, 'percentage': 5.9}",שנה,2
40-49,"{'amount': 237, 'percentage': 4.3}","{'amount': 321, 'percentage': 5.9}",6 חודשים,3
40-49,"{'amount': 116, 'percentage': 5.7}","{'amount': 152, 'percentage': 7.5}",3 חודשים,4
40-49,"{'amount': 9, 'percentage': 5.4}","{'amount': 9, 'percentage': 5.4}",חודש אחרון,5
40-49,"{'amount': 815, 'percentage': 3.7}","{'amount': 1215, 'percentage': 5.4}",מתחילת קורונה,1
50-59,"{'amount': 325, 'percentage': 6}","{'amount': 433, 'percentage': 7.9}",6 חודשים,3
50-59,"{'amount': 147, 'percentage': 7.2}","{'amount': 176, 'percentage': 8.7}",3 חודשים,4
50-59,"{'amount': 877, 'percentage': 6.1}","{'amount': 1271, 'percentage': 8.8}",שנה,2
50-59,"{'amount': 1315, 'percentage': 5.9}","{'amount': 1943, 'percentage': 8.7}",מתחילת קורונה,1
50-59,"{'amount': 11, 'percentage': 6.6}","{'amount': 8, 'percentage': 4.8}",חודש אחרון,5
60-69,"{'amount': 174, 'percentage': 8.6}","{'amount': 217, 'percentage': 10.7}",3 חודשים,4
60-69,"{'amount': 451, 'percentage': 8.3}","{'amount': 588, 'percentage': 10.8}",6 חודשים,3
60-69,"{'amount': 18, 'percentage': 10.8}","{'amount': 18, 'percentage': 10.8}",חודש אחרון,5
60-69,"{'amount': 1784, 'percentage': 8}","{'amount': 2696, 'percentage': 12.1}",מתחילת קורונה,1
60-69,"{'amount': 1164, 'percentage': 8}","{'amount': 1598, 'percentage': 11}",שנה,2
70-79,"{'amount': 17, 'percentage': 10.2}","{'amount': 16, 'percentage': 9.6}",חודש אחרון,5
70-79,"{'amount': 206, 'percentage': 10.1}","{'amount': 179, 'percentage': 8.8}",3 חודשים,4
70-79,"{'amount': 510, 'percentage': 9.3}","{'amount': 619, 'percentage': 11.3}",6 חודשים,3
70-79,"{'amount': 1375, 'percentage': 9.5}","{'amount': 1681, 'percentage': 11.6}",שנה,2
70-79,"{'amount': 2077, 'percentage': 9.3}","{'amount': 2851, 'percentage': 12.8}",מתחילת קורונה,1
80-89,"{'amount': 163, 'percentage': 8}","{'amount': 143, 'percentage': 7}",3 חודשים,4
80-89,"{'amount': 1414, 'percentage': 9.8}","{'amount': 1336, 'percentage': 9.2}",שנה,2
80-89,"{'amount': 530, 'percentage': 9.7}","{'amount': 534, 'percentage': 9.8}",6 חודשים,3
80-89,"{'amount': 13, 'percentage': 7.8}","{'amount': 17, 'percentage': 10.2}",חודש אחרון,5
80-89,"{'amount': 2148, 'percentage': 9.6}","{'amount': 2110, 'percentage': 9.5}",מתחילת קורונה,1
90+,"{'amount': 1029, 'percentage': 4.6}","{'amount': 651, 'percentage': 2.9}",מתחילת קורונה,1
90+,"{'amount': 7, 'percentage': 4.2}","{'amount': 1, 'percentage': 0.6}",חודש אחרון,5
90+,"{'amount': 77, 'percentage': 3.8}","{'amount': 43, 'percentage': 2.1}",3 חודשים,4
90+,"{'amount': 258, 'percentage': 4.7}","{'amount': 132, 'percentage': 2.4}",6 חודשים,3
90+,"{'amount': 639, 'percentage': 4.4}","{'amount': 425, 'percentage': 2.9}",שנה,2
